,Pearson Correlation,Absolute Correlation,P-values
Rps14,0.0805192655636941,0.0805192655636941,0.3442955581211307
1810027O10Rik,-0.07026885527057895,0.07026885527057895,0.40937239736953696
Lmo2,0.057921106991863806,0.057921106991863806,0.49665741620725057
Odc1,-0.20303476836292805,0.20303476836292805,0.016131952415222077
Psmb1,0.008017292701434066,0.008017292701434066,0.9250988994554429
Gabarapl2,-0.04086724284458021,0.04086724284458021,0.6316449370067776
Mkrn1,-0.015393052459478956,0.015393052459478956,0.8567515479558141
Tax1bp1,0.03125610650897502,0.03125610650897502,0.7139165390993222
Rps7,-0.07491511435934774,0.07491511435934774,0.3790231834443744
Slc48a1,-0.07822321073557036,0.07822321073557036,0.3582733632760285
Blvrb,0.03179755610211938,0.03179755610211938,0.7091819470796265
Hmbs,-0.05273143089535139,0.05273143089535139,0.5360720886792734
Hbb-b2,-0.17970439733722904,0.17970439733722904,0.03362375175761971
Glrx5,0.06312503565100493,0.06312503565100493,0.4587246444922828
Rhd,-0.07879462303857626,0.07879462303857626,0.35476217638890273
Hipk1,0.025520124946489166,0.025520124946489166,0.7647113450382257
Ube2l6,-0.08952094458243716,0.08952094458243716,0.29287150082897834
Pfn1,0.06694195819547344,0.06694195819547344,0.4319561240184415
Uqcrb,-0.06215353995531576,0.06215353995531576,0.46568178023019746
Fech,-0.05546888539750639,0.05546888539750639,0.5150891328297039
Tmem59,-0.09653581479474549,0.09653581479474549,0.2565266859144756
2310036O22Rik,-0.06835219682790215,0.06835219682790215,0.42229714758625825
Gclm,-0.06069244612397448,0.06069244612397448,0.4762533552282364
Rps20,-0.12024173565782424,0.12024173565782424,0.15703807628955055
Hemgn,-0.03240089669945674,0.03240089669945674,0.7039192265451377
Chi3l3,0.04381758847803789,0.04381758847803789,0.6072131887202031
Ndufa4,-0.05257346071527573,0.05257346071527573,0.5372958118485155
Tmem134,0.08264247550925607,0.08264247550925607,0.3316807950897925
Lcn2,0.09413321193893091,0.09413321193893091,0.26860883348678755
Map1lc3b,-0.03969334055901143,0.03969334055901143,0.6414797805902139
Sri,-0.23493215055645772,0.23493215055645772,0.005205255932968509
Galnt1,0.04024430603657963,0.04024430603657963,0.6368559564170495
Cox7c,0.01582151025436966,0.01582151025436966,0.8528087369790869
Smox,-0.18601025337983726,0.18601025337983726,0.027777706551274275
Srsf3,0.15115885218647737,0.15115885218647737,0.07462554300884756
Cpox,-0.002238199912404739,0.002238199912404739,0.979061652229661
Tal1,-0.08625097226605903,0.08625097226605903,0.3109286395197564
Psme3,0.0180398453278711,0.0180398453278711,0.8324551087072539
Hebp1,-0.11906526636767441,0.11906526636767441,0.16116676380778686
Rps26,-0.0519092726483214,0.0519092726483214,0.5424561173152233
2510003D18Rik,-0.19310169770269095,0.19310169770269095,0.022261028093369946
Klf1,-0.037570120894857714,0.037570120894857714,0.6594259622717089
Rplp0,-0.1577240668585828,0.1577240668585828,0.062722738498452
Rpl22,-0.1263837309098986,0.1263837309098986,0.13676176520098593
Gpx4,0.2990962056927874,0.2990962056927874,0.00033098202317712765
Itm2b,-0.2160648518312889,0.2160648518312889,0.010348738737642455
Aip,0.23038205648957694,0.23038205648957694,0.006173605087249731
Eif2s2,0.23807126780366208,0.23807126780366208,0.004618755502249082
Hmgb2,0.02654028798396558,0.02654028798396558,0.7555966266447255
Eef1b2,-0.12762777360097657,0.12762777360097657,0.132909787450072
Slc1a5,-0.056082826702361296,0.056082826702361296,0.5104418038421549
Gpcpd1,-0.2464724421537588,0.2464724421537588,0.0033292210998552437
Cd24a,0.004015335287014179,0.004015335287014179,0.9624460200621698
Cd47,-0.061782305658301506,0.061782305658301506,0.46835551799783864
Dapk2,-0.12415735255404893,0.12415735255404893,0.14386724893448039
Fhdc1,-0.06287657005691027,0.06287657005691027,0.4604984671689588
Rps10,-0.02642246907616712,0.02642246907616712,0.756647597843034
1810006K21Rik,-0.11525423271183803,0.11525423271183803,0.17509802809042777
Pafah1b1,-0.034630960088235324,0.034630960088235324,0.6845903255060044
Sh3bgrl3,0.07012265775167416,0.07012265775167416,0.41034998507061166
Ndufa7,-0.030203176766860268,0.030203176766860268,0.7231547796580593
Ccdc72,-0.15759927100708684,0.15759927100708684,0.06293356824676732
Slc4a1,-0.1471769541678246,0.1471769541678246,0.08269277812413878
Atpif1,-0.04955845291315691,0.04955845291315691,0.5609144320785976
Uqcrq,0.2511370930260393,0.2511370930260393,0.0027627461435882545
S100a9,0.2680339388394586,0.2680339388394586,0.0013658039845589655
Minos1,0.14661569165405308,0.14661569165405308,0.08388409331405411
Ube2s,0.005367987418066805,0.005367987418066805,0.9498095893369659
Ubac1,-0.08915747431771602,0.08915747431771602,0.29484349840708646
Tspan33,-0.12790794726651394,0.12790794726651394,0.13205384861234404
Wdr26,0.013653062414882896,0.013653062414882896,0.8727988800402511
Son,0.010715495188228548,0.010715495188228548,0.9000055440095004
Ucp2,-0.08384896236916722,0.08384896236916722,0.32464601839716867
Atp6v0b,-0.0947023621289681,0.0947023621289681,0.2657123590495557
Maf1,0.055193968891647245,0.055193968891647245,0.5171771814000363
Gata1,-0.06728640577327963,0.06728640577327963,0.4295853296753103
Hist1h2bc,0.19081064894789568,0.19081064894789568,0.02393002827294283
Paip2,0.0945520774535973,0.0945520774535973,0.26647510090672705
Gypc,0.005592991369311626,0.005592991369311626,0.9477087355078756
Eif5b,0.04989603475766613,0.04989603475766613,0.5582453953751015
Rpl23a,-0.02981610609662547,0.02981610609662547,0.726561016910128
1100001G20Rik,0.25126214437727357,0.25126214437727357,0.002748837574206417
Wnk1,0.041587726951884625,0.041587726951884625,0.6256404237047025
Rpl22l1,0.08633349014871061,0.08633349014871061,0.31046421801724894
