,Pearson Correlation,Absolute Correlation,P-values
Cd24a,0.2609492469742543,0.2609492469742543,3.4852306075713224e-79
Atp6v0e,0.18008906433034044,0.18008906433034044,5.664813061272473e-38
Gapdh,0.2968648548689943,0.2968648548689943,5.372826847979756e-103
1500032L24Rik,0.13843851390616702,0.13843851390616702,5.651567227789863e-23
Rbm3,0.3238486775379851,0.3238486775379851,2.6761123299126873e-123
Cyba,0.2987764359502271,0.2987764359502271,2.29954112730107e-104
Hnrnpu,-0.03803903253940799,0.03803903253940799,0.0069393996222887975
Ube2s,0.08348674898229885,0.08348674898229885,2.965286357809156e-09
Ppp1ca,0.20814609686929134,0.20814609686929134,2.0653747048839287e-50
Clta,0.1289737934424207,0.1289737934424207,3.9752733344369444e-20
1810027O10Rik,0.0548391511486784,0.0548391511486784,9.876249225547275e-05
4632428N05Rik,0.027163344704851888,0.027163344704851888,0.053915119856150315
Sfpq,-0.043866802471896005,0.043866802471896005,0.001847422100802164
2010107E04Rik,0.08055828475672301,0.08055828475672301,1.0362437218252801e-08
2810417H13Rik,0.11917177580466715,0.11917177580466715,2.1543680103735657e-17
Psma3,0.013117970346414435,0.013117970346414435,0.3519969564759968
Twf2,0.0007622202443277324,0.0007622202443277324,0.9568735202001831
Ly6c2,0.2977700485170537,0.2977700485170537,1.211850740867738e-103
Spcs1,0.026473348772095433,0.026473348772095433,0.06030757401719704
Ccdc72,0.1585398951082264,0.1585398951082264,1.0493173696986481e-29
Rps8,0.3870974687566064,0.3870974687566064,1.0235563945763008e-179
Glrx,0.09176976790939521,0.09176976790939521,6.819423323355224e-11
Ywhab,0.0342668047972202,0.0342668047972202,0.01502206216787346
Eif1b,0.013046160518027984,0.013046160518027984,0.35463961072425065
Eif4a1,-0.014135254707509787,0.014135254707509787,0.31590605878551303
Atp5j,0.24216544607987198,0.24216544607987198,4.017077329811133e-68
Fis1,0.11833456128050247,0.11833456128050247,3.6038773499582677e-17
Igfbp4,-0.059999659777873214,0.059999659777873214,2.0383841278376784e-05
Gmnn,-0.021007651873023482,0.021007651873023482,0.1360671231473563
Smc4,0.06275608102202364,0.06275608102202364,8.32080118983011e-06
Gpsm3,0.18077117298689493,0.18077117298689493,2.9746928868595787e-38
Tomm22,0.0160863817033798,0.0160863817033798,0.2537213913650856
Rps15,0.3386162233155415,0.3386162233155415,2.4860451573144246e-135
Ndufa4,0.17867547105932735,0.17867547105932735,2.134868964472399e-37
Tpm3,0.16232953277462994,0.16232953277462994,4.4306627850437075e-31
Coro1a,0.2867932901733053,0.2867932901733053,5.878513153035446e-96
Ssr4,0.03676540388353203,0.03676540388353203,0.009073211171664392
Lrg1,0.21638811655648946,0.21638811655648946,1.962861755252416e-54
Hmgb3,-0.07164079099490944,0.07164079099490944,3.594808201199703e-07
Eif2s2,0.03825291162193345,0.03825291162193345,0.006628994075864426
Psmb1,0.10264314299761644,0.10264314299761644,2.8451120682038996e-13
Pfdn5,0.19156795460361387,0.19156795460361387,7.874114672868876e-43
Clec4a2,0.23929641462893364,0.23929641462893364,1.6289194668046707e-66
Btf3,0.16330896257534638,0.16330896257534638,1.9309020965730794e-31
Rab14,-0.0004934893721323413,0.0004934893721323413,0.9720704325873648
Ube2a,-0.008876754356621651,0.008876754356621651,0.5288300584385132
Hnrnpf,0.0943469470135875,0.0943469470135875,1.964783994069875e-11
2310016M24Rik,0.0014710463749308853,0.0014710463749308853,0.9168784079484106
Def6,-0.09736942760106125,0.09736942760106125,4.3738467470857184e-12
Cdc37,-0.07857347725225605,0.07857347725225605,2.3613505874396714e-08
Eef2,0.0568881208924837,0.0568881208924837,5.360592282006272e-05
Atp5j2,0.14355491814660817,0.14355491814660817,1.3414162487780224e-24
Myl6,0.3130745681395347,0.3130745681395347,6.171209030237065e-115
Rps21,0.14123878996475026,0.14123878996475026,7.420983893633104e-24
Tmpo,-0.03410236791843519,0.03410236791843519,0.015513245325323877
Rpl13,0.3804093259963882,0.3804093259963882,3.9628866014174026e-173
Kpna2,-0.06796985271360442,0.06796985271360442,1.3801364356353241e-06
Dok3,-0.026571670842330277,0.026571670842330277,0.05935999432312927
Ifitm6,0.2471779661195558,0.2471779661195558,5.5343648695326554e-71
Eif4ebp1,-0.0003127875358441087,0.0003127875358441087,0.982295286463599
Rps13,0.3558448384889099,0.3558448384889099,3.167558997452661e-150
Cebpb,-0.18385043256431247,0.18385043256431247,1.5728166455812025e-39
Aprt,0.2000826267172938,0.2000826267172938,1.2211248598487666e-46
Lyz1,0.13650701012122096,0.13650701012122096,2.237905080718051e-22
Fam49b,0.14825039096926518,0.14825039096926518,3.832632122629106e-26
Arpc1a,-0.035571170674772674,0.035571170674772674,0.011587205949964714
0610010K14Rik,-0.0821930084636407,0.0821930084636407,5.181185864475331e-09
Chi3l3,0.19925768739796335,0.19925768739796335,2.90802342551797e-46
Rpl8,0.36828144038831023,0.36828144038831023,1.4315283867851862e-161
Taldo1,0.251464122921524,0.251464122921524,1.7559261044035147e-73
Mrps17,-0.04816180311378399,0.04816180311378399,0.0006286852060826125
Alox5ap,0.2896261956305056,0.2896261956305056,6.581294194765446e-98
Lmo4,0.11963835211970834,0.11963835211970834,1.6147553602566708e-17
Psme1,-0.0016400791073066796,0.0016400791073066796,0.907367996953839
Fau,0.3550733805099501,0.3550733805099501,1.541285769783978e-149
0910001L09Rik,0.25658870355866137,0.25658870355866137,1.5611932668678814e-76
Npc2,0.004534466961895367,0.004534466961895367,0.7476729899372767
Phb2,-0.09581579257425978,0.09581579257425978,9.522635435423418e-12
Psmc3,-0.005862298199570261,0.005862298199570261,0.6774707371224383
Tuba1b,0.04561248674978028,0.04561248674978028,0.0012047141213507504
Mkrn1,0.012473378958753249,0.012473378958753249,0.37616456914585605
Rhoa,0.1814645658135438,0.1814645658135438,1.5414390850403187e-38
