,Pearson Correlation,Absolute Correlation,P-values
Tmpo,0.04786999623642646,0.04786999623642646,0.09173736459652056
Cox7b,0.10930964373074298,0.10930964373074298,0.00011339381731888455
Fau,0.13899528932348154,0.13899528932348154,8.768772756281467e-07
Hat1,0.03294074917114765,0.03294074917114765,0.24603071081999747
Hmgb1,0.11219626363282206,0.11219626363282206,7.415074171338717e-05
Ndufb8,0.0721405942785793,0.0721405942785793,0.010986296248547288
Vcp,0.04679641188925281,0.04679641188925281,0.09926187423107433
Spcs1,0.00841761512463306,0.00841761512463306,0.7669549318185158
Nasp,0.073414343139142,0.073414343139142,0.009649079616005848
Nol7,0.10159945056189208,0.10159945056189208,0.00033546998852927154
Snrpd3,0.058092460824484084,0.058092460824484084,0.04066171179918227
Ccdc23,-0.09180040307225296,0.09180040307225296,0.001200273858286966
Psma7,0.15462388338395197,0.15462388338395197,4.3323347055063685e-08
Anp32a,0.15864860118415178,0.15864860118415178,1.8974205445853256e-08
Vbp1,-0.03177604510428358,0.03177604510428358,0.26313714683980877
Gypa,0.08512435521143957,0.08512435521143957,0.0026787366609715394
Eef1a1,0.12324406708125898,0.12324406708125898,1.3269625471222563e-05
Rpl13,0.1454076892137767,0.1454076892137767,2.65141317175148e-07
Ube2l3,0.06977556116676112,0.06977556116676112,0.013910982353237606
Ube2c,0.07836887837242008,0.07836887837242008,0.005721182647241448
Hmgb2,0.0878640301740013,0.0878640301740013,0.0019392359521248858
Tomm20,0.092855512119956,0.092855512119956,0.0010521360825775272
Hspa8,0.14628800638558778,0.14628800638558778,2.2406811577376217e-07
Lrwd1,0.03573152248674516,0.03573152248674516,0.2082525797242677
Hbb-b2,0.005836486726299549,0.005836486726299549,0.8371938227105394
Srp19,0.03394623284076819,0.03394623284076819,0.23190197812283933
Psmd1,0.043143993150064466,0.043143993150064466,0.12859692552477406
Pa2g4,0.09521966016491049,0.09521966016491049,0.000779449775859202
Fam111a,0.05185356744259628,0.05185356744259628,0.06772782135623812
Mapre1,0.009338063970126912,0.009338063970126912,0.7423310195197194
Rab5c,-0.07154626408377666,0.07154626408377666,0.01166470205021792
Gnas,0.014399933278549935,0.014399933278549935,0.6121561940484647
Kel,-0.011109533905049533,0.011109533905049533,0.6956935606813458
Rpia,0.05800306782196312,0.05800306782196312,0.04097253214637176
Pla2g16,-0.05025394798658672,0.05025394798658672,0.0766628547548607
Lmnb1,0.005864787487362392,0.005864787487362392,0.8364155007133773
Atp5j2,0.0642065324035602,0.0642065324035602,0.023646503592272758
Wbp11,-0.08983198951118107,0.08983198951118107,0.0015292120625214534
Tubb4b,0.1189769433879575,0.1189769433879575,2.6258087624788015e-05
Arpc5,0.022723011680914305,0.022723011680914305,0.42365181439709093
Rps21,0.09317485991159007,0.09317485991159007,0.0010107480546723043
Stk16,-0.0998117111984973,0.0998117111984973,0.00042697375850551814
Cenph,0.00707233348507516,0.00707233348507516,0.8033642858142348
Mat2b,-0.028039788673029052,0.028039788673029052,0.32345739816459307
Eef2,0.15809493117506407,0.15809493117506407,2.1282993579835415e-08
Ftl1,0.11361730748792842,0.11361730748792842,5.993342939388143e-05
Atg4b,-0.03986257230572296,0.03986257230572296,0.1603244836075755
Slc25a37,0.026395580256694227,0.026395580256694227,0.3526513380707851
Ncapd2,-0.14982966570305264,0.14982966570305264,1.1270059090055707e-07
Puf60,0.017557207239225898,0.017557207239225898,0.5364592783792165
Rrm1,0.08822081745131585,0.08822081745131585,0.0018581276438001187
Syce2,0.004561937241774081,0.004561937241774081,0.8723999178568308
Pqlc1,-0.01090471549724529,0.01090471549724529,0.7010313224282386
Zmat2,0.059399580008845494,0.059399580008845494,0.03634007758727068
Snrpg,0.09907942818275765,0.09907942818275765,0.00047078551534975873
Lmna,0.019174266374595066,0.019174266374595066,0.4995985483154583
Lsm2,0.021309081585691662,0.021309081585691662,0.4530715643085538
Pfdn2,-0.0019923536666036426,0.0019923536666036426,0.9440790949042845
Golga7,-0.060156133696667044,0.060156133696667044,0.03402216033177489
Cops6,0.03894821992968588,0.03894821992968588,0.17014054396641054
Rpn2,0.03503907948226164,0.03503907948226164,0.21720905707615396
Nme1,0.2194319133824266,0.2194319133824266,5.242763766826297e-15
Atox1,-0.004203362909639295,0.004203362909639295,0.882353424926709
Fbl,0.12254396244379541,0.12254396244379541,1.4864980521507956e-05
Gins2,-0.029788238254276758,0.029788238254276758,0.2941903496976842
S100a8,0.2657261964476298,0.2657261964476298,1.6175527888887255e-21
Pdcd6,-0.04061465735282427,0.04061465735282427,0.15257597700438896
Sf1,-0.03559449373924976,0.03559449373924976,0.21000342741723996
Psmb7,0.09668451326828534,0.09668451326828534,0.0006450641404872522
1700123O20Rik,-0.055278722061977516,0.055278722061977516,0.05145547104834656
Phf10,-0.11165820524490173,0.11165820524490173,8.032257570803301e-05
2310011J03Rik,-0.032618060991278806,0.032618060991278806,0.250690204577723
Cyb5r3,-0.014400517537451692,0.014400517537451692,0.6121417590439536
Rpl24,0.13903817888654627,0.13903817888654627,8.700416767002319e-07
Scp2,-0.035919785265074416,0.035919785265074416,0.20586437465202298
Rps13,0.16250182288005532,0.16250182288005532,8.438947815966826e-09
Wnk1,0.024496660548890343,0.024496660548890343,0.38837284674747
Eif3e,0.1972532123671489,0.1972532123671489,2.3222883013783446e-12
Cltc,0.01823683407733488,0.01823683407733488,0.5208023263492086
Prcp,-0.07160404711400882,0.07160404711400882,0.01159715347918436
Snrpa1,0.09437851010970172,0.09437851010970172,0.0008679113963346677
Epb4.2,-0.08448539945838966,0.08448539945838966,0.002884678344881748
Rpl7,0.13665163394239313,0.13665163394239313,1.3400366870103728e-06
Fam53b,0.02093941498109026,0.02093941498109026,0.4609490048327257
Canx,0.00032763783293219086,0.00032763783293219086,0.9907966111796633
Eif3b,0.0510846142857678,0.0510846142857678,0.07191001751382002
Rfc4,0.0145837701773505,0.0145837701773505,0.6076216680169519
Nap1l1,0.07866517829351448,0.07866517829351448,0.005540101796008138
Mrps36,-0.016913446578892728,0.016913446578892728,0.5515049940875058
Cdk1,0.10225434527839504,0.10225434527839504,0.00030680444699359387
Cyc1,0.023874482536161527,0.023874482536161527,0.4005397674019065
Fbxw2,-0.06342124130423121,0.06342124130423121,0.02541127880191574
Rp9,0.04183410322327524,0.04183410322327524,0.14062195741772032
Ndufb6,-0.009660609252117654,0.009660609252117654,0.7337627620433413
Arpc1a,-0.07502673228438951,0.07502673228438951,0.008165228386243412
Laptm4a,-0.05621480747599202,0.05621480747599202,0.047625495344936895
Lamtor3,0.010114323048589493,0.010114323048589493,0.7217661447801675
Uqcrh,0.11174530292080916,0.11174530292080916,7.929165681008416e-05
Gch1,-0.06824564053994901,0.06824564053994901,0.016150466399378418
Map2k3,-0.0608633871987029,0.0608633871987029,0.03197064074588364
Cenpw,0.007789814016108953,0.007789814016108953,0.7838874958062959
Ndufa4,0.09309962055386659,0.09309962055386659,0.0010203613715068648
Polr2j,0.0064242401431604335,0.0064242401431604335,0.8210633161450438
Ift140,-0.052944260071606845,0.052944260071606845,0.062140451325818316
Klf13,-0.03863336605443291,0.03863336605443291,0.1736227691601563
Paics,0.10542798780236824,0.10542798780236824,0.000197548095620724
Mob2,-0.04483433702813848,0.04483433702813848,0.11427739707226973
1110004F10Rik,-0.035694313084994926,0.035694313084994926,0.20872696397515306
Ezh2,0.12152937233861091,0.12152937233861091,1.7504408262003808e-05
Polr2e,-0.038848002941224084,0.038848002941224084,0.17124320672335805
Lamp1,-0.02439509878419107,0.02439509878419107,0.3903434238876632
Sdha,0.002664297767347128,0.002664297767347128,0.9252673494332054
Sar1a,-0.06716688532820687,0.06716688532820687,0.017914187342402525
Arglu1,0.08387525093156538,0.08387525093156538,0.0030947065543891097
Ube2v1,-0.06939141494915979,0.06939141494915979,0.014445898606657577
Atp5d,0.16603590895980275,0.16603590895980275,3.9457380971836695e-09
1810009A15Rik,0.005446485758564804,0.005446485758564804,0.8479354428980975
Dctn3,0.04700581922383824,0.04700581922383824,0.0977567925561271
Mrpl20,0.07394794128624936,0.07394794128624936,0.009133383614483008
Eif4e,0.025000461774277973,0.025000461774277973,0.37868748694137483
Bag1,0.033347259376640556,0.033347259376640556,0.24024763070314314
Polr2i,-0.034089824959075345,0.034089824959075345,0.22993219303210286
Tmem134,-0.030359912293114043,0.030359912293114043,0.2850184156661495
Mgst3,0.06041781418901247,0.06041781418901247,0.03325037123605082
Abhd16a,-0.060217246472414644,0.060217246472414644,0.03384056115095439
Cct8,0.1303217563263722,0.1303217563263722,4.068711842858935e-06
Zfp672,0.003809685597402164,0.003809685597402164,0.8933026907277566
Ppib,0.018692811260351303,0.018692811260351303,0.5104310736647388
Myl6,0.07922104185661809,0.07922104185661809,0.005214269142623821
Usp39,-0.015319989993208293,0.015319989993208293,0.5896140432129209
Rbmxl1,-0.06449539072757603,0.06449539072757603,0.023024612566594795
Psma5,0.11077979297171274,0.11077979297171274,9.145171043760313e-05
Fip1l1,-0.027775039812109704,0.027775039812109704,0.32804880689974886
Nono,-0.045826032926753996,0.045826032926753996,0.10647887345691182
Cdt1,-0.06802758998469284,0.06802758998469284,0.0164941491785569
Cnbp,-0.019557911979146258,0.019557911979146258,0.49105476791454844
Ces2g,0.04050518512659853,0.04050518512659853,0.15368579573334373
2510006D16Rik,0.11258491601836192,0.11258491601836192,6.997433455633824e-05
Nsmce1,-0.0021107793432461864,0.0021107793432461864,0.9407610869222105
Phb2,0.006489571723570625,0.006489571723570625,0.8192748600049425
Nucks1,0.04503873015541113,0.04503873015541113,0.1126343901050043
Ncl,0.1872106544621105,0.1872106544621105,2.932608686966112e-11
Cox6b1,0.076608795399623,0.076608795399623,0.006911046640061681
Mllt10,0.08250623678167786,0.08250623678167786,0.0036175184365341093
Magoh,0.015410278150520691,0.015410278150520691,0.5874226538158693
Gipc1,-0.0703450654898265,0.0703450654898265,0.013150097382981108
Pcnp,-0.06867423071659383,0.06867423071659383,0.015493218325102366
Pold3,0.02425033374024351,0.02425033374024351,0.39316273187841305
Rps19,0.13695715470623393,0.13695715470623393,1.2684659990477257e-06
Mpp1,0.04320830335751009,0.04320830335751009,0.12802776937542018
Rps2,0.1439231006309494,0.1439231006309494,3.513767557162335e-07
Osgep,-0.024004200155742804,0.024004200155742804,0.39798439214187675
Slc48a1,-0.06663322222086558,0.06663322222086558,0.01884741307480035
Copb2,0.02991292305972008,0.02991292305972008,0.29217324352995533
Tmed9,0.041034729527133385,0.041034729527133385,0.14837380792085264
Txnl1,0.08546745122872543,0.08546745122872543,0.0025737775596530944
Pnrc2,-0.08299290128845496,0.08299290128845496,0.0034231156213795863
C1d,-0.03623946695029127,0.03623946695029127,0.20185469053288715
Sep15,0.026804928971317914,0.026804928971317914,0.345231862709256
BC056474,-0.032328559798945174,0.032328559798945174,0.25492254900358524
Ppp2r1b,-0.029435801257124965,0.029435801257124965,0.2999422816907692
Atp6v1f,0.024688887646850337,0.024688887646850337,0.384659718135212
Rod1,0.02831439300239127,0.02831439300239127,0.3187394830590377
Cldn13,0.1232091513914864,0.1232091513914864,1.3345164460312265e-05
Tomm5,0.03383204286246878,0.03383204286246878,0.23347694645744596
Ly6e,-0.07048386918657804,0.07048386918657804,0.012970314805279206
Cdk2ap2,-0.02271465777928464,0.02271465777928464,0.42382229005840827
Use1,-0.027566311788994578,0.027566311788994578,0.3316982992316967
Rpl4,0.13331922448138778,0.13331922448138778,2.419850081987473e-06
Hn1,0.017951734590117615,0.017951734590117615,0.5273415932703709
Rer1,0.03966543229872522,0.03966543229872522,0.16240388218598248
Gmnn,0.03798760791769202,0.03798760791769202,0.18093068508097696
Cela1,-0.004762104084234183,0.004762104084234183,0.8668522338639613
2900064A13Rik,0.04340716987940122,0.04340716987940122,0.12628014061962578
Clic1,0.12867345111063613,0.12867345111063613,5.388379056626042e-06
Pmpca,-0.0598978348066788,0.0598978348066788,0.03479892457907993
Ppp2ca,-0.06302623653049724,0.06302623653049724,0.026341218318306152
Mrpl17,0.034089412985792523,0.034089412985792523,0.22993782739496305
Pafah1b1,0.080665478109738,0.080665478109738,0.004446883436647986
Klf1,0.08474214411592419,0.08474214411592419,0.002800251587078806
Cd24a,0.07905287237740534,0.07905287237740534,0.005310972442968894
Manf,0.03694829816037039,0.03694829816037039,0.19316746515165917
Sh3glb1,0.01432062818715167,0.01432062818715167,0.6141169405661934
S100a9,0.23614556429407596,0.23614556429407596,3.3571159083053854e-17
Hemgn,0.06382863264981635,0.06382863264981635,0.024482036516869983
Gemin7,-0.0700876640200619,0.0700876640200619,0.013489323739421369
Nudt19,-0.026855684108608523,0.026855684108608523,0.3443188990496336
Ccnb2,0.04497111757953253,0.04497111757953253,0.11317582020917238
Akr1a1,0.00610364110927405,0.00610364110927405,0.8298530384288492
Mrpl43,-0.04140528667627722,0.04140528667627722,0.14474076722963114
Trak2,-0.005111146234822455,0.005111146234822455,0.8571942366393416
Snx3,0.054277737641511725,0.054277737641511725,0.055832489935730076
Rnf10,-0.09066955688395427,0.09066955688395427,0.001380241303935623
Gtf2f1,-0.031462303605459596,0.031462303605459596,0.2678821264493022
Hspa4,0.06366138902755535,0.06366138902755535,0.024859892325966602
Tmco1,-0.023373929400352458,0.023373929400352458,0.4104923549738159
Hars,-0.012062923854243792,0.012062923854243792,0.6710486749491953
