,Pearson Correlation,Absolute Correlation,P-values
Tmem176b,-0.11028139147889315,0.11028139147889315,1.9486383563668143e-18
Gpr34,-0.08334452925254075,0.08334452925254075,3.79694583969101e-11
Hexa,0.022332709378446485,0.022332709378446485,0.07692551493494616
Trf,-0.0404214365383008,0.0404214365383008,0.001362896972305372
Rnaset2b,0.3312250245606212,0.3312250245606212,1.634105206964109e-160
Srsf2,0.1720221175152053,0.1720221175152053,7.158826487403031e-43
Il6ra,-0.04501900589283934,0.04501900589283934,0.00036110571646677867
Gng10,0.03735829386510703,0.03735829386510703,0.0030809765248137884
Abhd12,0.04431791528408306,0.04431791528408306,0.0004457781253706924
Clta,0.050209486808577175,0.050209486808577175,6.928161020389165e-05
B2m,0.33024126102371865,0.33024126102371865,1.6205874726471549e-159
Tmem50a,0.0923801724220561,0.0923801724220561,2.2754651455074374e-13
Ckb,-0.049213437596135,0.049213437596135,9.630677961562056e-05
Gnai2,0.05315891511140283,0.05315891511140283,2.522442971053687e-05
Tcn2,-0.026515982770728103,0.026515982770728103,0.035707361082992335
Ptgs1,0.04687077173907282,0.04687077173907282,0.00020411461047864185
Tmed10,-0.03778466049307984,0.03778466049307984,0.0027594033282490153
Ctsc,-0.10215100031565615,0.10215100031565615,5.026774965045317e-16
Sft2d1,0.08506308359404473,0.08506308359404473,1.492601652405444e-11
Shisa5,0.09609058438277958,0.09609058438277958,2.396522426830943e-14
Serpine2,0.05949023825405136,0.05949023825405136,2.4126584505373184e-06
Ubc,-0.28563976772104605,0.28563976772104605,4.25893437032662e-118
Ndfip1,-0.010438659832192674,0.010438659832192674,0.40841321535121256
Fermt3,-0.07987903142605714,0.07987903142605714,2.3585220328992073e-10
Atp6v0c,0.15046438435644066,0.15046438435644066,4.311256948295649e-33
Capza2,0.00991856099676164,0.00991856099676164,0.4321616629523642
Rps4x,0.1800636201728585,0.1800636201728585,7.1733891010615595e-47
Arpc4,0.07079335693910903,0.07079335693910903,1.9842610977521472e-08
Susd3,0.04559707569529988,0.04559707569529988,0.0003028624769481517
Asah1,-0.1404069926319476,0.1404069926319476,5.428309574338279e-29
Ltc4s,-0.006199027897501705,0.006199027897501705,0.6234808308614918
Sdf4,0.07268500082701644,0.07268500082701644,8.226356904478654e-09
Selk,0.03737620936567025,0.03737620936567025,0.0030668045628907924
Ywhah,0.009483172603642648,0.009483172603642648,0.4526430846410619
Sept2,0.12321041172831251,0.12321041172831251,1.1862890422317912e-22
Tpt1,0.13852262993420095,0.13852262993420095,2.9545157100444135e-28
Fcgr2b,0.12329636774584,0.12329636774584,1.1081296799856283e-22
Rplp1,0.1811429876297942,0.1811429876297942,2.0149353490385117e-47
Golm1,-0.12885011475047262,0.12885011475047262,1.2240225202178035e-24
H2-T23,0.09552774330765477,0.09552774330765477,3.3907734634274506e-14
Hnrnpa2b1,-0.14821852963710933,0.14821852963710933,3.7625205602760163e-32
Gm2a,0.13433817315772387,0.13433817315772387,1.169837301289255e-26
Tuba1b,-0.06468537858924273,0.06468537858924273,2.928563582573228e-07
Ywhae,0.1352846079742319,0.1352846079742319,5.1422391182205086e-27
Lamp1,-0.11586558946143938,0.11586558946143938,3.3617093390333364e-20
Hmha1,-0.006517943155556712,0.006517943155556712,0.6057289282757938
Fcgr1,0.01135553039224293,0.01135553039224293,0.368490080140841
Itgb5,-0.28983977948756506,0.28983977948756506,1.0813401422224473e-121
Sgk1,-0.2737018184819327,0.2737018184819327,3.2667736040584596e-108
Pmepa1,0.04830756010986047,0.04830756010986047,0.0001292696871614998
Hsp90b1,-0.039738522101778036,0.039738522101778036,0.0016425203854971346
Rps9,0.24515487920729984,0.24515487920729984,1.5683063111806166e-86
Atp1b3,-0.05091966485141131,0.05091966485141131,5.458170869442283e-05
Olfml3,0.06077365848492679,0.06077365848492679,1.4552162295666476e-06
Tmed2,0.005825603912952983,0.005825603912952983,0.6445476495156338
Rps19,0.10726680684652419,0.10726680684652419,1.6045344840011973e-17
Dusp6,-0.16696987460334692,0.16696987460334692,1.8587675046043765e-40
Prdx1,0.13320650957435884,0.13320650957435884,3.1017591638155625e-26
Cox4i1,0.08560197248328029,0.08560197248328029,1.1095161533561536e-11
Ssr2,0.04258187882956721,0.04258187882956721,0.0007416286321000631
