,Pearson Correlation,Absolute Correlation,P-values
Ly6e,0.13206979592093415,0.13206979592093415,7.001921879077456e-05
Tsc22d1,0.16019868718312544,0.16019868718312544,1.3435435836791637e-06
Hsp90ab1,0.1201714629796659,0.1201714629796659,0.00030006097681610516
Spnb2,0.017749397857552935,0.017749397857552935,0.5946706085074364
Rps9,0.31529722204830213,0.31529722204830213,3.0296387038108677e-22
Pkm2,0.11407647253086625,0.11407647253086625,0.0006021454678683855
Cnbp,-0.014041639105557896,0.014041639105557896,0.673814398946453
Pttg1ip,-0.13507689851453156,0.13507689851453156,4.750299877170562e-05
Hspb1,0.1164904848526503,0.1164904848526503,0.00045877943432747804
Klf2,0.12240596306856151,0.12240596306856151,0.0002305273041597241
Klf6,0.05438907639100793,0.05438907639100793,0.10278067327126758
Wfdc1,0.1805225700962145,0.1805225700962145,4.868490915325076e-08
Rpl41,0.2860663872382555,0.2860663872382555,1.978381491896986e-18
Rps16,0.21939619310170233,0.21939619310170233,2.7818801983073536e-11
Rpl14,0.3083381689598349,0.3083381689598349,2.6875218817616837e-21
Cox6c,0.19894326233085446,0.19894326233085446,1.705451272761581e-09
Gm1821,0.36219184229472356,0.36219184229472356,2.577246192969567e-29
Naca,0.13490927573135614,0.13490927573135614,4.855200441059361e-05
Myl12a,0.2771922942207603,0.2771922942207603,2.3414616306930328e-17
Srp14,0.08397541082732704,0.08397541082732704,0.011681669437838958
Rpl8,0.12428070665625456,0.12428070665625456,0.0001841512327195403
Lsr,-0.010264861701743136,0.010264861701743136,0.7583127104565723
Sumo2,0.1075182166584089,0.1075182166584089,0.0012282749690043118
Rpl35,0.4095882508117725,0.4095882508117725,9.149076267248817e-38
Mrfap1,0.09836885776625423,0.09836885776625423,0.0031188249021631845
Aldoa,0.26029571933209655,0.26029571933209655,2.028043454094156e-15
Rap1b,-0.20678143175965383,0.20678143175965383,3.7016561186125544e-10
Eif1,0.2659079225226327,0.2659079225226327,4.772071393471483e-16
Cfl1,0.593257515215609,0.593257515215609,9.278788587620603e-87
Esam,0.08070699727548976,0.08070699727548976,0.015386769344227716
Cdkn1a,0.0030665356190645167,0.0030665356190645167,0.9267619216648211
Thbd,0.06067343224940961,0.06067343224940961,0.06870375720481116
Cd93,-0.023237927160525085,0.023237927160525085,0.4860213873653358
Mcl1,-0.3286671463636326,0.3286671463636326,3.876653348007427e-24
Gatm,-0.0994005880451707,0.0994005880451707,0.0028179243010609234
Btg2,0.06096693976648233,0.06096693976648233,0.06737185604029883
Atp6v1g1,0.21404889312450123,0.21404889312450123,8.498891598811088e-11
Pfn1,0.3251039132790622,0.3251039132790622,1.2655158807676709e-23
Isyna1,-0.04359738192086789,0.04359738192086789,0.1910589577346953
Sepw1,0.2728128340081546,0.2728128340081546,7.671963426962216e-17
Sox18,0.053675100435005216,0.053675100435005216,0.10738226013936547
Fxyd5,0.32267378117019446,0.32267378117019446,2.810488294818764e-23
D8Ertd738e,0.17329995761163094,0.17329995761163094,1.6559441613608468e-07
Arf4,0.0023884817894732208,0.0023884817894732208,0.9429243590371782
Slc2a1,-0.20859051942169032,0.20859051942169032,2.579176923851885e-10
Pfdn5,0.22624704999152212,0.22624704999152212,6.373552508069095e-12
Rpl36,0.30266602025466266,0.30266602025466266,1.5256131961628542e-20
Dusp1,0.09278286922977108,0.09278286922977108,0.005316895111707634
Herpud1,-0.08238708489495498,0.08238708489495498,0.013369997582824946
Ppp1r2,-0.1574996691767457,0.1574996691767457,2.0268167378926485e-06
Rps6,0.29555457813664804,0.29555457813664804,1.275355033081798e-19
Dusp3,0.18603834331622465,0.18603834331622465,1.847789857821997e-08
Fth1,0.3820959847426645,0.3820959847426645,1.0737724918933772e-32
Lims2,-0.005720602969414257,0.005720602969414257,0.8638491615325059
Ier5,-0.1378839537758775,0.1378839537758775,3.282571663159951e-05
Atp5j,0.29476365379194813,0.29476365379194813,1.6092020429128653e-19
St3gal6,-0.08178848996790627,0.08178848996790627,0.014060088058844173
Ablim1,-0.21377779748871084,0.21377779748871084,8.987022248560444e-11
Ctsh,0.04352897743169231,0.04352897743169231,0.19175684728288364
Gng5,0.17244860343052368,0.17244860343052368,1.9066946938890187e-07
Eef1g,0.05123027873498818,0.05123027873498818,0.12438239866706609
Spcs2,0.0649930933383668,0.0649930933383668,0.051148750612941225
Actg1,-0.11449229499897716,0.11449229499897716,0.0005748017163213925
Eif5,-0.07432185699826502,0.07432185699826502,0.025688878183005134
Ndufv2,0.10511173628477856,0.10511173628477856,0.0015805127131132157
Gnb2l1,0.010976567174171956,0.010976567174171956,0.7421311803050333
Bcl2l1,-0.2819985180761724,0.2819985180761724,6.209604782464548e-18
Osbpl1a,-0.07891967773390424,0.07891967773390424,0.017821165764111892
Chchd2,0.16604454179883907,0.16604454179883907,5.386291768951909e-07
S100a16,0.1418416015222697,0.1418416015222697,1.9258016668450634e-05
Utrn,-0.14978083566222336,0.14978083566222336,6.3265066442888555e-06
Clic4,-0.07027966312548804,0.07027966312548804,0.03492379809315362
Rac1,-0.07282251421799492,0.07282251421799492,0.028833397784137276
Spna2,-0.1024775929165024,0.1024775929165024,0.002070863563464801
1190002H23Rik,-0.011179215679653312,0.011179215679653312,0.7375440929597651
Twf1,0.2652787003342734,0.2652787003342734,5.622185271418258e-16
Hsp90aa1,0.031194157144730027,0.031194157144730027,0.3496480300870783
Psma7,0.077156222502748,0.077156222502748,0.02054677177287091
Tpi1,0.1551091454889735,0.1551091454889735,2.9006355956642757e-06
Son,0.10805620761857125,0.10805620761857125,0.0011601528461917259
Ppfibp1,-0.07150821987761045,0.07150821987761045,0.03185652432247694
Eif4a1,-0.0805939227654563,0.0805939227654563,0.015531637724434211
Rplp1,0.3217955637970586,0.3217955637970586,3.7431048223375906e-23
Rpl7,0.12562177749532397,0.12562177749532397,0.00015651545853250773
Rrbp1,-0.0696554294058142,0.0696554294058142,0.03657645936347014
Use1,0.12938014213184565,0.12938014213184565,9.838182729419298e-05
Cd47,0.0049847824345899934,0.0049847824345899934,0.881222435232352
Reep5,0.15353764680682647,0.15353764680682647,3.660763751146319e-06
Rtn3,-0.11956325522295155,0.11956325522295155,0.0003221346060147414
Emp2,0.04327175987762783,0.04327175987762783,0.1943978353460847
S100a13,0.1582693389998112,0.1582693389998112,1.8038349773790753e-06
Srsf3,-0.003709065532627185,0.003709065532627185,0.9114739347576248
Sgms1,-0.43907496854545275,0.43907496854545275,9.367405179021508e-44
Tmed5,0.02523093634649726,0.02523093634649726,0.4493989010216105
Ap3s1,0.00038325980418422366,0.00038325980418422366,0.990833936274455
Tmem123,-0.32148041848882364,0.32148041848882364,4.1475383099263793e-23
Foxf2,-0.09395344810892549,0.09395344810892549,0.0047650931326444325
Mif,0.20732407892052238,0.20732407892052238,3.3226015135082037e-10
Syf2,0.19659311587741912,0.19659311587741912,2.6643638028503503e-09
Fis1,0.18478620941955032,0.18478620941955032,2.3082887476348806e-08
Slc3a2,-0.02860969184574788,0.02860969184574788,0.3910300494578248
Ilk,-0.015985347634611097,0.015985347634611097,0.6318025549901853
Uqcrb,0.08741332326356903,0.08741332326356903,0.00865878421231842
Sf3b2,0.05690087502023793,0.05690087502023793,0.0878245831377435
Rap1a,-0.02015150123382639,0.02015150123382639,0.5457755453672579
AU021092,0.028613558528522175,0.028613558528522175,0.3909659993741397
Pomp,0.24952055461420575,0.24952055461420575,2.963503666333912e-14
Rnasek,0.09331050688684933,0.09331050688684933,0.005061407290377916
Ppdpf,0.037188539617808804,0.037188539617808804,0.26480246773118865
Impdh1,-0.24870105123872469,0.24870105123872469,3.615477671827057e-14
Psme2,0.06565427687469737,0.06565427687469737,0.048825498793216404
Ppp2r1a,-0.15686829835732327,0.15686829835732327,2.2292407208514673e-06
Bnip2,-0.057177560178738956,0.057177560178738956,0.08629018018446921
Podxl,-0.11578536180772639,0.11578536180772639,0.0004969709229034908
Rab5c,-0.009395241744155314,0.009395241744155314,0.7782283763129522
Cops6,0.0655784479115066,0.0655784479115066,0.04908737296839067
Rpl22,0.1660709001247863,0.1660709001247863,5.363746694089823e-07
Il10rb,0.04158025379361805,0.04158025379361805,0.2124315842295623
Prom1,-0.22143657133882005,0.22143657133882005,1.802721058933913e-11
Maf1,-0.05609336577650061,0.05609336577650061,0.09242869189096582
Hspa1a,-0.1026233866934418,0.1026233866934418,0.002040443616621577
Vamp8,0.18547816223637578,0.18547816223637578,2.0415887975358306e-08
1110002B05Rik,0.07311096041401244,0.07311096041401244,0.028203955465262512
Ubl3,-0.1456172834513576,0.1456172834513576,1.1424677534190359e-05
Ankrd11,-0.11542180679804512,0.11542180679804512,0.0005177991243336109
Wbp5,0.14160215264597825,0.14160215264597825,1.9897619491988428e-05
Pak1ip1,0.012103084137633498,0.012103084137633498,0.7167519483335097
Csnk2b,0.09496345740072154,0.09496345740072154,0.004331154552358023
Sema3c,-0.29954497161158694,0.29954497161158694,3.9024612697273667e-20
Ddx5,-0.11644264600647329,0.11644264600647329,0.00046128148985682103
Srsf2,0.05404174759363361,0.05404174759363361,0.10499926784627385
Ncl,-0.059980109170031916,0.059980109170031916,0.07193588855396998
Ddrgk1,0.16789377247439194,0.16789377247439194,4.0067860559808396e-07
Tm2d2,0.013629505637121777,0.013629505637121777,0.682860169668563
Cnn3,-0.13368307688265382,0.13368307688265382,5.691981144571586e-05
Slc22a8,-0.13769450645155454,0.13769450645155454,3.3662382922056447e-05
Zfp36l1,-0.01734536254512019,0.01734536254512019,0.6030871206832622
Klc1,-0.12385239370792112,0.12385239370792112,0.0001939014877315394
Rps27l,0.1528261810087244,0.1528261810087244,4.064474297387477e-06
Cdc42ep3,-0.02001493229739762,0.02001493229739762,0.548501212899117
Tubb4b,0.01863026359764014,0.01863026359764014,0.5765095097060682
Pla2g16,0.1670859319125806,0.1670859319125806,4.561442519462425e-07
Tmem98,0.0589750881986484,0.0589750881986484,0.07684083021185589
Rras,0.0918584079152884,0.0918584079152884,0.005792698643626828
Rpl17,0.24086109224352564,0.24086109224352564,2.3368783190985753e-13
Ftl1,0.48214413896407937,0.48214413896407937,1.2369076330306531e-53
Ndufa6,0.22064783763141363,0.22064783763141363,2.132947198239442e-11
Ndufb11,0.14520586380322514,0.14520586380322514,1.2101252684163596e-05
Clptm1,-0.04903087221980331,0.04903087221980331,0.14140350988753178
Dazap2,-0.017078060696403944,0.017078060696403944,0.6086845570337112
Rbm8a,0.17562022373726033,0.17562022373726033,1.1236364420699387e-07
Rbm25,0.06229641664986032,0.06229641664986032,0.06160190946572307
0610010O12Rik,0.31769319943738694,0.31769319943738694,1.409755585221438e-22
8430408G22Rik,0.13052530963060788,0.13052530963060788,8.518769536537938e-05
Shisa5,-0.01269155934566514,0.01269155934566514,0.7036153308042793
Tspan31,-0.0178600732234889,0.0178600732234889,0.592374497432777
Ppp1r15a,-0.08197471392978342,0.08197471392978342,0.013842110660537942
Ppp1ca,0.09123432726492602,0.09123432726492602,0.006135224845913148
Rasgrp2,0.019026911584163177,0.019026911584163177,0.5684178529536421
Hsbp1,0.15183936370979081,0.15183936370979081,4.695499303675629e-06
Pls3,-0.3941081651494825,0.3941081651494825,7.492073818888019e-35
Rbbp4,-0.06771481003032952,0.06771481003032952,0.042145188585417326
Gdi1,-0.10643135590580777,0.10643135590580777,0.0013772813548985922
Ubxn1,0.06904376218484479,0.06904376218484479,0.038259913061990565
Rps11,0.16484741214362034,0.16484741214362034,6.512113573796692e-07
Hpcal1,-0.11954118316520257,0.11954118316520257,0.00032296350451046623
Slc25a5,0.11364385805329158,0.11364385805329158,0.0006318726348851475
