,Pearson Correlation,Absolute Correlation,P-values
Rps15,0.0027860351762070776,0.0027860351762070776,0.8883017068362328
Rpl10a,0.0879077144763554,0.0879077144763554,8.982711300256634e-06
Ppia,-0.04476882922910465,0.04476882922910465,0.023940908341572593
Fth1,0.09656793340660944,0.09656793340660944,1.0623913497320716e-06
H3f3a,-0.1218714892598924,0.1218714892598924,6.962299587201705e-10
Rps15a,0.06289057959442866,0.06289057959442866,0.0015052832988811495
Atp6v1g1,-0.03591535136717026,0.03591535136717026,0.0701106069982624
Snrpb,-0.012569651466472615,0.012569651466472615,0.5262749623071593
Cst3,-0.2208290272855878,0.2208290272855878,1.8011067972123995e-29
H2-D1,0.3727211466471148,0.3727211466471148,1.1654398805537207e-84
Gimap6,-0.04421242100326159,0.04421242100326159,0.025748496895526957
Clic1,0.06477345169052501,0.06477345169052501,0.0010797560938960518
Ctsd,0.2794354677814086,0.2794354677814086,7.475425772921539e-47
Ptrf,-0.05814033072018066,0.05814033072018066,0.003351344274469385
S100a16,-0.06961640376866424,0.06961640376866424,0.00044165263380840285
Gnb2,-0.026619786229258226,0.026619786229258226,0.17952178750487516
Shisa5,-0.029719215289429852,0.029719215289429852,0.13398405651450823
Actr3,-0.0068198595536940534,0.0068198595536940534,0.730984988873889
Arf5,-0.16418310673600855,0.16418310673600855,7.840642889848004e-17
Tomm7,-0.08521155005962776,0.08521155005962776,1.6802687385068325e-05
Rpl27a,-0.0031208377033320476,0.0031208377033320476,0.8749831335980424
Rps8,-0.0026917995264777437,0.0026917995264777437,0.8920562954689544
Tomm6,-0.029461159004467566,0.029461159004467566,0.1373964773050596
Rap1b,-0.05091784084224348,0.05091784084224348,0.01021096067883404
Hsp90ab1,0.09080758202915418,0.09080758202915418,4.488233571907804e-06
Rpl11,0.049357705703472574,0.049357705703472574,0.012781428530723771
Atp5h,-0.026543474931549262,0.026543474931549262,0.1807726734258773
Akr1a1,-0.03620082548900669,0.03620082548900669,0.06791036082830922
Sdpr,-0.0072595994012796365,0.0072595994012796365,0.7143761719051512
Tpt1,0.0016645216646625062,0.0016645216646625062,0.9331247484111307
Sypl,-0.00017063413193840299,0.00017063413193840299,0.9931364993816506
Ubl5,-0.026517608129935016,0.026517608129935016,0.18119814355956487
AW112010,0.05365688217333018,0.05365688217333018,0.006790035715388761
Rps28,0.2674121408455005,0.2674121408455005,6.534971319532193e-43
Gstm1,0.044183942321521605,0.044183942321521605,0.025844106629040877
Atp5e,-0.16134947476832634,0.16134947476832634,2.6591107373986227e-16
Cfl1,-0.12245079801033319,0.12245079801033319,5.774028012918753e-10
Nfib,0.11286266416220798,0.11286266416220798,1.1429513290071004e-08
Rpl32,0.05218743685367516,0.05218743685367516,0.008470050979311127
Hnrnpa2b1,-0.019696172740985788,0.019696172740985788,0.32068790838653227
Cox7a2l,0.04435228358679541,0.04435228358679541,0.02528336996890056
B2m,0.30949341378768636,0.30949341378768636,1.3417915739257512e-57
Rabac1,0.05068496662085845,0.05068496662085845,0.01056279607642975
Ndufa4,-0.1130176145148247,0.1130176145148247,1.0911757123879903e-08
Snrpg,0.025807874670407894,0.025807874670407894,0.19316377385225322
Ran,-0.07250440777345234,0.07250440777345234,0.0002522117832327671
Cope,-0.013843943106277505,0.013843943106277505,0.485207090289612
Rps18,0.08013929444346353,0.08013929444346353,5.196798927748613e-05
Slfn5,0.07247230425239955,0.07247230425239955,0.00025381585121480584
Arhgap31,-0.02011609028846001,0.02011609028846001,0.3104773294561833
Cox6b1,-0.07401324420281334,0.07401324420281334,0.00018669098735620056
Ablim1,0.10140959557340916,0.10140959557340916,2.965765902191884e-07
Cyc1,-0.05554642597501164,0.05554642597501164,0.005071735064873131
Timm13,-0.04013942285074562,0.04013942285074562,0.04293145086366212
Rpl8,0.04588670701608397,0.04588670701608397,0.020639263499657657
Tmsb4x,-0.05331815699965582,0.05331815699965582,0.007148260279772675
Hspa8,0.050549211848636054,0.050549211848636054,0.010772835452188297
Adam15,0.1267659667983314,0.1267659667983314,1.393601225657234e-10
Srsf2,-0.006351819595813609,0.006351819595813609,0.748802041696904
Cltb,0.07965256165887358,0.07965256165887358,5.77209433172012e-05
Gltscr2,0.1576531015615226,0.1576531015615226,1.2658532443756385e-15
Mrps21,-0.08416864903009469,0.08416864903009469,2.1304345024610107e-05
Anxa7,0.07580117650588816,0.07580117650588816,0.0001297706507274024
Txnip,0.034046791650510805,0.034046791650510805,0.08599587328247904
Gas6,-0.020464754164778685,0.020464754164778685,0.30216409336196776
Gcap14,0.046239147345875475,0.046239147345875475,0.01968411912249709
Slc3a2,0.1365704989440129,0.1365704989440129,4.60002093366205e-12
Csnk1a1,0.09594906443434945,0.09594906443434945,1.2452565464212776e-06
Ywhah,0.009559637289685717,0.009559637289685717,0.6298458693528787
Srsf3,0.07072106989153945,0.07072106989153945,0.0003573191361494059
Romo1,0.016809449458206126,0.016809449458206126,0.39672787380808483
Rhoj,0.06491657288548057,0.06491657288548057,0.0010524604960607132
Hpcal1,0.004013395221849135,0.004013395221849135,0.8396593099574908
Ndufa7,0.04749789081645436,0.04749789081645436,0.016580639875710047
Pgrmc1,0.05135477312577271,0.05135477312577271,0.009578855449312546
Rps23,0.020077519187702043,0.020077519187702043,0.3114061668121338
Ctnnbip1,-0.05603506911099967,0.05603506911099967,0.004696671672071052
Hnrnph1,-0.03487605233245518,0.03487605233245518,0.07861970197214785
Usmg5,-0.06411842403526971,0.06411842403526971,0.0012132331724270858
Slc43a3,0.11101612528404654,0.11101612528404654,1.9764592498839935e-08
Pkm2,0.13312291699394327,0.13312291699394327,1.5709707557028868e-11
Tcf4,0.03578174242619435,0.03578174242619435,0.0711602812034067
Mrfap1,-0.03152674802745253,0.03152674802745253,0.11188838927464186
Eif4g2,-0.047247455147368236,0.047247455147368236,0.017161434959313146
Fabp4,0.10602123002417262,0.10602123002417262,8.322577887221877e-08
Psmb6,0.0074172912608534486,0.0074172912608534486,0.7084525150203363
Vim,0.17487857955201003,0.17487857955201003,6.406306093151729e-19
Dnaja1,0.041224382044503606,0.041224382044503606,0.037604425570071945
Col4a1,-0.2708850523910632,0.2708850523910632,4.9794865422725785e-44
Npdc1,-0.055203628021861836,0.055203628021861836,0.005350783888988355
Prdx1,-0.03840605357389389,0.03840605357389389,0.052758769160641004
Eif3f,0.031533349044484134,0.031533349044484134,0.11181331361243199
Dnajc8,0.0036253728683575577,0.0036253728683575577,0.8549803851609277
Btg2,0.06169107101562825,0.06169107101562825,0.001851864412657033
Rab1,0.020876835365130436,0.020876835365130436,0.2925313660491039
Txnl4a,-0.09422600322591587,0.09422600322591587,1.9279055179918224e-06
Gm1821,-0.14313470560104444,0.14313470560104444,4.068343695098878e-13
Gnb1,-0.05402925223057978,0.05402925223057978,0.0064149059952870605
Rbm3,0.210440872989865,0.210440872989865,7.409027139965387e-27
Prnp,0.06456362420800435,0.06456362420800435,0.0011209583285502033
Rbpms,0.025351769064741573,0.025351769064741573,0.20115368432649813
Ube2i,-0.04029143829369583,0.04029143829369583,0.042148676976659964
Arl6ip5,-0.03426714761787897,0.03426714761787897,0.08398334776323944
Sh3glb1,0.05696253920872777,0.05696253920872777,0.004053054054453451
Rps16,-0.007792211459384869,0.007792211459384869,0.6944398764190509
Palmd,0.05575535356804782,0.05575535356804782,0.004908177894336023
Ndufab1,-0.07389858499673106,0.07389858499673106,0.0001910452012552298
Drap1,-0.00496596744965083,0.00496596744965083,0.8023149045747316
Srsf5,-0.031746446656374716,0.031746446656374716,0.10941094873132719
Rbm39,0.11735487770140697,0.11735487770140697,2.906925465989675e-09
Calm2,0.04296138802162045,0.04296138802162045,0.03024816959368328
Prdx2,-0.01736787998170597,0.01736787998170597,0.3812268320450692
Minos1,-0.05632006885978131,0.05632006885978131,0.004489684420294481
1500032L24Rik,0.031148456407407772,0.031148456407407772,0.11625761554036698
Rock1,0.1157279459270646,0.1157279459270646,4.8016350579762454e-09
Yipf3,-0.019923520162597512,0.019923520162597512,0.3151328794704225
Aldh2,0.3212994288451846,0.3212994288451846,3.5198586279977274e-62
