,Pearson Correlation,Absolute Correlation,P-values
Fth1,0.11641009316848504,0.11641009316848504,0.002398423284984149
Arpc4,-0.16680245409571143,0.16680245409571143,1.2661068343014602e-05
D8Ertd738e,-0.03507296287015829,0.03507296287015829,0.36185273495631426
Serinc3,-0.09608911239944143,0.09608911239944143,0.012308029598068145
Eef2,0.05532100741885084,0.05532100741885084,0.15017421068640746
Atp5h,-0.019458116663794076,0.019458116663794076,0.6130168183832263
Rps15,-0.020260441885962314,0.020260441885962314,0.5984500199450903
Aldoa,0.07399723030125173,0.07399723030125173,0.05412217470634469
Rps13,0.0680037582676318,0.0680037582676318,0.07681168254054667
Tceb2,-0.1162196900521395,0.1162196900521395,0.002438493748669289
Fuca1,0.06568099870278508,0.06568099870278508,0.08746574057162372
Tgfb1,-0.05350413194978791,0.05350413194978791,0.1640466062254241
Srsf5,-0.07545177718506496,0.07545177718506496,0.049550872725243604
Rpl24,0.032884055724516956,0.032884055724516956,0.392606217139344
Lgals1,0.0008237029656091596,0.0008237029656091596,0.982919903196693
2010107E04Rik,-0.012914845461692642,0.012914845461692642,0.7371153391991161
Rpl31,0.023383482639416503,0.023383482639416503,0.5433009855479216
Ube2d3,-0.0582012689117667,0.0582012689117667,0.1300367496488319
Ndufa7,0.020843907939810256,0.020843907939810256,0.5879562329292102
Rpl29,-0.07026772845111778,0.07026772845111778,0.06746763541389975
Pgls,0.016394110590130878,0.016394110590130878,0.6700219330022305
Uqcrh,0.10568118549709705,0.10568118549709705,0.0058797758632866196
Tpi1,-0.09036516901720473,0.09036516901720473,0.018600498456789082
Eif5a,-0.08471200582883777,0.08471200582883777,0.027407562634304022
Hspa8,-0.013337499271071241,0.013337499271071241,0.7288451268632523
Btf3,0.0073249722246546516,0.0073249722246546516,0.8490102619318903
Calm1,0.0001792744734103283,0.0001792744734103283,0.9962823398584962
Capns1,-0.03713251953752029,0.03713251953752029,0.3343337408752511
Tmem59,-0.06522072761412627,0.06522072761412627,0.089711986142806
Ndufs2,0.004671939080715776,0.004671939080715776,0.9033534938488472
Sdf4,0.14100441977519776,0.14100441977519776,0.0002303456527156117
Capza2,-0.09155839177127079,0.09155839177127079,0.01709544852203594
Rpl6,0.04278909279085439,0.04278909279085439,0.2658739599494656
1810027O10Rik,0.009092556577441669,0.009092556577441669,0.8131813084441175
Sec11c,0.0011934324441182885,0.0011934324441182885,0.975255358983327
Edf1,-0.04588173447564511,0.04588173447564511,0.23282536119685532
Ubb,-0.14760634401774095,0.14760634401774095,0.00011455500020065456
Klf13,-0.002484280496906644,0.002484280496906644,0.9485183542388
Ndufb2,-0.06756836694788923,0.06756836694788923,0.078724103047407
Ewsr1,-0.01857055880346524,0.01857055880346524,0.629310450063017
BC031181,0.028461451795453015,0.028461451795453015,0.45937644107077874
Llph,0.0049173817068752625,0.0049173817068752625,0.8983029580708936
Canx,0.08159608109190739,0.08159608109190739,0.033648677058720544
Wdr26,0.030785952009215398,0.030785952009215398,0.423520496588053
Eif3h,0.08876597503402207,0.08876597503402207,0.020798268426926086
Uba52,0.006959080644001978,0.006959080644001978,0.8564685297992166
Mbnl1,0.010441504276423123,0.010441504276423123,0.7860940694658506
Ahsa1,-0.10658048194777366,0.10658048194777366,0.005469727110869052
Iqgap1,0.09060858066907197,0.09060858066907197,0.018284409137634183
Nedd8,-0.07472196731511108,0.07472196731511108,0.05180240514805421
Gabarapl2,-0.05327800825827011,0.05327800825827011,0.16583843612982932
Ppia,-0.12579840286917127,0.12579840286917127,0.001028551766639936
Stx7,-0.06846362203390813,0.06846362203390813,0.07483297802159057
Prr13,0.012446400203693158,0.012446400203693158,0.7463171518055352
Spcs2,-0.036369680871817744,0.036369680871817744,0.34436544688857107
Txn1,0.03632101845473999,0.03632101845473999,0.34501181961665184
Atp6v1f,-0.11415583490317376,0.11415583490317376,0.0029137818286731347
Myl12b,-0.0022825710596963006,0.0022825710596963006,0.9526932641104732
Rps5,0.048841491487892096,0.048841491487892096,0.20402502496320757
Ddx3x,0.07486849843817715,0.07486849843817715,0.051343614712981205
Ndufa2,-0.056520930574728005,0.056520930574728005,0.14151403125827577
Rhoa,0.0278723023590465,0.0278723023590465,0.4687264994918604
Idh3g,0.005275053508158547,0.005275053508158547,0.8909504618545863
Pcbp1,0.03324177923048782,0.03324177923048782,0.3874749930584868
Pfdn5,0.09889655609421447,0.09889655609421447,0.00997545774746498
S100a6,0.3731380013062669,0.3731380013062669,7.990509389757633e-24
Rpl14,0.12055780047623417,0.12055780047623417,0.0016618853432916283
Blvrb,-0.10629503455164405,0.10629503455164405,0.0055970015617993855
Vps28,-0.006941148779896607,0.006941148779896607,0.8568343843050051
Ier3,0.29549678525902046,0.29549678525902046,3.960293741817017e-15
Lamp1,-0.06238951997291979,0.06238951997291979,0.1045660650137048
Med28,-0.059547564630560164,0.059547564630560164,0.12137234626147889
Mrfap1,-0.060548942577681376,0.060548942577681376,0.11522509770065077
Rps6,-0.002688025819479834,0.002688025819479834,0.9443027379597474
H2-K1,-0.015209170074180316,0.015209170074180316,0.6926103773046964
Bsg,-0.123755256027835,0.123755256027835,0.0012428169953031631
Ptma,-0.055498476968728123,0.055498476968728123,0.14886853881335393
Lsm4,-0.03445880463466207,0.03445880463466207,0.37032555743525436
Igfbp4,-0.19359083910616293,0.19359083910616293,3.7816981021571907e-07
Spop,-0.02884486034177301,0.02884486034177301,0.45334800519863716
Glul,-0.15017267088049138,0.15017267088049138,8.661211871066232e-05
Pafah1b1,0.049064094675947766,0.049064094675947766,0.20196848729241831
Pltp,-0.009011226595533094,0.009011226595533094,0.8148219392819837
Arf1,-0.07166306310426392,0.07166306310426392,0.06218855344422975
Commd8,-0.005860450205447321,0.005860450205447321,0.8789371749672631
H2-Ke2,0.009558345436421098,0.009558345436421098,0.8038011314592852
Rbm39,0.06984704126470191,0.06984704126470191,0.06912959993831858
Chmp2a,-0.024278347910317754,0.024278347910317754,0.5279773190939822
Sdcbp,-0.029398403239632564,0.029398403239632564,0.4447236087971229
Ndufc2,-0.07075648097046677,0.07075648097046677,0.06557811408987996
Ndufa8,-0.05873944226387435,0.05873944226387435,0.1265174295256405
Zfp36l2,0.0100384715772679,0.0100384715772679,0.7941616591425394
Dnajc3,0.048781442407192684,0.048781442407192684,0.20458238819589963
Ucp2,-0.17279228240170083,0.17279228240170083,6.039054464533054e-06
Actg1,0.005443691857370564,0.005443691857370564,0.8874870436244335
Pld4,-0.09248206604137535,0.09248206604137535,0.016004681535853067
Clic1,-0.09409127707000156,0.09409127707000156,0.014249638164200015
Slc29a1,-0.16180771015192627,0.16180771015192627,2.302130039625086e-05
Lst1,-0.15252300443628447,0.15252300443628447,6.677756055063606e-05
Rpn1,-0.06504031170062546,0.06504031170062546,0.09060500921561843
Kras,-0.028585148354112452,0.028585148354112452,0.45742664702047486
Rbx1,-0.03565437915621799,0.03565437915621799,0.3539442734949958
Ube2e1,-0.121874859257363,0.121874859257363,0.0014756290741516933
Ncf4,0.08168342401432109,0.08168342401432109,0.033458465320020905
Bcl10,-0.034050871595954074,0.034050871595954074,0.3760207146469211
Ndufa4,-0.07229206936178154,0.07229206936178154,0.05992283609841268
Gng2,-0.05209239585022779,0.05209239585022779,0.1754744490982749
Cdc42,-0.08339486058067129,0.08339486058067129,0.029912438390196774
Epn1,-0.10117260630008804,0.10117260630008804,0.008381994228901454
9530068E07Rik,-0.11194484117775512,0.11194484117775512,0.003515299595062352
Psmb5,-0.08840140783537229,0.08840140783537229,0.021329803681035684
Xbp1,0.017607789946223536,0.017607789946223536,0.6471904460046078
Ahnak,0.19734630886317162,0.19734630886317162,2.2172645546984483e-07
Cd53,-0.03177770210661967,0.03177770210661967,0.4087340930956219
Gsk3b,-0.03122214737919553,0.03122214737919553,0.41697896700864834
Ly86,-0.17594394877196462,0.17594394877196462,4.048996622595716e-06
Psmb10,-0.07398135302593324,0.07398135302593324,0.054173948182477706
Nucb1,0.030988371603888138,0.030988371603888138,0.4204774313526016
Ost4,-0.06602657445500543,0.06602657445500543,0.08580917719016572
Grn,0.00828195610466472,0.00828195610466472,0.8295685658468221
March2,0.04131680547642174,0.04131680547642174,0.2826889162132884
Ppp1cb,0.02968578508522673,0.02968578508522673,0.44028318106334713
Bst2,-0.19013068410962627,0.19013068410962627,6.128251795481144e-07
Cd300a,-0.004378906787891672,0.004378906787891672,0.9093883913892754
Tapbp,-0.04106252160579892,0.04106252160579892,0.2856643675567918
Sh3bgrl,0.0028022209838135166,0.0028022209838135166,0.9419406425021282
Atox1,0.04665257052767806,0.04665257052767806,0.22506141222071557
Mtap7d1,-0.04185634646650919,0.04185634646650919,0.27644521446742104
Comt,-0.07698186755060604,0.07698186755060604,0.04509548875545063
Srsf2,-0.15153411004704356,0.15153411004704356,7.453416232855014e-05
Socs3,0.18965318905928588,0.18965318905928588,6.545891581309076e-07
Rbm25,0.04191825032298014,0.04191825032298014,0.2757348937267974
Ccdc124,0.005640668653930712,0.005640668653930712,0.8834443403968592
Mapk1,0.011608162416219682,0.011608162416219682,0.7628725405938198
Gas5,0.1676615988511918,0.1676615988511918,1.1403427321270424e-05
Dnajc19,-0.08251763414413169,0.08251763414413169,0.03168754785084916
Rpl19,-0.0025401916031703073,0.0025401916031703073,0.9473613708244492
Snrpf,-0.07202627357301117,0.07202627357301117,0.060871774164593856
Tcn2,0.06279543100410306,0.06279543100410306,0.10232394035721448
Pycard,-0.11217678323460334,0.11217678323460334,0.0034472852487778876
Arrb2,-0.22965687620224748,0.22965687620224748,1.4492176338550522e-09
Mbnl2,0.05348362784907838,0.05348362784907838,0.16420848054975043
Tmem219,0.049883831622856444,0.049883831622856444,0.19452530199478388
Ms4a6b,0.03716259964429448,0.03716259964429448,0.3339420636594261
Il10rb,-0.14845808916813275,0.14845808916813275,0.0001044549803552839
2410001C21Rik,-0.019150537079599263,0.019150537079599263,0.6186422806705597
2900064A13Rik,0.004241280153776435,0.004241280153776435,0.9122245869193529
Rac1,0.009878296994728053,0.009878296994728053,0.7973740710298808
Cited2,-0.1994647662080465,0.1994647662080465,1.633143333351074e-07
Pcbd2,-0.029220049974247597,0.029220049974247597,0.4474921710587955
Ndufb4,-0.03366326715274211,0.03366326715274211,0.3814817554512986
4933407C03Rik,0.10201146755162516,0.10201146755162516,0.007854641411777467
Leprot,0.06580093035350668,0.06580093035350668,0.08688793927984757
Trf,-0.10939533344704194,0.10939533344704194,0.004347379701554353
Jhdm1d,0.10819049740319304,0.10819049740319304,0.004799448463185534
Eif3k,0.07885644502294156,0.07885644502294156,0.040101023716170574
Rnf187,-0.060973989306453064,0.060973989306453064,0.11269085390799892
Ubc,0.07726309142450057,0.07726309142450057,0.04431441165486608
Slc48a1,-0.0015533303298638035,0.0015533303298638035,0.9677968080568485
Asah1,0.004073700089043282,0.004073700089043282,0.9156795630122394
Lilrb4,0.03455949801970641,0.03455949801970641,0.3689280448874016
Ik,0.012181619242088638,0.012181619242088638,0.7515344330169005
Cox8a,-0.06300842964291205,0.06300842964291205,0.10116276686544244
C1qbp,-0.023237959916761464,0.023237959916761464,0.5458136402413503
Sec62,0.04719010004895018,0.04719010004895018,0.21975770203432912
Rps23,-0.00029918186683932816,0.00029918186683932816,0.9937958298677491
Hnrnpk,-0.09759300914838823,0.09759300914838823,0.01100463079190753
0610009D07Rik,-0.02905990736026092,0.02905990736026092,0.4499863593471348
Sdhd,-0.013420652968438713,0.013420652968438713,0.7272216950803835
Ndufa12,-0.1050824927848634,0.1050824927848634,0.006167878730209555
Metrnl,0.17250799521741195,0.17250799521741195,6.258618233368467e-06
Ndufb7,-0.0887873703530675,0.0887873703530675,0.020767435332328256
Rrp1,-0.011481899417195887,0.011481899417195887,0.7653758803430109
Gm11428,0.24915211236091345,0.24915211236091345,4.7173026747473203e-11
Abca1,0.03140508942097143,0.03140508942097143,0.41425321555425265
1500032L24Rik,-0.06707462930386794,0.06707462930386794,0.08093938767123209
Pcbp2,0.04463296653311054,0.04463296653311054,0.24580197498618597
Atp5b,0.007337617477377152,0.007337617477377152,0.8487527403059473
Polr2c,0.02981327699299156,0.02981327699299156,0.4383214170557779
Sat1,0.07064023358098892,0.07064023358098892,0.06602353529397605
Ywhaq,-0.022037402524452368,0.022037402524452368,0.566759686811732
Rpl18,-0.00993421631695162,0.00993421631695162,0.7962521782676014
Dnajb11,0.021448222346858187,0.021448222346858187,0.5771778535882514
Aes,-0.08445199258874597,0.08445199258874597,0.02788722057902025
Sfpq,-0.03395967079682697,0.03395967079682697,0.3773013103994165
Snrpg,-0.010265787638977491,0.010265787638977491,0.7896086644903836
Psma6,-0.04104171445085146,0.04104171445085146,0.2859087697082692
Ndufb9,-0.08299509867010016,0.08299509867010016,0.030710509911061244
Snrpe,-0.009725319610557732,0.009725319610557732,0.8004453392676414
Vps29,-0.03971726487911823,0.03971726487911823,0.30175622759929577
Cltc,-0.040786199121515994,0.040786199121515994,0.288921564835071
Eif4ebp1,-0.1700384153478529,0.1700384153478529,8.514444755250754e-06
Macf1,0.060475687320931726,0.060475687320931726,0.11566634888453113
Sh3kbp1,0.07879401825139778,0.07879401825139778,0.04025947957738193
