,Pearson Correlation,Absolute Correlation,P-values
Rpl3,0.25831755719128724,0.25831755719128724,2.369895622276575e-25
Ppia,-0.0355689257973585,0.0355689257973585,0.1589301682532309
Rtn4,0.0112967418784572,0.0112967418784572,0.6546793226072343
S100a11,0.01251096276381802,0.01251096276381802,0.6203536085328386
Npm1,0.19346265491341874,0.19346265491341874,1.0531141484539377e-14
Gnas,-0.16372787343191933,0.16372787343191933,6.73933766112094e-11
Gltscr2,0.23887728942781486,0.23887728942781486,8.245491573277514e-22
Atp6v1g1,-0.009175658884862022,0.009175658884862022,0.7163902970383613
Comt,0.08396328800558528,0.08396328800558528,0.0008680601913312118
Ddost,-0.016324392940783326,0.016324392940783326,0.5180507760063099
Eef1a1,0.050310123612064966,0.050310123612064966,0.046247886631463286
Psap,0.06256067754879649,0.06256067754879649,0.013163672789738337
Cfh,0.10358949614197861,0.10358949614197861,3.916548012572044e-05
Cd9,0.09446604572620367,0.09446604572620367,0.00017792855400762663
Plac9,0.6288878696019233,0.6288878696019233,1.3180527895576954e-173
Txn1,0.07859921897753255,0.07859921897753255,0.001828896522526061
Ube2i,-0.05481003450932023,0.05481003450932023,0.029881836385696758
Med28,-0.13064066697021853,0.13064066697021853,2.0520662744037276e-07
Wbp5,-0.1340409343662761,0.1340409343662761,9.768559015831101e-08
Arf4,-0.057956076947769886,0.057956076947769886,0.021646845312565367
Park7,-0.044832371560634986,0.044832371560634986,0.07575249332327728
Col1a1,-0.4243268289018691,0.4243268289018691,1.211133568030169e-69
Hspa5,-0.061615985219876414,0.061615985219876414,0.014614246720742798
Hnrnpa3,-0.034103491176402205,0.034103491176402205,0.1768213833544918
Lrp1,0.1450766981760856,0.1450766981760856,7.72266818534237e-09
Sarnp,-0.07904008137778272,0.07904008137778272,0.001723040235480808
Tbrg1,0.006796045600702112,0.006796045600702112,0.7878759082305506
Gnb2l1,0.19228025722875172,0.19228025722875172,1.5358550054179575e-14
P4hb,0.013225195703485182,0.013225195703485182,0.6005356049236584
Cald1,0.17455667598511868,0.17455667598511868,3.295153789354535e-12
Spnb2,0.14830537336439942,0.14830537336439942,3.540717744772925e-09
Jund,-0.03409408176483827,0.03409408176483827,0.17694091636973353
Atp5e,-0.0651540577991065,0.0651540577991065,0.009814371890775124
Rpl24,0.20839346896138197,0.20839346896138197,7.279929894395203e-17
Selk,-0.11917473578852611,0.11917473578852611,2.1882774484133718e-06
Ndufa2,-0.0392725089953628,0.0392725089953628,0.11983556579232557
Ctsz,-0.11421582989935845,0.11421582989935845,5.710105425448799e-06
Crip2,0.09911250835633918,0.09911250835633918,8.364181809779572e-05
Rps13,0.19007475116860953,0.19007475116860953,3.084746721353371e-14
2810428I15Rik,-0.006929347794980922,0.006929347794980922,0.7838174135629312
Gnb2,-0.058948162369258664,0.058948162369258664,0.019497110472688928
Psme2,-0.037578325231903506,0.037578325231903506,0.13666805201619156
Rps10,0.21376138616363208,0.21376138616363208,1.106159226739889e-17
Sfrs18,0.09838119926026162,0.09838119926026162,9.440053282389276e-05
Ccni,0.06839285256922013,0.06839285256922013,0.006708837067797412
Rpl10,0.14018433455777043,0.14018433455777043,2.4372735728090302e-08
App,0.11833750280271647,0.11833750280271647,2.57994267310954e-06
Tuba1b,-0.20987042576412882,0.20987042576412882,4.3569751381016195e-17
Rpl27a,0.07589077000348017,0.07589077000348017,0.0026212455940950604
Beta-s,0.6048170576012893,0.6048170576012893,2.920746080565846e-157
Ltbp4,0.0481595210910943,0.0481595210910943,0.05641413031834249
Gpx3,0.20214621184290893,0.20214621184290893,6.118694182228246e-16
Hnrnpc,-0.0563806911559762,0.0563806911559762,0.025484216819569257
Psmd7,-0.03796567416789204,0.03796567416789204,0.1326672792700017
Rbm25,0.07210805474534548,0.07210805474534548,0.004255152365614517
Tnxb,0.1430797209549152,0.1430797209549152,1.2403587867060499e-08
Fkbp1a,-0.1282637738485107,0.1282637738485107,3.409984013711683e-07
Mrpl20,-0.010817762004475444,0.010817762004475444,0.6684285256288416
Chchd2,-0.03438129639579209,0.03438129639579209,0.17331930093954376
1110008F13Rik,-0.05935497089318486,0.05935497089318486,0.018670965995170152
Emg1,-0.04561558155066139,0.04561558155066139,0.07077202674160793
Tspan31,-0.07861300376529408,0.07861300376529408,0.0018254981754410407
Ndufa12,-0.016985252260296305,0.016985252260296305,0.5012508282879619
Col6a2,-0.2509320713547391,0.2509320713547391,5.707994783231464e-24
Nenf,-0.029739899836294107,0.029739899836294107,0.23891116356672348
Gstm5,-0.039518388611443474,0.039518388611443474,0.1175336110196394
Rbp1,0.0766640203941615,0.0766640203941615,0.0023678979196798886
Ndufa11,-0.03514474252584534,0.03514474252584534,0.16396209911628362
Cebpb,-0.05230382099767695,0.05230382099767695,0.038245498194286444
Rps25,0.07998608574057037,0.07998608574057037,0.0015146316719522278
Sec31a,-0.10411414449220396,0.10411414449220396,3.57607512916189e-05
Ifi27l2a,0.35003273447214606,0.35003273447214606,1.7988069776782358e-46
Sept7,0.026379680557321077,0.026379680557321077,0.29620912803315896
Pdcd5,-0.021208420668659606,0.021208420668659606,0.401036699052667
Ctsl,-0.0015178255926944853,0.0015178255926944853,0.9520813422872949
Dpt,-0.054808738431799724,0.054808738431799724,0.029885718747416787
Cyth3,-0.010686589887360045,0.010686589887360045,0.672213556855828
Cuta,-0.03950344168172839,0.03950344168172839,0.11767254892500327
Itm2c,-0.08704376245605,0.08704376245605,0.0005548771741313431
Lpp,0.06792894154313504,0.06792894154313504,0.0070912062213273645
Pcolce2,0.13357175401864085,0.13357175401864085,1.08340442643041e-07
Psenen,0.0012251087849851803,0.0012251087849851803,0.9613144834095151
Itgb5,-0.024239732739033702,0.024239732739033702,0.3371395505458556
Igsf8,0.03465102544727417,0.03465102544727417,0.16996883679323133
Rpl9,0.0458171423387893,0.0458171423387893,0.0695346448462132
Syf2,0.016218329628800158,0.016218329628800158,0.520773888335843
Chd4,0.12041515923986332,0.12041515923986332,1.7110945715356432e-06
Ppp2r1a,-0.0009430514885252455,0.0009430514885252455,0.9702163133987283
Rps3,0.1977313349736729,0.1977313349736729,2.6429952456719437e-15
Tmed3,-0.012846722626515707,0.012846722626515707,0.611001676324753
Hint1,0.07064968081870487,0.07064968081870487,0.005100158960588124
Sdf4,0.1143232559757503,0.1143232559757503,5.594980413364958e-06
Cox7a2,-0.014173691431505327,0.014173691431505327,0.5746692078379185
Dph3,-0.0253695312323888,0.0253695312323888,0.31509734588229554
Rps15,0.0899920332823625,0.0899920332823625,0.0003567353759205483
