,Pearson Correlation,Absolute Correlation,P-values
Actb,0.17826766227952245,0.17826766227952245,5.537234230183097e-09
Atp5a1,-0.1709729313770235,0.1709729313770235,2.2977729497575326e-08
Tmem176b,0.12430543426020563,0.12430543426020563,5.155566526889444e-05
Rpl22,0.06851723140430029,0.06851723140430029,0.026049740792257487
Ywhae,0.06986663450979637,0.06986663450979637,0.02324370786529082
Fis1,-0.057991858654532685,0.057991858654532685,0.05970420745166259
Cox6c,-0.28378093137954297,0.28378093137954297,5.434822483160472e-21
Higd1a,0.024050321857441277,0.024050321857441277,0.43517922679776844
2310016M24Rik,-0.05044284353456654,0.05044284353456654,0.10152138894771316
Snrpg,0.013151385755342191,0.013151385755342191,0.66961307202467
Cox5a,-0.19458652428059647,0.19458652428059647,1.8434575567685276e-10
Ldha,0.0015156137994278029,0.0015156137994278029,0.9607838487616316
Arpp19,-0.04144874656262826,0.04144874656262826,0.1785383590263107
Bag1,0.002364516166298786,0.002364516166298786,0.9388539696815482
Tsc22d1,-0.017643898808783844,0.017643898808783844,0.5670154700063043
Cyc1,-0.14397393177487633,0.14397393177487633,2.6618719684803548e-06
Sat1,0.002981896512492371,0.002981896512492371,0.9229331340859895
H2afj,0.09984611164952807,0.09984611164952807,0.0011648461738109166
Rps10,0.015536888857958144,0.015536888857958144,0.6142036248505662
Ndufb7,-0.19787137403378946,0.19787137403378946,8.955776271055436e-11
Hspd1,-0.0061286928973932125,0.0061286928973932125,0.842395333002507
Rps27a,-0.030242469033639835,0.030242469033639835,0.3264160049887482
Rpl36a,0.047617325902750224,0.047617325902750224,0.12217935421703079
Uqcrh,-0.19900409322972618,0.19900409322972618,6.961872846086996e-11
Lsm6,-0.006098101356359852,0.006098101356359852,0.8431717997161041
Spcs1,-0.030398508558918985,0.030398508558918985,0.3239249823601343
Arf5,-0.023971676551356087,0.023971676551356087,0.4366827485214401
Tbca,-0.06294356420485178,0.06294356420485178,0.04094777288883999
Gapdh,-0.023506728162784193,0.023506728162784193,0.4456323489393726
Usmg5,-0.17436709476917978,0.17436709476917978,1.193960057282831e-08
Serf2,-0.08247125311882213,0.08247125311882213,0.007359569711835358
Ctsd,0.1387278123498909,0.1387278123498909,6.110536225938309e-06
Rer1,0.05694279927608657,0.05694279927608657,0.06447900501982297
P4hb,0.05229758499864659,0.05229758499864659,0.0895429345575256
Gas6,0.08621985582909834,0.08621985582909834,0.005072602769615486
Rpl38,0.04057944956821096,0.04057944956821096,0.1878280756774486
Rps19,0.07447142519178346,0.07447142519178346,0.015546930334760711
Lamp1,-0.024663808341965174,0.024663808341965174,0.42355358573932533
Idh2,-0.17545514801136633,0.17545514801136633,9.652858147749679e-09
Pgam1,0.03444938385753667,0.03444938385753667,0.2635893600901465
Dusp1,-0.290047043596187,0.290047043596187,6.760413374585163e-22
Rpl23a,-0.03994343844884669,0.03994343844884669,0.19484710937309827
Psmb3,-0.028273989919173854,0.028273989919173854,0.358904002902832
Psap,-0.01072865316153179,0.01072865316153179,0.7277862969359992
Atp1b1,-0.12572797584676684,0.12572797584676684,4.2187769548020374e-05
Anapc5,0.036526391885667205,0.036526391885667205,0.23586162213888914
Rpl13,0.023468281071101032,0.023468281071101032,0.44637704389647653
Rac1,0.03461920824051886,0.03461920824051886,0.26124130862215916
Reep5,0.04977851240070786,0.04977851240070786,0.1061096247723008
H1f0,-0.25639082223360893,0.25639082223360893,2.6806762884712955e-17
Ptms,-0.042844846478501966,0.042844846478501966,0.1643400358830128
Sepp1,-0.20739773769885636,0.20739773769885636,1.0278532542281474e-11
2010107E04Rik,-0.17957801279154012,0.17957801279154012,4.261031100795512e-09
Clta,-0.0638899243877927,0.0638899243877927,0.03800011750708673
Atp5f1,-0.19192606995952666,0.19192606995952666,3.2778529906193444e-10
Igfbp7,-0.09335922904873346,0.09335922904873346,0.002402043109562877
Ank3,0.04663663390061282,0.04663663390061282,0.1300711335757567
1500032L24Rik,0.0659534704765522,0.0659534704765522,0.03219251398118706
Wfdc15b,-0.1433617435521525,0.1433617435521525,2.937419629640445e-06
Park7,0.025456923713477127,0.025456923713477127,0.40879617610059554
