,Pearson Correlation,Absolute Correlation,P-values
Rps3,-0.05191266944948577,0.05191266944948577,0.17411322127466058
Laptm4a,0.0841072332272387,0.0841072332272387,0.027496172683465585
Rpl23a,0.05554532952015638,0.05554532952015638,0.1458485067417973
Rps6,-0.03233749960669896,0.03233749960669896,0.39740444867849994
Cox7a2,-0.10943164488459031,0.10943164488459031,0.004082913831044904
Rps9,-0.0652737213537401,0.0652737213537401,0.08734414660147932
Rpl13,-0.013639103212943409,0.013639103212943409,0.7211997346975645
Chchd2,-0.023687284561616777,0.023687284561616777,0.5353787272500362
Gng11,0.2524644621703514,0.2524644621703514,1.8899904657648318e-11
Rpl15,-0.017824204268681344,0.017824204268681344,0.6409500421666333
Gnai2,0.04324585349152563,0.04324585349152563,0.2576475100073904
Ier5,0.005262365019326606,0.005262365019326606,0.8904933508001971
Rpl18a,-0.04540264709497298,0.04540264709497298,0.2346442319145751
Atp5g3,-0.023146085961899997,0.023146085961899997,0.5447464407908154
Serf2,-0.1615218237998678,0.1615218237998678,2.101254953249491e-05
Eif5,-0.0014550881370307448,0.0014550881370307448,0.9696323291683581
Rpl3,0.03456945812788976,0.03456945812788976,0.3656192664664117
Rpl36,0.043940950170710986,0.043940950170710986,0.25006947415189007
Fkbp1a,-0.062246703900935035,0.062246703900935035,0.1030721837539563
Jun,0.07218917388661039,0.07218917388661039,0.058604330791920164
Rpl6,0.05297993608225802,0.05297993608225802,0.16541556736573462
Igfbp7,-0.13624803612379857,0.13624803612379857,0.0003418040357364737
Rhoc,-0.05082608178499325,0.05082608178499325,0.18331389466233167
Rpl10a,-0.0248797102827098,0.0248797102827098,0.5150287335521809
Ywhaq,-0.03723095572752573,0.03723095572752573,0.3298531836595513
Dynll1,-0.07938576436899027,0.07938576436899027,0.03750260252435929
B2m,0.20739917977282935,0.20739917977282935,4.1129094798542793e-08
Bgn,-0.065838759233461,0.065838759233461,0.08463425643666168
Serinc3,-0.2044984320984518,0.2044984320984518,6.389956335457281e-08
Rps13,0.004149191234059515,0.004149191234059515,0.9135550037630052
Rpl9,0.03654015095105068,0.03654015095105068,0.3389117598326352
Tpi1,0.0484865004329509,0.0484865004329509,0.20433525829352098
Slc25a5,-0.01368867069196388,0.01368867069196388,0.7202289318799553
Atp5a1,0.005634563529104576,0.005634563529104576,0.8828020996916893
Rps27l,-0.02034755020757723,0.02034755020757723,0.5944440350953352
Arf5,-0.15123952816225408,0.15123952816225408,6.897698668411223e-05
Tmem50a,0.012547090372700844,0.012547090372700844,0.7426985466470749
Ranbp1,-0.0325083623963375,0.0325083623963375,0.3949139849552397
Uqcrb,-0.09800862432628549,0.09800862432628549,0.010158528806386867
Atp6v0b,0.01991223921917444,0.01991223921917444,0.6023565560994787
Cnn3,0.04677741563970937,0.04677741563970937,0.220761500400619
Rn45s,0.157814447572889,0.157814447572889,3.253500793706313e-05
Ccnl1,-0.03204599334374903,0.03204599334374903,0.40167514008609734
U2af1,0.009133877233943865,0.009133877233943865,0.8111255897687492
