,Pearson Correlation,Absolute Correlation,P-values
Rpl9,0.45746277581454126,0.45746277581454126,1.9445013469671235e-64
Rps19,0.4908454374683418,0.4908454374683418,2.5040918778438595e-75
Npm1,0.02073818229037939,0.02073818229037939,0.4681638036354247
Rpl22l1,0.10761525030450796,0.10761525030450796,0.00015988238735628767
Rps3a,0.37981058502055615,0.37981058502055615,2.348205075229611e-43
Rps24,0.44468893385769587,0.44468893385769587,1.401559485045636e-60
Rpsa,0.32437972360996176,0.32437972360996176,1.9662838860483941e-31
Rps9,0.3643518482798658,0.3643518482798658,8.66516450057971e-40
Pfn1,-0.2267950472608462,0.2267950472608462,9.137083063170371e-16
Rpl37a,0.47145005546184043,0.47145005546184043,7.450873647967773e-69
Calm2,-0.04071482483294316,0.04071482483294316,0.15423324743355554
Eef1a1,0.28447054703520086,0.28447054703520086,2.9594322604935903e-24
Srsf2,-0.01287176354848909,0.01287176354848909,0.6525269522530203
Rplp2,0.43646901176719666,0.43646901176719666,3.4956031877729754e-58
Ftl1,0.22853899320260943,0.22853899320260943,5.432305346693263e-16
Slc25a3,0.1470099063966441,0.1470099063966441,2.3370484639685305e-07
Use1,0.04415712425204322,0.04415712425204322,0.12227210548416498
Tpt1,0.17075237703492288,0.17075237703492288,1.7777445031037476e-09
Srrm2,0.16366887352036405,0.16366887352036405,8.223564990524683e-09
Rpl38,0.49840603474178174,0.49840603474178174,5.756833177243676e-78
Ifrd1,0.16205996783912127,0.16205996783912127,1.1539990304366274e-08
Rpl15,0.2321917793572028,0.2321917793572028,1.8026727929867047e-16
Ndufb11,-0.12485823948886463,0.12485823948886463,1.162364747652141e-05
Atp5g1,-0.24530376861935113,0.24530376861935113,2.9373084833626044e-18
Psma3,-0.08113780574794362,0.08113780574794362,0.004472302450388647
Ost4,-0.13861829055421185,0.13861829055421185,1.1035782723488982e-06
S100a10,0.0167659007677791,0.0167659007677791,0.5575473592335829
Rpl10a,0.2886024600987839,0.2886024600987839,6.01742161570894e-25
Rpl31-ps12,0.162433629018435,0.162433629018435,1.0669922075934777e-08
Rpl21,0.4738334391311525,0.4738334391311525,1.2559423128845887e-69
Glul,0.1731647216405766,0.1731647216405766,1.0395497975395816e-09
Zfp36,0.0920318970696642,0.0920318970696642,0.0012553679239544267
Gdi2,-0.08230778599659945,0.08230778599659945,0.003927801271369121
Ube2n,-0.13618674167792605,0.13618674167792605,1.7019677710033e-06
Atp5o,-0.2084332163061201,0.2084332163061201,1.6833266015502207e-13
Rpl7a,0.29075324934289076,0.29075324934289076,2.5984667624776548e-25
Rps26,0.3013260624553711,0.3013260624553711,3.765103725341817e-27
Strap,-0.052966006537150924,0.052966006537150924,0.06374253468296796
Serpinb6a,0.16860624620302644,0.16860624620302644,2.8470912762457372e-09
Cox4i1,0.0591944556553051,0.0591944556553051,0.03823238865942772
Calm1,0.029610620680080288,0.029610620680080288,0.3002188382293047
1500032L24Rik,-0.10138526995864017,0.10138526995864017,0.00037729507322078527
Ldha,0.048768670093930294,0.048768670093930294,0.08784550491310239
Tmem123,0.043063388890306045,0.043063388890306045,0.1318120172586252
Gnas,0.22596741009497162,0.22596741009497162,1.1676834370183186e-15
Srp14,-0.17058719129963557,0.17058719129963557,1.8437615805592447e-09
Jund,0.2518920361666534,0.2518920361666534,3.378567755726959e-19
Sat1,0.06662296358333814,0.06662296358333814,0.019649820912249302
Hspa8,0.3492263701397636,0.3492263701397636,1.7513670018908875e-36
Rpl36al,-0.07951943324946448,0.07951943324946448,0.005338127101115603
Uqcr11,-0.1193566708418332,0.1193566708418332,2.7906374971019146e-05
Mt1,0.5011925289429207,0.5011925289429207,5.901262797252663e-79
H2afv,-0.08297643302398208,0.08297643302398208,0.0036443340022981894
Plac9,0.7196039238778518,0.7196039238778518,4.1606171897593213e-196
Dpt,-0.02074295016838296,0.02074295016838296,0.46806149906073596
Snhg8,0.08037210511048558,0.08037210511048558,0.004864726955181681
Cox7a2,-0.13537525070005002,0.13537525070005002,1.9634843543410634e-06
Col3a1,-0.639623450692179,0.639623450692179,5.127670083041102e-142
Rps20,0.33919728016707235,0.33919728016707235,2.1759550052721324e-34
Zfp36l1,0.21491847261806474,0.21491847261806474,2.8140763312906233e-14
