,Pearson Correlation,Absolute Correlation,P-values
Eif5a,0.0247493236155318,0.0247493236155318,0.3083719653954203
Ybx1,0.05855100038258725,0.05855100038258725,0.01588404538686312
Pgk1,-0.0007473120823453423,0.0007473120823453423,0.9754661174112357
Cox7c,0.08910777771793055,0.08910777771793055,0.00023851332662216542
Ctsh,-0.017832769669695363,0.017832769669695363,0.4630003594287131
Atp5d,0.06218781630744481,0.06218781630744481,0.01041785196573616
Rpl10,0.08104883202928861,0.08104883202928861,0.0008352788870879475
Glrx5,-0.0029216519579779807,0.0029216519579779807,0.9042989428360537
Cox7b,0.13121904431548545,0.13121904431548545,5.847202417868008e-08
Gnb2l1,-0.15733885909226142,0.15733885909226142,7.247015362028494e-11
Adk,0.07202108070195241,0.07202108070195241,0.0030005921819048708
Hdgf,-0.05136799294313642,0.05136799294313642,0.03440436265205761
Dnaja1,-0.07109450123920015,0.07109450123920015,0.003396177460442402
Btf3,0.008304678272641872,0.008304678272641872,0.7325305193270649
Hsp90ab1,-0.09659078067385449,0.09659078067385449,6.76970236932825e-05
Cyp2c70,0.026552834438410274,0.026552834438410274,0.274438097269647
Rps15,-0.036658397940541154,0.036658397940541154,0.13127849775737147
Hmgcs2,0.10331864897596083,0.10331864897596083,2.0152121450745338e-05
Ptges3,-0.06545828522885032,0.06545828522885032,0.00700425136286405
Lipa,-0.15571715530418317,0.15571715530418317,1.1373780310210485e-10
Hp,-0.05062623774892574,0.05062623774892574,0.03709510837587679
Akr1a1,0.03012405853267915,0.03012405853267915,0.214993373046315
Rpl23,0.021561862521313847,0.021561862521313847,0.3748526437468034
Eef1g,-0.1261766150381732,0.1261766150381732,1.8552278829936427e-07
Rpl35,-0.03242304856372999,0.03242304856372999,0.18199770760507475
Rpl36,-0.030610321386040258,0.030610321386040258,0.20767801608017136
Ppib,-0.05507091059713654,0.05507091059713654,0.02332871871211527
Ube2r2,-0.05729028414436463,0.05729028414436463,0.018296775999022758
Ugdh,-0.1320141359523743,0.1320141359523743,4.8543753607926325e-08
Acat1,0.16399592556593598,0.16399592556593598,1.084340881959083e-11
Uqcrfs1,0.03202274450549035,0.03202274450549035,0.1874557587504418
Hspa8,-0.0939306683627013,0.0939306683627013,0.00010705582248321708
Mcfd2,-0.12045738204075968,0.12045738204075968,6.517809500026781e-07
Calm1,0.11006431746091563,0.11006431746091563,5.540848215402055e-06
Ppia,0.1717559543162217,0.1717559543162217,1.0706267765970541e-12
Gckr,-0.09596329448939042,0.09596329448939042,7.550582032502369e-05
Acaa2,0.10261131186635741,0.10261131186635741,2.297175581945448e-05
Idi1,0.10025973503897041,0.10025973503897041,3.529043011273159e-05
Sdhd,0.04894761503701786,0.04894761503701786,0.04385143875548744
Cox4i1,0.10968777592878129,0.10968777592878129,5.966989589556996e-06
Atp5j,0.11570449539868571,0.11570449539868571,1.7744995216648306e-06
Hadha,-0.08112204091754865,0.08112204091754865,0.0008262166315432268
Aldh6a1,0.03950460093132436,0.03950460093132436,0.10387853700103426
Cebpa,0.06699547790457472,0.06699547790457472,0.005778193834863205
Cox7a2l,-0.05540328283855732,0.05540328283855732,0.02250604023713895
Spcs2,-0.019523248035965682,0.019523248035965682,0.4216855905000086
