,Pearson Correlation,Absolute Correlation,P-values
Ifitm3,0.1093870497775715,0.1093870497775715,7.044207018104282e-06
Id1,-0.1483379547790815,0.1483379547790815,1.0118609608786792e-09
Tuba1b,0.0002811463149895173,0.0002811463149895173,0.9908153066215777
Eef1g,-0.04481267322320528,0.04481267322320528,0.06639005381932693
Ndufb7,-0.05539750667730811,0.05539750667730811,0.023207648655826467
Aplp2,0.03433711813123016,0.03433711813123016,0.15961993587935638
Rap1b,-0.1440940619311854,0.1440940619311854,3.0124212166661547e-09
Rpsa,-0.049373386307542046,0.049373386307542046,0.04309054640235904
Ramp2,-0.14633244076987484,0.14633244076987484,1.7010760749410924e-09
Clec14a,0.03275112677561816,0.03275112677561816,0.17980439857406608
Cyba,0.036079246134384416,0.036079246134384416,0.1394749880180591
Rbm3,-0.09632766787552334,0.09632766787552334,7.706753529535132e-05
F11r,-0.06136639928561509,0.06136639928561509,0.011902461333840765
Rpl28,-0.05260216218071476,0.05260216218071476,0.031138971521359467
Pdlim1,0.14093014021346215,0.14093014021346215,6.6567495999995435e-09
Clta,-0.05200590924336379,0.05200590924336379,0.033103281076874394
Thbd,-0.008189025322085808,0.008189025322085808,0.737394291814339
Podxl,-0.052813856274727525,0.052813856274727525,0.03046602297855125
Rpl39,-0.09221811188477368,0.09221811188477368,0.00015436268682112705
Gpi1,-0.008359159940081651,0.008359159940081651,0.7321458267966166
Bst2,0.03020837682417174,0.03020837682417174,0.21602511911081815
Icam2,-0.01970467393871555,0.01970467393871555,0.41973106665818866
Gnb2l1,-0.04202129060147014,0.04202129060147014,0.08519174478792113
Mdh2,0.0245654434518546,0.0245654434518546,0.3144223048962432
Id3,-0.08504747853064616,0.08504747853064616,0.0004855602005250091
Epas1,-0.04165952120757093,0.04165952120757093,0.08791623444235483
Pfdn5,-0.01688583847551913,0.01688583847551913,0.4892881918662532
Ctsd,0.0078010876164542045,0.0078010876164542045,0.7494072399453935
Prkar1a,0.03653018205381776,0.03653018205381776,0.13459351284191762
Dusp1,0.000735136195563086,0.000735136195563086,0.9759871261711655
Malat1,-0.060365744101068014,0.060365744101068014,0.013363330752448017
Pcbp2,-0.03531562465892941,0.03531562465892941,0.1480503313226747
Tax1bp1,0.04947290157126452,0.04947290157126452,0.04267126844515772
Rpl35,-0.09645062563037497,0.09645062563037497,7.545012989707029e-05
Gnai2,-0.12396031319170077,0.12396031319170077,3.4832060040151605e-07
Tmed10,-0.011565948224906045,0.011565948224906045,0.6357961699935452
Rpl21,-0.03248820986485148,0.03248820986485148,0.18332600322162113
Esam,-0.08617216690849082,0.08617216690849082,0.00040792391495678013
Kif5b,0.09277987959779525,0.09277987959779525,0.00014060919813309032
Mrpl33,-0.08997054941022967,0.08997054941022967,0.00022307566311564398
Cav2,-0.09618401064350064,0.09618401064350064,7.899870806035463e-05
Hnrnpa2b1,0.01931158569562342,0.01931158569562342,0.4290675507560633
Eif3f,-0.09198847361598549,0.09198847361598549,0.00016034114934119746
Xbp1,0.029536176801268813,0.029536176801268813,0.22642274502997933
Metap2,-0.07061426521646812,0.07061426521646812,0.0037925348174368254
Serinc3,-0.15920999651095163,0.15920999651095163,5.3535685944437814e-11
Ube2s,-0.027833201041386684,0.027833201041386684,0.2543472858086796
Ifi35,0.047489137628756166,0.047489137628756166,0.05170947787205113
Klf4,0.053018597645450326,0.053018597645450326,0.02982708779722531
Cxx1a,0.010891545925543896,0.010891545925543896,0.6556199910068055
Pfn1,-0.1719051487312588,0.1719051487312588,1.3264338348699253e-12
Pcdh1,-0.14123855590544973,0.14123855590544973,6.1663529985392905e-09
Ywhah,-0.024181006539191287,0.024181006539191287,0.32205771517517184
Snrpd2,-0.09678055103853142,0.09678055103853142,7.126724924905494e-05
Pnpla2,-0.11190128055930071,0.11190128055930071,4.301633047603225e-06
Rps12,-0.03406262246641039,0.03406262246641039,0.1629851322159301
H3f3a,-0.10356640538807105,0.10356640538807105,2.118949431489178e-05
Ppp2ca,0.014999995288966879,0.014999995288966879,0.5390761355155075
S100a16,-0.06723984387692862,0.06723984387692862,0.005846634653049291
Btg2,0.00015620595895503457,0.00015620595895503457,0.9948968716786193
Plvap,0.12248237901169468,0.12248237901169468,4.80310138961382e-07
Pon2,-0.08818434795128459,0.08818434795128459,0.0002971574911362569
Mrpl52,-0.13835635050147338,0.13835635050147338,1.2525904830831286e-08
Cd36,-0.026045630438695972,0.026045630438695972,0.2861427798867662
Rtn3,-0.013405252945278152,0.013405252945278152,0.5830714029900137
Plscr3,-0.02279378550347447,0.02279378550347447,0.3506058549695938
Atp6v1g1,-0.09670852404887122,0.09670852404887122,7.216128253246397e-05
Gnas,-0.07491599988811805,0.07491599988811805,0.0021280121331347735
Nfkbia,-0.11365531238025342,0.11365531238025342,3.030205786278742e-06
Actg1,-0.07106019908945742,0.07106019908945742,0.003576889925086862
