,Pearson Correlation,Absolute Correlation,P-values
Vamp8,-0.07614693664772901,0.07614693664772901,0.01175582668135024
Gpcpd1,-0.012574221203900811,0.012574221203900811,0.6778185355005745
Rod1,-0.07499304492613808,0.07499304492613808,0.013097613727231507
Ubc,0.07638027815316448,0.07638027815316448,0.011499787570011624
Scp2,-0.01022016273996046,0.01022016273996046,0.7356185834561567
Tmsb10,-0.25884486930992184,0.25884486930992184,3.307770019491661e-18
Cd53,-0.002938628849784836,0.002938628849784836,0.9226579282671884
Slc6a6,-0.12310577696447038,0.12310577696447038,4.451744267144224e-05
Dbi,-0.043122352374335926,0.043122352374335926,0.15406090331801997
Pitpna,-0.1647021144759641,0.1647021144759641,4.2806916147000855e-08
Hspa5,0.11088399110507755,0.11088399110507755,0.00023812284725646367
Clic1,-0.061823112908639205,0.061823112908639205,0.04090821028406444
Atp5e,-0.2574445367273327,0.2574445367273327,5.075818492867102e-18
Cdk2ap2,-0.17849704376721456,0.17849704376721456,2.765160758918892e-09
Uqcrh,-0.0643773516494709,0.0643773516494709,0.03324609717158833
M6pr,0.015121828873393748,0.015121828873393748,0.6173416771269329
Rpl5,-0.15672850327229776,0.15672850327229776,1.8863254224456623e-07
Atp6v0e,0.008276676655042206,0.008276676655042206,0.7845085841932239
Rps18,-0.303206584742009,0.303206584742009,1.0695521839240062e-24
Rps21,-0.20510647959668754,0.20510647959668754,7.425204513058874e-12
Rpl27a,-0.2661412219865862,0.2661412219865862,3.4058953433712395e-19
Cox5b,0.05739166511056586,0.05739166511056586,0.05774062360971079
Ly6e,0.07764386458749929,0.07764386458749929,0.010197300152480807
Atp5h,0.05578057396500103,0.05578057396500103,0.06513844572592066
Clec7a,-0.15975421687682606,0.15975421687682606,1.0837584926595811e-07
Tomm6,-0.055264524302659636,0.055264524302659636,0.06766698951542083
Gm2a,-0.05896309770567403,0.05896309770567403,0.051210579021090274
Cycs,-0.03874272726644969,0.03874272726644969,0.20038428551497148
1500032L24Rik,-0.1146005056947108,0.1146005056947108,0.00014547072178476927
Laptm5,-0.18887782826598887,0.18887782826598887,3.0369782730225553e-10
Rplp0,-0.3284418257552721,0.3284418257552721,6.248015903184961e-29
Lipa,0.08921979841106191,0.08921979841106191,0.003141693033255731
Capg,0.059833949342454486,0.059833949342454486,0.04786574521595058
Sgk1,-0.17241230562500892,0.17241230562500892,9.514556886090714e-09
Slpi,0.31036857012313623,0.31036857012313623,7.395109126549204e-26
Gns,-0.006613714646543494,0.006613714646543494,0.827035382293582
Rpl8,-0.2448539477276014,0.2448539477276014,2.124981130562693e-16
Rpn2,0.04072840962266954,0.04072840962266954,0.1782580142841178
Ptp4a2,0.03462561386927193,0.03462561386927193,0.252499544743395
Tmed10,0.07986027522710575,0.07986027522710575,0.008226387186439317
Hnrnpc,-0.002673145191264946,0.002673145191264946,0.9296261971091744
D4Wsu53e,0.06805757670272303,0.06805757670272303,0.0243800273480015
Gnai2,-0.2640686257542161,0.2640686257542161,6.543658747432595e-19
Zyx,-0.1633501442627344,0.1633501442627344,5.53298637515146e-08
Uqcr11,-0.0854799167855908,0.0854799167855908,0.0046656787179814585
Lamp2,0.08785796746969156,0.08785796746969156,0.0036344082006050976
Slc7a2,-0.09679952319942031,0.09679952319942031,0.0013479086793883974
Pon2,0.04001116192539694,0.04001116192539694,0.1860307732913319
Rpl3,-0.1718887875616926,0.1718887875616926,1.0560499308274908e-08
Rps4x,-0.2309181334181827,0.2309181334181827,1.043852357259943e-14
Atp5j,-0.05267321556633336,0.05267321556633336,0.08161012375189503
Lmna,-0.03947738861455278,0.03947738861455278,0.191975600142386
2010107E04Rik,-0.1219587368558913,0.1219587368558913,5.246594880564661e-05
Ptpn6,-0.04026597914353961,0.04026597914353961,0.1832411794194632
Junb,-0.09140026289316601,0.09140026289316601,0.002478084106982681
Rpl17,-0.19659743485195835,0.19659743485195835,5.407083432617034e-11
Stk17b,-0.07302520828228766,0.07302520828228766,0.015699712864224995
Rnasek,0.13603468134660862,0.13603468134660862,6.32273513232818e-06
Rpl35a,-0.24137798450577383,0.24137798450577383,5.745563564576011e-16
Degs1,0.024174016957176466,0.024174016957176466,0.4244211876230091
Hnrnpa2b1,-0.08967721017990266,0.08967721017990266,0.0029903696555864914
Ndufb7,-0.014542960811481513,0.014542960811481513,0.6308763851935449
Taldo1,-0.0511458594996517,0.0511458594996517,0.09086423385519375
Samhd1,0.027742716615799003,0.027742716615799003,0.35928078652569023
Ywhaz,-0.0795328204690409,0.0795328204690409,0.008494286906897549
Myeov2,-0.07493621295519491,0.07493621295519491,0.013167062562006154
Fam105a,-0.041765507863204404,0.041765507863204404,0.1674495800257017
Aprt,-0.1671448491390488,0.1671448491390488,2.678121439009022e-08
Vcp,0.10403616684857295,0.10403616684857295,0.0005679231472197842
Gtf2h5,0.04261235040634673,0.04261235040634673,0.1589947320438621
Ap2a2,-0.04024634319361013,0.04024634319361013,0.1834550356698488
Edf1,-0.06705709539745504,0.06705709539745504,0.02656031331911734
Mrps21,-0.02246593106919152,0.02246593106919152,0.4578935102481538
Zfp36l2,-0.07784794683963123,0.07784794683963123,0.009999711297242043
Nme2,-0.07164745884358444,0.07164745884358444,0.017782067271386887
Comt,0.08162675744902495,0.08162675744902495,0.006907274135466235
Aurkaip1,0.017638262094488155,0.017638262094488155,0.5600442738434397
Cebpb,-0.26744383627513896,0.26744383627513896,2.252771348514085e-19
Rps9,-0.20403248883912373,0.20403248883912373,9.586149430388318e-12
Capns1,-0.08777905263450435,0.08777905263450435,0.0036650037206979466
Sfpi1,-0.20309311508272118,0.20309311508272118,1.19722309246854e-11
Anxa5,-0.05578569112160843,0.05578569112160843,0.06511376778983609
Ndufb11,0.12342688002003999,0.12342688002003999,4.250551876915476e-05
Nhp2l1,-0.04829767698535656,0.04829767698535656,0.11035855428065774
Usmg5,-0.07720881894367401,0.07720881894367401,0.010630129037117872
Rps15a-ps4,-0.14542659840192482,0.14542659840192482,1.3633877441255196e-06
Atp5g2,-0.042408766644230524,0.042408766644230524,0.1609972401168521
Dync1i2,0.0372806143994007,0.0372806143994007,0.21791173594788174
Rhoa,-0.15033794140892934,0.15033794140892934,5.875677189925316e-07
Phgdh,0.04450297025701272,0.04450297025701272,0.14128796235681376
Itm2c,0.12238661494801592,0.12238661494801592,4.935554735441472e-05
Atp5c1,0.01378030082831502,0.01378030082831502,0.6488982812838967
Krtcap2,0.025750064065383986,0.025750064065383986,0.39484264680886483
Ctsz,0.051987833153329985,0.051987833153329985,0.08566372637661762
Srsf3,-0.12235203761173921,0.12235203761173921,4.9600271325010425e-05
Cd84,0.06587541421287425,0.06587541421287425,0.02935028068426009
Naa50,0.014099881772419099,0.014099881772419099,0.6413206822639067
Rps16,-0.2696739692842828,0.2696739692842828,1.1042815650928025e-19
Kif5b,0.041986005446479846,0.041986005446479846,0.16521633258519686
Ptms,-0.22302750715071631,0.22302750715071631,8.486963368070788e-14
Atp6v1f,0.04289819899004129,0.04289819899004129,0.15621488926987653
Hbxip,-0.036408312463946206,0.036408312463946206,0.22887896531475416
Mrps36,-0.05622968762481197,0.05622968762481197,0.0630016955323484
Naaa,-0.06792395095508486,0.06792395095508486,0.02466196115708884
Calm3,-0.09284745884680405,0.09284745884680405,0.0021112186316455833
Atp6v1c1,0.047777511726705545,0.047777511726705545,0.11425152181572631
Snrpb,-0.07113233591232118,0.07113233591232118,0.01862057144569841
Hcfc1r1,-0.07243758632191001,0.07243758632191001,0.016560113556325515
Ybx1,-0.15907547926389407,0.15907547926389407,1.2283427130809725e-07
Capn1,-0.09843344154265406,0.09843344154265406,0.0011143197027843348
Nop10,0.029031571746967175,0.029031571746967175,0.33738589185375445
Llph,0.09502798715353557,0.09502798715353557,0.0016515570622468365
Ap2b1,0.0888700407318402,0.0888700407318402,0.0032620689881600494
Tapbp,0.0028002122233361545,0.0028002122233361545,0.9262903061549661
Pafah1b1,0.10550242982760415,0.10550242982760415,0.00047347006682680866
Slfn2,-0.14568920791590204,0.14568920791590204,1.3042831865980338e-06
Purb,-0.009271049179520333,0.009271049179520333,0.7593745671301855
Rnf149,-0.05931472871427109,0.05931472871427109,0.049837197804391255
Ubxn1,-0.049642114697343774,0.049642114697343774,0.10078059675161867
Rala,-0.05351801491847266,0.05351801491847266,0.07682902368562708
Elavl1,-0.037100182665378956,0.037100182665378956,0.22014873542128505
Psma5,0.04798948191196906,0.04798948191196906,0.11265228022377263
Mbnl2,0.03963601773762351,0.03963601773762351,0.19019450220322381
Atp6v1b2,-0.07643057497201852,0.07643057497201852,0.01144525014948356
Siglec5,0.00442504422951466,0.00442504422951466,0.8837676876711721
Ndufa13,0.07740305761650505,0.07740305761650505,0.010434903537309874
Mrpl20,-0.020516458815383647,0.020516458815383647,0.49784066787411296
Serp1,-0.06089727512907337,0.06089727512907337,0.0440321361668943
Unc119,-0.08318920840561125,0.08318920840561125,0.005902184880908933
Cox4i1,-0.0887227820894641,0.0887227820894641,0.0033139946176356824
Reep3,-0.024861223333688145,0.024861223333688145,0.4113680403854
Ubl5,-0.06789745655657016,0.06789745655657016,0.02471819488854059
Sumo2,-0.030510435374883307,0.030510435374883307,0.3133420548030869
Tram1,0.10334824440607016,0.10334824440607016,0.0006180302829115947
Cmpk1,0.012466033815647686,0.012466033815647686,0.6804368596180593
Clec4a3,-0.09377243219167763,0.09377243219167763,0.0019035365810954005
Sin3b,0.008261525335543191,0.008261525335543191,0.7848933685637308
Sdhd,-0.023405953984840324,0.023405953984840324,0.43929246361183916
Sdc3,0.13611025064713214,0.13611025064713214,6.247620374754639e-06
Tmem30a,0.08114730153411243,0.08114730153411243,0.007245114640271361
Eif2s3x,0.03795573362894421,0.03795573362894421,0.2096864126008425
Hist1h1c,0.1604697753178754,0.1604697753178754,9.49175671506681e-08
Leprot,0.13951848204300235,0.13951848204300235,3.6203780476690842e-06
