,Pearson Correlation,Absolute Correlation,P-values
Tyrobp,-0.2635082184182605,0.2635082184182605,3.933198553182392e-52
Pabpc1,-0.15272560732263984,0.15272560732263984,3.2992921782540603e-18
Nedd8,-0.05324028371022965,0.05324028371022965,0.0025495935514213007
Dad1,0.057155313284685795,0.057155313284685795,0.0011968581371452373
Cox17,-0.07506978998724144,0.07506978998724144,2.0666041543329847e-05
Fam49b,-0.08457307042686273,0.08457307042686273,1.5995653173266227e-06
Rpl36al,-0.11751833897915169,0.11751833897915169,2.4093841896848745e-11
Cd53,0.008922754581115421,0.008922754581115421,0.6133141272024683
Samhd1,-0.04436669350704927,0.04436669350704927,0.011939194283454545
Eef1g,0.02319792438415651,0.02319792438415651,0.18885074406985652
Atox1,-0.15233642200065797,0.15233642200065797,4.019539565911784e-18
Cox7c,-0.14263203214945797,0.14263203214945797,4.681844476901274e-16
Arhgdia,-0.005433628831808947,0.005433628831808947,0.7582841919979219
Dusp1,-0.3035561871856344,0.3035561871856344,2.1020065787500949e-69
Arf6,-0.060164877165530296,0.060164877165530296,0.0006484026885998997
6720456B07Rik,-0.11278720658973095,0.11278720658973095,1.473090711527241e-10
Tln1,-0.07530622197567036,0.07530622197567036,1.945827572111967e-05
Cox5b,0.06264353247234689,0.06264353247234689,0.0003833452520523097
Rnf130,-0.0513528747810068,0.0513528747810068,0.003611053599909529
Rps7,-0.23426945675732955,0.23426945675732955,2.8591817541221375e-41
Tpt1,-0.2818446329665463,0.2818446329665463,1.0952674555631635e-59
Shisa5,-0.04909707897028871,0.04909707897028871,0.005397829334117819
Arpc1a,-0.046474785577262,0.046474785577262,0.008450661637264939
Tmem167,0.019631415101563715,0.019631415101563715,0.26616896988620986
Rplp1,-0.31058761535160606,0.31058761535160606,9.802846060104108e-73
Stk24,-0.11196872326127431,0.11196872326127431,2.0000422796201224e-10
Fxyd5,-0.11514589421768905,0.11514589421768905,6.0281898544667e-11
Rassf4,0.0030574494049376852,0.0030574494049376852,0.8625269012792818
Zfand5,-0.05039591965659644,0.05039591965659644,0.004290457372959281
Polr2l,-0.08384051171452056,0.08384051171452056,1.968158516264573e-06
Polr2f,0.015282237437088132,0.015282237437088132,0.3867331829390633
