,Sum log-adjP-values,adjP-values,Category
4732456N10Rik,-0.1239675050460701,[0.7516791343484045],['Brain_microglial cell']
Mir130a,-0.12234408543269569,"[0.8139306446679861, 0.9269760520088478]","['Brain_microglial cell', 'Brain_oligodendrocyte']"
Pcdha4,-0.11933101847799547,"[0.9879672664576451, 0.7690001523359347]","['Brain_endothelial cell', 'Brain_oligodendrocyte']"
Mbd3l2,-0.11866012757111664,[0.7609215299104642],['Brain_microglial cell']
Cngb3,-0.11866012757111664,[0.7609215299104642],['Brain_microglial cell']
6430548G04,-0.11866012757111664,[0.7609215299104642],['Brain_microglial cell']
2310015D24Rik,-0.11827471201543044,"[0.9357027113402226, 0.8139306446679861]","['Brain_endothelial cell', 'Brain_microglial cell']"
4930518P08Rik,-0.11633230621318084,[0.7650110245216042],['Brain_microglial cell']
Gm13490,-0.11633230621318084,[0.7650110245216042],['Brain_microglial cell']
Olfr329-ps,-0.11633230621318084,[0.7650110245216042],['Brain_microglial cell']
Olfr749,-0.11633230621318084,[0.7650110245216042],['Brain_microglial cell']
Olfr1029,-0.11507217116905726,[0.7672339796266197],['Brain_microglial cell']
Tbx19,-0.11055626543152204,"[0.9821152753510366, 0.7893711844338319]","['Brain_microglial cell', 'Brain_oligodendrocyte']"
Scrt2,-0.10980945339297438,"[0.8999977096623473, 0.8628774954266224]","['Brain_endothelial cell', 'Brain_microglial cell']"
1700100L14Rik,-0.10829208685553582,"[0.8518520922280046, 0.9148369951184735]","['Brain_endothelial cell', 'Brain_microglial cell']"
Tcstv1,-0.10816110228385785,"[0.9875466703429312, 0.7893711844338319]","['Brain_microglial cell', 'Brain_oligodendrocyte']"
Mir505,-0.10816110228385785,"[0.9875466703429312, 0.7893711844338319]","['Brain_microglial cell', 'Brain_oligodendrocyte']"
Psg16,-0.10744697034964526,[0.7808237770250128],['Liver_Kupffer cell']
Olfr390,-0.10271873133522526,[0.7893711844338319],['Brain_oligodendrocyte']
4930524C18Rik,-0.10248786633128976,[0.7897909149057641],['Brain_microglial cell']
Nat3,-0.10248786633128976,[0.7897909149057641],['Brain_microglial cell']
4930448F12Rik,-0.10248786633128976,[0.7897909149057641],['Brain_microglial cell']
Gm4871,-0.10248786633128976,[0.7897909149057641],['Brain_microglial cell']
CK137956,-0.10212694925186236,"[0.8132179029457851, 0.9719996749865891]","['Brain_endothelial cell', 'Brain_microglial cell']"
Olfr535,-0.09922727283905293,[0.7957428172446006],['Brain_microglial cell']
Nlrp9c,-0.0963427583614073,"[0.8518520922280046, 0.9403576180579059]","['Brain_endothelial cell', 'Brain_microglial cell']"
Speer7-ps1,-0.09472484921611632,"[0.8139306446679861, 0.9878425996499631]","['Brain_microglial cell', 'Brain_oligodendrocyte']"
Lce1b,-0.09004577243035246,[0.8127448524746267],['Bladder_bladder urothelial cell']
Gm10556,-0.08941259992805073,[0.8139306446679861],['Brain_microglial cell']
