,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
49551,30m,Derl3,3.6070542,4.7541656,0.00030969282393138577,0.024104911734395267,Limb-Muscle_B cell
1,1m,Col1a2,13.9713745,4.6576476,2.3308423092780735e-44,1.9230614472698743e-40,Limb-Muscle_B cell
3,1m,Col1a1,10.236086,4.4819827,1.3665409573893523e-24,5.637323084470426e-21,Limb-Muscle_B cell
4,1m,Col3a1,9.562614,4.2947016,1.1481834645978842e-21,3.789235069865937e-18,Limb-Muscle_B cell
0,1m,Sparc,14.450378,3.637123,2.493119024532832e-47,4.1138957023816256e-43,Limb-Muscle_B cell
49511,30m,Cacna1s,5.1771364,3.632073,2.2531773896344466e-07,3.2051448367550006e-05,Limb-Muscle_B cell
33003,24m,Ms4a6c,6.0788403,3.3388236,1.2105488900509783e-09,6.658422411577065e-06,Limb-Muscle_B cell
49542,30m,Igj,3.7724113,3.0240812,0.00016167736272346164,0.013611419195407348,Limb-Muscle_B cell
33002,24m,Camk2n1,6.703382,2.9155107,2.0365001683663212e-11,3.3604289278212666e-07,Limb-Muscle_B cell
33007,24m,Zbtb32,4.930549,2.808965,8.19988035636497e-07,0.0008845721800934897,Limb-Muscle_B cell
49532,30m,Fas,3.9179094,2.646069,8.932023676892816e-05,0.008280186668112829,Limb-Muscle_B cell
49520,30m,Fam46c,4.4622097,2.5220926,8.111870101156753e-06,0.0009560997752799113,Limb-Muscle_B cell
49516,30m,AI848100,4.580148,2.3381007,4.646460447858267e-06,0.0005721734615679795,Limb-Muscle_B cell
33005,24m,Beta-s,5.548834,2.0918922,2.8758156030265108e-08,5.272648140615606e-05,Limb-Muscle_B cell
49515,30m,Sdf2l1,4.6668797,2.0762422,3.0580802403062544e-06,0.00037940888755859777,Limb-Muscle_B cell
33010,24m,Cyfip1,4.794919,2.0430393,1.6274070978456537e-06,0.0014133602379763754,Limb-Muscle_B cell
49510,30m,Fgl2,5.1925373,2.0016866,2.0744751594939032e-07,3.0027118076148155e-05,Limb-Muscle_B cell
33019,24m,Rassf4,4.132326,1.9849818,3.591104550076803e-05,0.016460226716893702,Limb-Muscle_B cell
49544,30m,Fndc3a,3.746473,1.962172,0.00017933824776800002,0.014796302132098841,Limb-Muscle_B cell
33030,24m,Pydc3,3.7903755,1.9311283,0.0001504197297989604,0.04576275545034666,Limb-Muscle_B cell
