,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
59580,30m,Malat1,12.944143,244.69566,2.535764485745379e-38,5.036028268690323e-34,Limb-Muscle_B cell
19860,18m,Tpt1,4.792213,79.6678,1.649518317485515e-06,0.032759433785262325,Limb-Muscle_B cell
39730,24m,Crip1,5.8157897,43.963276,6.034824709214885e-09,7.990107915000508e-06,Limb-Muscle_B cell
2,1m,H3f3a,12.212797,25.399382,2.655969185093257e-34,1.758251600531736e-30,Limb-Muscle_B cell
39729,24m,Rps29,5.878908,21.98924,4.129818948800253e-09,6.309092640244078e-06,Limb-Muscle_B cell
4,1m,Btg1,10.434652,21.939608,1.7224272280949356e-25,6.8414809499930845e-22,Limb-Muscle_B cell
59603,30m,H2-Ab1,5.1619573,21.256102,2.4438130615515827e-07,5.918796024684686e-05,Limb-Muscle_B cell
39723,24m,Rps27,7.3380604,20.30385,2.1671170967638596e-13,7.173157590288375e-10,Limb-Muscle_B cell
59589,30m,H2-Eb1,6.561922,19.79762,5.3118571828172385e-11,2.9303745458541766e-08,Limb-Muscle_B cell
39725,24m,Fth1,6.1650877,19.767769,7.044416656306593e-10,1.7039011517405952e-06,Limb-Muscle_B cell
59615,30m,B2m,4.573484,18.05131,4.796808422116826e-06,0.0008356545198529838,Limb-Muscle_B cell
43,1m,Eef1a1,4.682987,18.019154,2.8272420656398324e-06,0.0006931978694272477,Limb-Muscle_B cell
8,1m,Rps7,7.4924293,17.80897,6.761048879614762e-14,1.0328802365319168e-10,Limb-Muscle_B cell
59600,30m,Hspa8,5.493931,16.605886,3.9308421410220414e-08,1.0995285200098273e-05,Limb-Muscle_B cell
59625,30m,H2-Aa,4.339305,15.2308655,1.4293399268150509e-05,0.002166922973018848,Limb-Muscle_B cell
27,1m,Tmsb10,5.359356,14.81124,8.351916939928322e-08,3.071649452351416e-05,Limb-Muscle_B cell
39751,24m,Rpl37a,4.309051,13.58771,1.6395642987612862e-05,0.0077527968984283675,Limb-Muscle_B cell
39767,24m,Hspb1,3.8944874,13.487949,9.840661736631548e-05,0.03006700647530808,Limb-Muscle_B cell
39766,24m,Rps19,3.8972962,13.307033,9.727258167188007e-05,0.03006700647530808,Limb-Muscle_B cell
39724,24m,S100a6,6.7737975,13.1546,1.254453255888834e-11,3.5590630945646064e-08,Limb-Muscle_B cell
35,1m,Rplp0,4.9273286,12.601718,8.336141184710493e-07,0.00024346435871816234,Limb-Muscle_B cell
58,1m,Rpl32,4.197419,11.834236,2.6997410305247534e-05,0.004622142833294966,Limb-Muscle_B cell
9,1m,Rpl10a,7.410463,11.647366,1.2585957328730733e-13,1.666380750323949e-10,Limb-Muscle_B cell
59581,30m,Ddx5,10.969514,11.60043,5.355979259003381e-28,5.3184874041903574e-24,Limb-Muscle_B cell
16,1m,Rpl12,6.0816727,11.096318,1.1893525814674322e-09,7.15774008119491e-07,Limb-Muscle_B cell
44,1m,Rps27a,4.635287,10.982117,3.564425530226653e-06,0.0008231336166314107,Limb-Muscle_B cell
39755,24m,Rps15a,4.1960335,10.651297,2.7163022739223777e-05,0.01147782194895711,Limb-Muscle_B cell
39720,24m,Rps15a-ps4,10.496445,10.287942,8.96948405279269e-26,1.781339532884628e-21,Limb-Muscle_B cell
59585,30m,H2-K1,8.203443,10.245402,2.33598484597522e-16,3.3137613600762763e-13,Limb-Muscle_B cell
59583,30m,Hspa5,8.701877,9.315524,3.2644025208312177e-18,7.203448229300887e-15,Limb-Muscle_B cell
59587,30m,Ubc,6.74011,8.837547,1.582670246319644e-11,1.0139300352228428e-08,Limb-Muscle_B cell
59580,30m,Malat1,10.9926405,193.86589,4.146174599462905e-28,4.1171513772666644e-24,Limb-Muscle_T cell
19860,18m,Tpt1,7.2841477,76.83714,3.237101996866852e-13,3.214442282888784e-09,Limb-Muscle_T cell
12,1m,Actb,7.221726,43.34861,5.133189132369727e-13,3.640897720316528e-10,Limb-Muscle_T cell
19861,18m,Rps12,5.5836964,42.50166,2.3545992289779956e-08,6.680334383928998e-05,Limb-Muscle_T cell
19864,18m,S100a4,4.8423924,35.289135,1.282849832366293e-06,0.0023161270609813253,Limb-Muscle_T cell
19873,18m,Crip1,4.1311364,31.614563,3.609741027886123e-05,0.03258611673355382,Limb-Muscle_T cell
20,1m,Tmsb10,6.7805133,30.782969,1.1974973810143451e-11,5.662451901653546e-09,Limb-Muscle_T cell
19869,18m,Lgals1,4.3865404,27.457582,1.1516782583463623e-05,0.012431034490060156,Limb-Muscle_T cell
39721,24m,Fth1,7.306477,24.931126,2.742369089705179e-13,9.077241686924143e-10,Limb-Muscle_T cell
16,1m,Rplp0,7.0558696,23.04327,1.7152450970491777e-12,1.0019049302175492e-09,Limb-Muscle_T cell
13,1m,Rps7,7.123946,18.820177,1.0488002229546928e-12,6.943057475960066e-10,Limb-Muscle_T cell
42,1m,Rps24,5.231292,18.248636,1.6832961566368584e-07,3.5564108160434046e-05,Limb-Muscle_T cell
7,1m,Rpl12,7.5635533,17.460264,3.9220526491655996e-14,4.3273314229127113e-11,Limb-Muscle_T cell
19870,18m,H2-K1,4.3762608,17.266628,1.20732488056002e-05,0.012431034490060156,Limb-Muscle_T cell
51,1m,Rps15a,4.8730874,15.96568,1.0986756084555333e-06,0.00017884998019612204,Limb-Muscle_T cell
15,1m,Rps8,7.0566726,15.610583,1.705369305998008e-12,1.0019049302175492e-09,Limb-Muscle_T cell
19862,18m,Vim,5.5433693,15.042445,2.9670625490041284e-08,7.365732777902749e-05,Limb-Muscle_T cell
67,1m,Rps16,4.4171033,14.8687315,1.000323313214435e-05,0.001218798834382741,Limb-Muscle_T cell
26,1m,Tpt1,6.515914,14.8169985,7.224832881755133e-11,2.759330404454941e-08,Limb-Muscle_T cell
19863,18m,Sh3bgrl3,5.0981917,14.592106,3.429133819740631e-07,0.0007566955295560992,Limb-Muscle_T cell
39745,24m,Rpl37a,4.930759,12.269607,8.191071435937962e-07,0.00046478479633636554,Limb-Muscle_T cell
19867,18m,S100a10,4.496846,12.212079,6.896881084846528e-06,0.008315655772431424,Limb-Muscle_T cell
39747,24m,Rps27,4.885775,11.66858,1.0302287155933764e-06,0.0005529822240995799,Limb-Muscle_T cell
39720,24m,Rps15a-ps4,8.413887,11.574452,3.966435259128804e-17,2.625780141543268e-13,Limb-Muscle_T cell
39726,24m,Junb,6.1103277,11.359728,9.942686342510384e-10,1.79510682511142e-06,Limb-Muscle_T cell
39744,24m,Rpl23a,4.986183,10.794302,6.158373244188889e-07,0.00035972144891056277,Limb-Muscle_T cell
59616,30m,Rn45s,3.8025944,10.685989,0.00014318861023442775,0.028724503022785206,Limb-Muscle_T cell
59581,30m,Ddx5,9.098511,10.5134735,9.157886552901292e-20,4.546890673515492e-16,Limb-Muscle_T cell
19868,18m,Ctla2a,4.490125,9.510239,7.11813434699568e-06,0.008315655772431424,Limb-Muscle_T cell
39728,24m,Eif1,5.966624,8.844905,2.4221302025227952e-09,3.7002696786232857e-06,Limb-Muscle_T cell
39730,24m,Ramp3,5.7730227,8.236943,7.786187717932777e-09,9.66460550488406e-06,Limb-Muscle_T cell
39779,24m,Rpl37,4.0508804,8.128481,5.102526638816834e-05,0.012510639388506458,Limb-Muscle_T cell
39755,24m,B2m,4.642891,7.854364,3.435677717477582e-06,0.0015162790993134394,Limb-Muscle_T cell
59613,30m,H2-K1,3.8866189,6.3302736,0.00010165020932128446,0.02125024375916536,Limb-Muscle_T cell
59587,30m,Hspa5,5.8667636,4.6291933,4.443840747536127e-09,3.744070956018184e-06,Limb-Muscle_T cell
59618,30m,Fos,3.7741218,4.5117283,0.0001605722691503593,0.031264365346334665,Limb-Muscle_T cell
59600,30m,AW112010,4.3212748,3.9935334,1.551302297150237e-05,0.004668009639606623,Limb-Muscle_T cell
59583,30m,Prrc2c,7.161175,3.5361376,7.99886336979823e-13,1.765082516935476e-09,Limb-Muscle_T cell
59582,30m,Srrm2,7.851886,3.2521174,4.098276303131563e-15,1.0173970922524106e-11,Limb-Muscle_T cell
59585,30m,Ptprc,6.6636,3.1988535,2.6720028655883482e-11,4.0819982238911226e-08,Limb-Muscle_T cell
59581,30m,Malat1,20.819296,202.5951,2.894016941959447e-96,1.9158392155771537e-92,Limb-Muscle_endothelial cell
73,1m,Malat1,7.1726513,69.55982,7.355901609263004e-13,1.0075048686894018e-10,Limb-Muscle_endothelial cell
59580,30m,Rn45s,25.47349,65.59512,3.878173098592029e-143,7.702051773803769e-139,Limb-Muscle_endothelial cell
19860,18m,Tpt1,26.09742,56.846333,3.900065635006845e-150,3.8727651755617974e-146,Limb-Muscle_endothelial cell
19862,18m,Rplp1,24.799725,40.270443,9.02652519593495e-136,4.4816697597817025e-132,Limb-Muscle_endothelial cell
19881,18m,Fth1,13.2821865,37.703644,2.936903070890956e-40,1.7154969114086584e-37,Limb-Muscle_endothelial cell
39721,24m,B2m,17.786638,37.088177,8.970133629446302e-71,5.938228462693452e-67,Limb-Muscle_endothelial cell
59583,30m,B2m,18.4328,36.937176,7.167526325089214e-76,2.846941456325436e-72,Limb-Muscle_endothelial cell
70,1m,Tmsb4x,7.382353,32.524395,1.5551627421662182e-13,2.244915031562788e-11,Limb-Muscle_endothelial cell
19861,18m,Rps12,25.766354,31.097311,2.1140150254518112e-146,1.399477946849099e-142,Limb-Muscle_endothelial cell
193,1m,Mt1,4.9111133,30.974112,9.056076628558169e-07,5.1534006258786605e-05,Limb-Muscle_endothelial cell
1,1m,Sparc,26.547369,24.281252,2.7542309909437917e-155,1.3674756870035925e-151,Limb-Muscle_endothelial cell
39720,24m,H2-D1,18.39149,23.160728,1.5369487964197057e-75,3.0523803096895354e-71,Limb-Muscle_endothelial cell
20260,18m,Fabp4,3.100746,23.053429,0.00193033855937784,0.03762171127501855,Limb-Muscle_endothelial cell
19863,18m,Rps21,22.20803,22.16406,2.872566252191556e-109,1.140983315370486e-105,Limb-Muscle_endothelial cell
19882,18m,Eef1a1,13.016635,20.258104,9.841256038670959e-39,5.1433511823159275e-36,Limb-Muscle_endothelial cell
19962,18m,Ly6c1,7.121569,20.238604,1.06705333899918e-12,9.949145217147283e-11,Limb-Muscle_endothelial cell
5,1m,Ftl1,17.607082,20.210884,2.173646088095293e-69,3.9244192099611385e-66,Limb-Muscle_endothelial cell
59584,30m,H2-D1,16.268673,19.852238,1.6468693020845671e-59,5.451137389899917e-56,Limb-Muscle_endothelial cell
19865,18m,Rps15,19.284468,19.828465,7.253242223171361e-83,2.0578484364597605e-79,Limb-Muscle_endothelial cell
19868,18m,Rps20,18.187796,19.627192,6.448109607283968e-74,1.1641768800059963e-70,Limb-Muscle_endothelial cell
59737,30m,Klf2,5.9333735,17.604527,2.9677294438528258e-09,2.1201117537739972e-07,Limb-Muscle_endothelial cell
59586,30m,Iigp1,15.573662,17.585268,1.0992911280620883e-54,2.4257690892570082e-51,Limb-Muscle_endothelial cell
59636,30m,Hspa8,8.973845,17.449001,2.863422834660808e-19,6.769949701948054e-17,Limb-Muscle_endothelial cell
