Gene,Category
Acsm2,Metabolism / transport
Actb,Actin cytoskeleton / cytoskeletal regulation
Apoe,Metabolism / transport
B2m,Immune response
Beta-s,Other / uncategorized
Camp,Immune response
Cd74,Immune response
Cebpb,Transcription / stress
Cebpd,Transcription / stress
Chi3l3,Immune response
Col1a1,Extracellular matrix / adhesion
Col1a2,Extracellular matrix / adhesion
Col3a1,Extracellular matrix / adhesion
Crip1,Transcription / stress
Cst3,Extracellular matrix / adhesion
Egr1,Transcription / stress
Fos,Transcription / stress
Fth1,Metabolism / transport
Ftl1,Metabolism / transport
Gm1821,Other / uncategorized
H2-Aa,Histocompatibility Complex Proteins
H2-Ab1,Histocompatibility Complex Proteins
H2-D1,Histocompatibility Complex Proteins
H2-Eb1,Histocompatibility Complex Proteins
H2-K1,Histocompatibility Complex Proteins
Hist1h2ao,Histone protein (chromatin / transcription regulation)
Hspa5,Transcription / stress
Igfbp7,Metabolism / transport
Lars2,Metabolism / transport
Lcn2,Immune response
Ly6c1,Immune response
Lyz1,Immune response
Lyz2,Immune response
Malat1,Transcription / stress
Map4k2,Signaling kinase
Mgp,Extracellular matrix / adhesion
Miox,Metabolism / transport
Mt1,Transcription / stress
Mt2,Transcription / stress
Odc1,Metabolism / transport
Plac8,Immune response
Plac9,Other / uncategorized
Ptma,Transcription / stress
Rn45s,Ribosomal RNA precursor
Rpl10,Ribosomal protein
Rpl12,Ribosomal protein
Rpl13,Ribosomal protein
Rpl13a,Ribosomal protein
Rpl23,Ribosomal protein
Rpl28,Ribosomal protein
Rpl31,Ribosomal protein
Rpl35a,Ribosomal protein
Rpl37,Ribosomal protein
Rpl37a,Ribosomal protein
Rpl41,Ribosomal protein
Rplp0,Ribosomal protein
Rplp1,Ribosomal protein
Rplp2,Ribosomal protein
Rps12,Ribosomal protein
Rps15a-ps4,Other / uncategorized
Rps16,Ribosomal protein
Rps19,Ribosomal protein
Rps20,Ribosomal protein
Rps26,Ribosomal protein
Rps27,Ribosomal protein
Rps28,Ribosomal protein
Rps29,Ribosomal protein
Rps7,Ribosomal protein
Rpsa,Ribosomal protein
S100a6,Immune response
S100a8,Immune response
S100a9,Immune response
Sepp1,Metabolism / transport
Serpinh1,Extracellular matrix / adhesion
Slc34a1,Metabolism / transport
Sparc,Extracellular matrix / adhesion
Tm9sf2,Membrane protein / trafficking
Tpt1,Transcription / stress
Ubb,Ubiquitin system
Eef1a1,Transcription / stress
Ifi27l2a,Immune response
Pfn1,Actin cytoskeleton / cytoskeletal regulation
Tmsb10,Actin cytoskeleton / cytoskeletal regulation
Tmsb4x,Actin cytoskeleton / cytoskeletal regulation
