,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Cyp2d12,0.632801082,4.10E-232,Kidney_kidney proximal convoluted tubule epithelial cell,0.632801082
Slc5a10,-0.625696072,1.85E-225,Kidney_kidney proximal convoluted tubule epithelial cell,0.625696072
Slc22a6,-0.551781962,2.41E-165,Kidney_kidney proximal convoluted tubule epithelial cell,0.551781962
Apob,0.540850794,1.10E-157,Kidney_kidney proximal convoluted tubule epithelial cell,0.540850794
Clec2h,0.529516322,4.88E-150,Kidney_kidney proximal convoluted tubule epithelial cell,0.529516322
Cyp4a10,-0.522924283,1.01E-145,Kidney_kidney proximal convoluted tubule epithelial cell,0.522924283
Pck1,-0.497026665,1.18E-129,Kidney_kidney proximal convoluted tubule epithelial cell,0.497026665
Atp1a1,-0.493654562,1.15E-127,Kidney_kidney proximal convoluted tubule epithelial cell,0.493654562
Cyp4a14,-0.490786982,5.48E-126,Kidney_kidney proximal convoluted tubule epithelial cell,0.490786982
Ccnd1,0.490746386,5.78E-126,Kidney_kidney proximal convoluted tubule epithelial cell,0.490746386
Slc5a8,-0.488665733,9.29E-125,Kidney_kidney proximal convoluted tubule epithelial cell,0.488665733
Npl,0.479176329,2.32E-119,Kidney_kidney proximal convoluted tubule epithelial cell,0.479176329
D14Ertd449e,0.463280692,1.08E-110,Kidney_kidney proximal convoluted tubule epithelial cell,0.463280692
Ifi27l1,0.460888798,1.98E-109,Kidney_kidney proximal convoluted tubule epithelial cell,0.460888798
Ces1d,-0.459463008,1.11E-108,Kidney_kidney proximal convoluted tubule epithelial cell,0.459463008
Nudt19,-0.457107399,1.89E-107,Kidney_kidney proximal convoluted tubule epithelial cell,0.457107399
Beta-s,0.456445191,4.18E-107,Kidney_kidney proximal convoluted tubule epithelial cell,0.456445191
Snhg11,0.452834677,3.04E-105,Kidney_kidney proximal convoluted tubule epithelial cell,0.452834677
Cyp4a31,-0.451194198,2.10E-104,Kidney_kidney proximal convoluted tubule epithelial cell,0.451194198
Slc13a3,-0.446502411,4.97E-102,Kidney_kidney proximal convoluted tubule epithelial cell,0.446502411
Slc22a2,-0.436842906,2.94E-97,Kidney_kidney proximal convoluted tubule epithelial cell,0.436842906
BC089597,-0.436201421,6.03E-97,Kidney_kidney proximal convoluted tubule epithelial cell,0.436201421
Spns3,0.430241025,4.39E-94,Kidney_kidney proximal convoluted tubule epithelial cell,0.430241025
Cyp24a1,0.429205484,1.36E-93,Kidney_kidney proximal convoluted tubule epithelial cell,0.429205484
Ftl1,0.428397303,3.29E-93,Kidney_kidney proximal convoluted tubule epithelial cell,0.428397303
Atp11a,-0.417858894,2.56E-88,Kidney_kidney proximal convoluted tubule epithelial cell,0.417858894
Slc5a12,0.412217546,9.03E-86,Kidney_kidney proximal convoluted tubule epithelial cell,0.412217546
Cml1,-0.411206163,2.55E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.411206163
Ggt1,-0.410969748,3.26E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.410969748
Tnfrsf21,-0.410003084,8.76E-85,Kidney_kidney proximal convoluted tubule epithelial cell,0.410003084
Dbp,-0.407152039,1.59E-83,Kidney_kidney proximal convoluted tubule epithelial cell,0.407152039
Mep1a,-0.403787647,4.70E-82,Kidney_kidney proximal convoluted tubule epithelial cell,0.403787647
Ugt2b38,-0.400182948,1.70E-80,Kidney_kidney proximal convoluted tubule epithelial cell,0.400182948
Cd74,0.399226265,4.36E-80,Kidney_kidney proximal convoluted tubule epithelial cell,0.399226265
Slc27a2,-0.397130799,3.41E-79,Kidney_kidney proximal convoluted tubule epithelial cell,0.397130799
Acy3,-0.394298857,5.36E-78,Kidney_kidney proximal convoluted tubule epithelial cell,0.394298857
Ugt2b37,-0.39376945,8.95E-78,Kidney_kidney proximal convoluted tubule epithelial cell,0.39376945
Slc25a10,-0.392799255,2.28E-77,Kidney_kidney proximal convoluted tubule epithelial cell,0.392799255
Slc6a18,-0.39090964,1.40E-76,Kidney_kidney proximal convoluted tubule epithelial cell,0.39090964
Enpp2,-0.386886609,6.42E-75,Kidney_kidney proximal convoluted tubule epithelial cell,0.386886609
Ugt3a1,-0.378709154,1.30E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.378709154
Timd2,0.378442616,1.65E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.378442616
Hsd3b4,-0.37842732,1.68E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.37842732
Tcn2,-0.376611962,8.81E-71,Kidney_kidney proximal convoluted tubule epithelial cell,0.376611962
Ndrg1,0.372845814,2.66E-69,Kidney_kidney proximal convoluted tubule epithelial cell,0.372845814
Apoe,0.371957421,5.90E-69,Kidney_kidney proximal convoluted tubule epithelial cell,0.371957421
Ly6a,-0.371233466,1.13E-68,Kidney_kidney proximal convoluted tubule epithelial cell,0.371233466
Pisd-ps3,0.368731521,1.04E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368731521
Slc13a2,-0.368556121,1.22E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368556121
Slc5a1,-0.368218778,1.64E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.368218778
Cdh16,-0.36821759,1.65E-67,Kidney_kidney proximal convoluted tubule epithelial cell,0.36821759
Ypel2,0.363374157,1.15E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.363374157
Gss,-0.363293079,1.23E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.363293079
Por,-0.361419644,6.24E-65,Kidney_kidney proximal convoluted tubule epithelial cell,0.361419644
Inmt,-0.354670879,1.97E-62,Kidney_kidney proximal convoluted tubule epithelial cell,0.354670879
Hsd17b11,-0.351942156,1.93E-61,Kidney_kidney proximal convoluted tubule epithelial cell,0.351942156
Csrp2,-0.34954506,1.42E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.34954506
Slc17a1,-0.348455057,3.48E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.348455057
Gls,-0.348415146,3.60E-60,Kidney_kidney proximal convoluted tubule epithelial cell,0.348415146
Rbm3,0.345779322,3.12E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.345779322
Hmgcs2,-0.344694046,7.54E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.344694046
Ak4,-0.344677884,7.64E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.344677884
Hmgcs1,-0.34462897,7.95E-59,Kidney_kidney proximal convoluted tubule epithelial cell,0.34462897
Gatm,0.344100103,1.22E-58,Kidney_kidney proximal convoluted tubule epithelial cell,0.344100103
Ech1,-0.341333805,1.14E-57,Kidney_kidney proximal convoluted tubule epithelial cell,0.341333805
Ethe1,0.337049012,3.44E-56,Kidney_kidney proximal convoluted tubule epithelial cell,0.337049012
Slc6a13,-0.335062191,1.64E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.335062191
Ggct,-0.33347915,5.66E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.33347915
Sectm1b,0.333281125,6.60E-55,Kidney_kidney proximal convoluted tubule epithelial cell,0.333281125
Slc17a3,-0.331583544,2.47E-54,Kidney_kidney proximal convoluted tubule epithelial cell,0.331583544
Agps,-0.330529038,5.57E-54,Kidney_kidney proximal convoluted tubule epithelial cell,0.330529038
Spnb2,-0.329566979,1.17E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.329566979
Vill,-0.327528529,5.55E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.327528529
Abca3,-0.327170416,7.29E-53,Kidney_kidney proximal convoluted tubule epithelial cell,0.327170416
Cyp2d26,-0.324711918,4.70E-52,Kidney_kidney proximal convoluted tubule epithelial cell,0.324711918
Rplp0,0.324176705,7.03E-52,Kidney_kidney proximal convoluted tubule epithelial cell,0.324176705
Fgg,0.322582881,2.32E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.322582881
Rnf186,0.3219219,3.81E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.3219219
Serpinf2,-0.321596095,4.86E-51,Kidney_kidney proximal convoluted tubule epithelial cell,0.321596095
Erp29,-0.319970522,1.62E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.319970522
Ass1,0.319561571,2.20E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.319561571
G6pc,0.318411395,5.14E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.318411395
Cndp2,-0.317884697,7.57E-50,Kidney_kidney proximal convoluted tubule epithelial cell,0.317884697
Gm11128,-0.317383771,1.09E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.317383771
Papss2,-0.315925531,3.18E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.315925531
H2-Ab1,0.31587283,3.30E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.31587283
Pde1a,0.315197434,5.40E-49,Kidney_kidney proximal convoluted tubule epithelial cell,0.315197434
