,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Plac9,0.669514284,3.01E-160,Limb-Muscle_skeletal muscle satellite cell,0.669514284
Col3a1,-0.644130589,1.23E-144,Limb-Muscle_skeletal muscle satellite cell,0.644130589
Malat1,0.600470822,5.32E-121,Limb-Muscle_skeletal muscle satellite cell,0.600470822
Rps27,0.597198235,2.25E-119,Limb-Muscle_skeletal muscle satellite cell,0.597198235
Col1a2,-0.592940315,2.76E-117,Limb-Muscle_skeletal muscle satellite cell,0.592940315
Mt1,0.590465386,4.37E-116,Limb-Muscle_skeletal muscle satellite cell,0.590465386
Sparc,-0.574221999,1.83E-108,Limb-Muscle_skeletal muscle satellite cell,0.574221999
Fth1,0.558722002,1.41E-101,Limb-Muscle_skeletal muscle satellite cell,0.558722002
Rps21,0.551100344,2.53E-98,Limb-Muscle_skeletal muscle satellite cell,0.551100344
Mt2,0.548163213,4.31E-97,Limb-Muscle_skeletal muscle satellite cell,0.548163213
Rpl38,0.537021815,1.58E-92,Limb-Muscle_skeletal muscle satellite cell,0.537021815
Rps19,0.532072453,1.48E-90,Limb-Muscle_skeletal muscle satellite cell,0.532072453
Rpl21,0.528780892,2.92E-89,Limb-Muscle_skeletal muscle satellite cell,0.528780892
Rps28,0.524098025,1.92E-87,Limb-Muscle_skeletal muscle satellite cell,0.524098025
Ddx5,0.51952344,1.07E-85,Limb-Muscle_skeletal muscle satellite cell,0.51952344
Rpl37,0.517527982,6.08E-85,Limb-Muscle_skeletal muscle satellite cell,0.517527982
Col1a1,-0.516341955,1.70E-84,Limb-Muscle_skeletal muscle satellite cell,0.516341955
Rpl35a,0.514981761,5.48E-84,Limb-Muscle_skeletal muscle satellite cell,0.514981761
Itm2a,-0.514538673,8.01E-84,Limb-Muscle_skeletal muscle satellite cell,0.514538673
Fau,0.509784444,4.60E-82,Limb-Muscle_skeletal muscle satellite cell,0.509784444
Rpl13a,0.508105312,1.89E-81,Limb-Muscle_skeletal muscle satellite cell,0.508105312
Rps23,0.506209984,9.26E-81,Limb-Muscle_skeletal muscle satellite cell,0.506209984
Rpl14,0.502677627,1.74E-79,Limb-Muscle_skeletal muscle satellite cell,0.502677627
Rpl37a,0.501366145,5.12E-79,Limb-Muscle_skeletal muscle satellite cell,0.501366145
Rpl9,0.500076857,1.47E-78,Limb-Muscle_skeletal muscle satellite cell,0.500076857
Rpl10,0.496602404,2.49E-77,Limb-Muscle_skeletal muscle satellite cell,0.496602404
Rps5,0.496428284,2.86E-77,Limb-Muscle_skeletal muscle satellite cell,0.496428284
B2m,0.490264457,3.97E-75,Limb-Muscle_skeletal muscle satellite cell,0.490264457
Rpl23a,0.488751029,1.31E-74,Limb-Muscle_skeletal muscle satellite cell,0.488751029
Rps4x,0.486289947,9.05E-74,Limb-Muscle_skeletal muscle satellite cell,0.486289947
Ccl19,0.485632648,1.51E-73,Limb-Muscle_skeletal muscle satellite cell,0.485632648
Rpl17,0.479672302,1.51E-71,Limb-Muscle_skeletal muscle satellite cell,0.479672302
Rps24,0.478548183,3.56E-71,Limb-Muscle_skeletal muscle satellite cell,0.478548183
Rpl19,0.478227657,4.54E-71,Limb-Muscle_skeletal muscle satellite cell,0.478227657
Rplp2,0.472991742,2.36E-69,Limb-Muscle_skeletal muscle satellite cell,0.472991742
Rps6,0.469769316,2.59E-68,Limb-Muscle_skeletal muscle satellite cell,0.469769316
Ifitm3,0.468245099,7.99E-68,Limb-Muscle_skeletal muscle satellite cell,0.468245099
Rpl8,0.466756887,2.38E-67,Limb-Muscle_skeletal muscle satellite cell,0.466756887
Rpl23,0.464668037,1.09E-66,Limb-Muscle_skeletal muscle satellite cell,0.464668037
Rpl6,0.464628195,1.13E-66,Limb-Muscle_skeletal muscle satellite cell,0.464628195
Rps15,0.463584067,2.41E-66,Limb-Muscle_skeletal muscle satellite cell,0.463584067
Rpl18,0.458163716,1.18E-64,Limb-Muscle_skeletal muscle satellite cell,0.458163716
Cebpd,0.457989771,1.34E-64,Limb-Muscle_skeletal muscle satellite cell,0.457989771
