Gene,Category
S100a6,Immune response
Beta-s,Other / uncategorized
Rps3a,Ribosomal protein
Sparc,Extracellular matrix / adhesion
Rps3,Ribosomal protein
Rps7,Ribosomal protein
Rps5,Ribosomal protein
Tmsb4x,Actin cytoskeleton / cytoskeletal regulation
Rps20,Ribosomal protein
Rps10,Ribosomal protein
Rps9,Ribosomal protein
Rpl6,Ribosomal protein
Rpl18a,Ribosomal protein
Rps6,Ribosomal protein
Rpl9,Ribosomal protein
Dbp,Transcription / stress
Rps18,Ribosomal protein
Rpl28,Ribosomal protein
Rps16,Ribosomal protein
Rps28,Ribosomal protein
Rpsa,Ribosomal protein
Rpl15,Ribosomal protein
Rpl13,Ribosomal protein
Rps11,Ribosomal protein
Rplp0,Ribosomal protein
Fau,Other / uncategorized
S100a9,Immune response
Rpl13a,Ribosomal protein
Rpl35,Ribosomal protein
Rps15a,Ribosomal protein
Rpl36,Ribosomal protein
Rps24,Ribosomal protein
Rpl14,Ribosomal protein
Rps19,Ribosomal protein
B2m,Immune response
Rpl24,Ribosomal protein
Rpl19,Ribosomal protein
Gm1821,Other / uncategorized
Rpl10a,Ribosomal protein
S100a8,Immune response
Rpl10,Ribosomal protein
Rps13,Ribosomal protein
Rpl18,Ribosomal protein
Rpl7,Ribosomal protein
Rps14,Ribosomal protein
Rps2,Ribosomal protein
Rps17,Ribosomal protein
Rpl4,Ribosomal protein
Rps27a,Ribosomal protein
Rpl17,Ribosomal protein
Rpl21,Ribosomal protein
Rps25,Ribosomal protein
Rpl32,Ribosomal protein
Rpl38,Ribosomal protein
Rplp2,Ribosomal protein
Rpl3,Ribosomal protein
Rpl23,Ribosomal protein
Rpl11,Ribosomal protein
Rpl8,Ribosomal protein
Rps4x,Ribosomal protein
Pfn1,Actin cytoskeleton / cytoskeletal regulation
Rplp1,Ribosomal protein
Rpl31,Ribosomal protein
Rpl27a,Ribosomal protein
Fth1,Histocompatibility Complex Proteins
Ftl1,Iron metabolism (ferritin)
Serinc3,Lipid metabolism / membrane protein
Rps8,Ribosomal protein
Tmsb10,Actin cytoskeleton / cytoskeletal regulation
Lgals3,"Galectin (lectin family, ECM/immune)"
Rps12,Ribosomal protein
Ddit4,Transcription / stress
Tpt1,Transcription / stress
Rpl23a,Ribosomal protein
Rpl39,Ribosomal protein
Rps23,Ribosomal protein
H2-D1,Histocompatibility Complex Proteins
Uba52,Ubiquitin system
Rpl27,Ribosomal protein
Ccl5,Immune response
Rpl12,Ribosomal protein
Ubb,Ubiquitin system
Gnb2l1,Signaling (G protein-related)
H2-Ab1,Histocompatibility Complex Proteins
AW112010,Other / uncategorized
Rbm3,Transcription / stress
Rps21,Ribosomal protein
Malat1,Transcription / stress
Rps26,Ribosomal protein
Cd74,Immune response
Rpl29,Ribosomal protein
H2-K1,Histocompatibility Complex Proteins
Rpl35a,Ribosomal protein
Ifi27l2a,Immune response
Rps15,Ribosomal protein
Pisd-ps3,Other / uncategorized
Rps15a-ps4,Ribosomal protein
Ifitm3,Immune response
Tsc22d3,Immune response
H3f3b,Transcription / stress
