,Pearson Correlation,Absolute Correlation,P-values
Rpl27a,0.5037297010767973,0.5037297010767973,2.912846036906014e-169
Rps15,0.5204696771004703,0.5204696771004703,1.535856656654904e-182
Map1lc3b,0.2799047230224966,0.2799047230224966,1.531039246760014e-48
Uba52,0.31212144637102984,0.31212144637102984,1.6017380115382043e-60
Cox5b,-0.03750736279869088,0.03750736279869088,0.05444588649083002
Rpl18,0.4631260837631626,0.4631260837631626,5.730801086672283e-140
Eif3f,0.2662642426425847,0.2662642426425847,6.320733881557222e-44
Atp6v0b,-0.041626792541755636,0.041626792541755636,0.032787233719483666
Id3,0.024480260470506967,0.024480260470506967,0.20946957103135308
Rps28,0.07040657228012728,0.07040657228012728,0.0003021316130647828
Rpl14,0.4091403482939543,0.4091403482939543,1.0856660922457895e-106
Igfbp7,0.0581628148385447,0.0581628148385447,0.0028459757202517677
Prkar1a,0.08366924520264657,0.08366924520264657,1.7363422698879537e-05
Capns1,-0.007330585097864246,0.007330585097864246,0.7070919221955584
Nr4a1,0.06371262800023336,0.06371262800023336,0.001078609650832522
Eif5a,0.22656938990824355,0.22656938990824355,5.767606718662583e-32
Mat2a,0.07946497081905698,0.07946497081905698,4.5082368157783474e-05
Laptm4a,-0.0048686296331229145,0.0048686296331229145,0.8029251014969261
Serf2,-0.11355856080377935,0.11355856080377935,5.2259243782667036e-09
Rpl10a,0.3959766409579599,0.3959766409579599,1.8536613759879776e-99
Nop10,-0.0822625829254833,0.0822625829254833,2.4014260159078966e-05
Gadd45g,-0.14025815815981965,0.14025815815981965,5.001622685385963e-13
Mxra8,-0.009982138185903211,0.009982138185903211,0.60886894774882
Srp14,-0.07609321366233217,0.07609321366233217,9.378327129405506e-05
Rrbp1,-0.358844202674747,0.358844202674747,9.357212699279306e-81
Cebpd,0.06583717297512556,0.06583717297512556,0.0007290284882202664
Ly6c1,0.2711333464030792,0.2711333464030792,1.5259708820375787e-45
Cd47,0.0055774643213127965,0.0055774643213127965,0.7749560300576543
Snrpb,0.04543427660890699,0.04543427660890699,0.019799519851035684
Arf5,-0.07909186958851175,0.07909186958851175,4.895856729119281e-05
Cfl1,0.06677768951247645,0.06677768951247645,0.0006107551847496823
Timp2,0.3545361965549312,0.3545361965549312,9.678755075753438e-79
H2-K1,0.19219193557207723,0.19219193557207723,2.666747273747301e-23
H3f3b,0.19043486041512417,0.19043486041512417,6.731728802839592e-23
2700060E02Rik,-0.01802345496986993,0.01802345496986993,0.35551653846005693
Ahnak,0.2670541025755214,0.2670541025755214,3.4729825322143574e-44
Derl1,-0.03581065653757431,0.03581065653757431,0.06632621964720316
6720456B07Rik,-0.05749795594404413,0.05749795594404413,0.0031804503300412196
Krtcap2,-0.17548522871759642,0.17548522871759642,1.2385554856599604e-19
Sepp1,0.18815391244970203,0.18815391244970203,2.2098351416124654e-22
Pdpn,0.16570371404598602,0.16570371404598602,1.1990744858978744e-17
Cd63,-0.07036179317417912,0.07036179317417912,0.0003048286881317702
Tubb4b,0.14828533111672998,0.14828533111672998,2.117740076350948e-14
Actb,0.04728325379329484,0.04728325379329484,0.015306043878178199
2310044H10Rik,-0.05251024925032408,0.05251024925032408,0.007070852244141218
Ndufa5,-0.12109347478611157,0.12109347478611157,4.661785894950926e-10
Isca1,-0.01903689747956271,0.01903689747956271,0.32911226921483183
Prdx1,-0.02895060846007269,0.02895060846007269,0.13773079227443555
H2afz,0.3128932207918637,0.3128932207918637,7.915228258815059e-61
Nme2,0.12473176174403218,0.12473176174403218,1.3742104836533302e-10
Gm2a,-0.02426866587243487,0.02426866587243487,0.21343541325338164
Rpl7a,0.34039897137519104,0.34039897137519104,2.399361818915332e-72
Rps10,0.4816250375289104,0.4816250375289104,7.965397647800292e-153
Rps19,0.30238346956423284,0.30238346956423284,9.754634748196738e-57
Cald1,0.08581591352360965,0.08581591352360965,1.0482096464583699e-05
Txndc5,-0.2954798654008683,0.2954798654008683,3.851995641795652e-54
Pfdn2,0.07033429336513282,0.07033429336513282,0.0003064961702318359
Sparc,-0.44828262816549147,0.44828262816549147,3.2872594226222714e-130
Calm3,-0.12038284644825678,0.12038284644825678,5.893373679065999e-10
Col6a2,-0.40777520050396754,0.40777520050396754,6.3239689405045865e-106
Rpl37,0.23079516531147273,0.23079516531147273,3.8840455617299e-33
Ndufa1,-0.14004225238714405,0.14004225238714405,5.432301009799618e-13
1810035L17Rik,-0.10810565562137966,0.10810565562137966,2.7335617465335917e-08
Csde1,0.061283311696513305,0.061283311696513305,0.0016649277142939897
Rpsa,0.41726084080588255,0.41726084080588255,2.564615954525224e-111
Phlda1,0.05585786549480631,0.05585786549480631,0.004163989774211809
Anp32a,-0.1404646565048984,0.1404646565048984,4.621140038548328e-13
Rpl38,0.12292684986133834,0.12292684986133834,2.5302432261869317e-10
Col5a1,-0.32792620613431356,0.32792620613431356,5.6415258311261974e-67
Nhp2l1,0.13943050865434078,0.13943050865434078,6.859999313119004e-13
Atf4,0.2981187748144141,0.2981187748144141,3.9956417673191934e-55
Serping1,0.23594368456753856,0.23594368456753856,1.347489238513772e-34
Atp6ap2,0.04036941159000083,0.04036941159000083,0.03843872919717597
S100a1,-0.02695683199605902,0.02695683199605902,0.16696085674302627
Rdx,-0.11379307872070218,0.11379307872070218,4.858347506194057e-09
Anxa2,-0.06830536242091177,0.06830536242091177,0.0004559749462023351
Ndufb11,-0.05630869811084764,0.05630869811084764,0.0038692689529079487
Clk1,-0.008405913276319725,0.008405913276319725,0.666550138073372
Tmco1,-0.16440713973322293,0.16440713973322293,2.1540727718879663e-17
Sepw1,0.05889441164338469,0.05889441164338469,0.0025152560676442145
Tmem158,-0.04010144267555359,0.04010144267555359,0.03974466460149219
Lmna,0.3000467414692129,0.3000467414692129,7.517001837732284e-56
Psma5,-0.1276774457748794,0.1276774457748794,4.979492329065366e-11
Rabac1,0.0201489663465769,0.0201489663465769,0.3016396254203133
Ltbp4,0.26705140140109934,0.26705140140109934,3.480114019167876e-44
Tprgl,-0.059196037145289954,0.059196037145289954,0.0023894413833192222
Cxcl16,-0.07657048843155206,0.07657048843155206,8.469559602790841e-05
Gnb2l1,0.364983274324687,0.364983274324687,1.1111238837893585e-83
Tmsb10,0.2660579358481739,0.2660579358481739,7.388393321235237e-44
Cct4,-0.0009980380530975467,0.0009980380530975467,0.9591991482003904
Xbp1,0.0010396491992600103,0.0010396491992600103,0.9574996171546811
Eif3k,0.06116010737414431,0.06116010737414431,0.0017013238843741076
Eif5,0.14708996977251035,0.14708996977251035,3.429708652577844e-14
Mll5,-0.042322149670951076,0.042322149670951076,0.029978853331951324
Emp3,-0.08497191260948551,0.08497191260948551,1.2800911911030367e-05
