,Pearson Correlation,Absolute Correlation,P-values
Gng5,0.18687287107501915,0.18687287107501915,2.1128358985478174e-40
Uqcrq,0.0800203366947341,0.0800203366947341,1.5414273651341267e-08
Ftl1,0.10251408661515721,0.10251408661515721,4.030392244832775e-13
Ppib,0.0636896664907185,0.0636896664907185,6.802737077131095e-06
Chchd2,0.16073373028940538,0.16073373028940538,3.366103079692704e-30
Ndufa4,0.03993493320448491,0.03993493320448491,0.004806526165688467
Anapc13,-0.015043662824541622,0.015043662824541622,0.2883092685124981
Rps27l,0.07579925311929432,0.07579925311929432,8.433451661874035e-08
Rps10,0.2722845498092217,0.2722845498092217,1.917880007011596e-85
Gnas,0.03685564665998042,0.03685564665998042,0.009264238755985829
Rpl18a,0.10657017925874411,0.10657017925874411,4.5863015370098896e-14
Cox5b,0.054299674866371016,0.054299674866371016,0.00012541796878800084
H3f3a,0.1042182187692728,0.1042182187692728,1.6337692747663997e-13
Rpl10a,0.20743221300067075,0.20743221300067075,1.426489711867456e-49
Jund,0.02977276853048859,0.02977276853048859,0.03556902617266936
Ctsh,0.06144335119726218,0.06144335119726218,1.4199243697796759e-05
Csde1,0.009024551798804254,0.009024551798804254,0.5241486124269872
Bri3,0.10999052048664983,0.10999052048664983,6.876162935570016e-15
Rpl31-ps12,-0.05546518629519143,0.05546518629519143,8.938510183467395e-05
Jup,0.03491978552555063,0.03491978552555063,0.013686751146093794
Ndufa7,0.06984937019573308,0.06984937019573308,7.974935352021767e-07
Rpl32,0.3021016968285911,0.3021016968285911,1.0936657806989286e-105
Dazap2,0.04289816465178729,0.04289816465178729,0.0024525443477795097
Rpl7a,0.19354360870277218,0.19354360870277218,2.893364306502955e-43
Tmsb10,-0.0195946789898175,0.0195946789898175,0.16662802092888693
Zfp36,-0.0919000582059403,0.0919000582059403,8.029821096637934e-11
Atp5g2,0.12219516181482072,0.12219516181482072,4.845077679729348e-18
Rpl10,0.06888556145938077,0.06888556145938077,1.1290005124385298e-06
Llph,0.05824486894425161,0.05824486894425161,3.881863672715848e-05
Pttg1ip,-0.0014180861789427834,0.0014180861789427834,0.9202742974442008
Rps14,0.11917237203354121,0.11917237203354121,3.1395728455022525e-17
Psmb6,0.09028297755084379,0.09028297755084379,1.711825219045977e-10
Eif1a,0.13898622487852813,0.13898622487852813,6.362084129776181e-23
Gpx4,0.18293270681194385,0.18293270681194385,9.250131076798643e-39
Paip2,-0.004503064933702482,0.004503064933702482,0.7506163403162928
Rps25,0.2877202234736935,0.2877202234736935,1.2922954751864204e-95
Arpc1b,0.053292024689264555,0.053292024689264555,0.0001672087753967351
Arpc3,0.0840452118778194,0.0840452118778194,2.808704965083371e-09
D14Ertd449e,0.032722518144023494,0.032722518144023494,0.02087899260633859
Eef1b2,0.1950551146564843,0.1950551146564843,6.27620019295543e-44
Cox7c,0.0380140670024692,0.0380140670024692,0.007274860383650096
Cd55,0.06137755991139616,0.06137755991139616,1.4503253974144488e-05
Rpl35a,0.069866560312496,0.069866560312496,7.925317835452854e-07
Ghitm,0.05138328782244968,0.05138328782244968,0.0002845030891823323
Perp,-0.01907738056155095,0.01907738056155095,0.17810937077647035
Bag1,0.015000182465668511,0.015000182465668511,0.2897051884828498
Slc25a3,0.1294769473777637,0.1294769473777637,4.428492692036039e-20
Rnf128,0.019255216492467354,0.019255216492467354,0.17409772612652863
Itpr1,-0.03811558266190085,0.03811558266190085,0.007120278489997598
Gnai2,-0.00502964619871531,0.00502964619871531,0.72259455233018
Rabac1,0.11219360762214199,0.11219360762214199,1.9625951003092655e-15
Arf1,0.09635135677090075,0.09635135677090075,9.340393640467086e-12
Rplp2,0.3169370964376696,0.3169370964376696,1.0704416856595652e-116
Eef1g,-0.011843796797378616,0.011843796797378616,0.4031765939192634
Rps27a,0.04554426521290715,0.04554426521290715,0.0012991323831184327
Lima1,-0.005518668912706029,0.005518668912706029,0.6968995096395425
Tbca,0.08742733675975098,0.08742733675975098,6.311851491029833e-10
Atpif1,0.05086668715224936,0.05086668715224936,0.0003275416735692249
Dbi,0.10888393706069052,0.10888393706069052,1.278790135077501e-14
S100a16,0.11255084072715986,0.11255084072715986,1.5978068678871187e-15
Rpl23,0.355512870632442,0.355512870632442,2.1117166654748742e-148
Ube2s,0.07661412367126405,0.07661412367126405,6.116361333098235e-08
Gipc1,-0.030001071448943848,0.030001071448943848,0.034179760084174136
