,Pearson Correlation,Absolute Correlation,P-values
Prr13,-0.05928503137346771,0.05928503137346771,6.419754672619975e-07
Ifitm3,0.06878804618249162,0.06878804618249162,7.565200786178796e-09
Chi3l3,0.12321515566064901,0.12321515566064901,3.1622447113454536e-25
Actb,0.18747122365122518,0.18747122365122518,1.0399688109267192e-56
Tpt1,0.08962936278170654,0.08962936278170654,4.89487194189831e-14
Coro1a,0.16810969559841962,0.16810969559841962,8.543180187042071e-46
Cotl1,0.05197254650805812,0.05197254650805812,1.2815870210593663e-05
Ostf1,0.04529859498548399,0.04529859498548399,0.0001433519275098154
Retnlg,0.08613903850482989,0.08613903850482989,4.4815382019647913e-13
Actn1,-0.10073243392231793,0.10073243392231793,2.400124644518685e-17
Mmp8,-0.03877201091306646,0.03877201091306646,0.0011377980908665695
Gpi1,0.012674060686413873,0.012674060686413873,0.2876265364136999
Eif3f,-0.03596014898698642,0.03596014898698642,0.0025454938239932875
Chchd2,0.03188876918251762,0.03188876918251762,0.0074503683851248805
Anxa11,-0.11193955410281171,0.11193955410281171,4.4734066283206856e-21
Dbnl,-0.10422021349591425,0.10422021349591425,1.8264628798703356e-18
Pkm2,0.06305002148916522,0.06305002148916522,1.1908259341905756e-07
Rps25,0.08361972102338937,0.08361972102338937,2.1003966406902812e-12
Cyba,0.27309287334844246,0.27309287334844246,1.178299333260321e-120
Anxa1,0.2641533976549133,0.2641533976549133,9.946503275848886e-113
Aurkaip1,-0.04819282152423619,0.04819282152423619,5.220612446217486e-05
Arf5,-0.03908098804157758,0.03908098804157758,0.0010381352292850993
AA467197,0.1504482873619264,0.1504482873619264,6.360538581860672e-37
Beta-s,0.32546953222359293,0.32546953222359293,2.0725344740347592e-173
Rpl14,0.04732110705481174,0.04732110705481174,7.11921884245136e-05
Rps23,0.09841724653260372,0.09841724653260372,1.2643380404717854e-16
G6pdx,-0.07340382257270867,0.07340382257270867,6.977841684260777e-10
Cd24a,0.056857089902942956,0.056857089902942956,1.8066415572604881e-06
Actr2,-0.08867457100149777,0.08867457100149777,9.047753555928412e-14
Dstn,0.13286616842659488,0.13286616842659488,4.237731067973864e-29
Aldoa,-0.027772669640594626,0.027772669640594626,0.0197819066913208
C5ar1,-0.08725908931168407,0.08725908931168407,2.2228261075029238e-13
Ube2b,-0.04072136948670512,0.04072136948670512,0.0006313686262022254
Malat1,0.2674991513488579,0.2674991513488579,1.1657926225422244e-115
Rpl7,0.08627342699631936,0.08627342699631936,4.121856910557074e-13
S100a13,0.013746798964812632,0.013746798964812632,0.24876562303760857
Arf1,-0.04237545559502115,0.04237545559502115,0.0003755155046833793
Gabarapl2,-0.048488633259743015,0.048488633259743015,4.69354348192628e-05
Fam107b,-0.12264239524775475,0.12264239524775475,5.254416940021246e-25
Pfn1,0.21000625505264794,0.21000625505264794,5.153092157336723e-71
Lgals3,0.1894237825426609,0.1894237825426609,7.019407114585522e-58
Rac1,-0.05317114073865572,0.05317114073865572,8.044676165328872e-06
S100a6,0.1918315609618437,0.1918315609618437,2.4255727825360405e-59
B2m,0.12240724675866159,0.12240724675866159,6.467882748910317e-25
Rpl9,0.08173208462780482,0.08173208462780482,6.4894474899678915e-12
Psma2,-0.01203766133986897,0.01203766133986897,0.31252143014339673
Rps5,0.07685510312326276,0.07685510312326276,1.065381998115505e-10
Lyz1,0.057665520612864014,0.057665520612864014,1.285890045552165e-06
Rps14,0.1630375599206745,0.1630375599206745,3.8412962495096074e-43
Itgb2l,-0.016845955306661126,0.016845955306661126,0.15753677715124545
Ndufa3,-0.050818546845749185,0.050818546845749185,1.9881490242950705e-05
Sh3bgrl3,0.2384561454330578,0.2384561454330578,1.3133880972744603e-91
6720456B07Rik,-0.07470973015149576,0.07470973015149576,3.4605031930333374e-10
Eif3k,0.0012293998385281692,0.0012293998385281692,0.9178506814562296
Ifitm2,0.2328012208141754,0.2328012208141754,2.7643231552361625e-87
Ubl5,-0.022121048825549612,0.022121048825549612,0.06344080249230967
Mrpl33,0.021358532907174713,0.021358532907174713,0.07311775765655737
Tomm6,-0.044365533225810605,0.044365533225810605,0.00019615774141617016
Oaz1,-0.08798887894565631,0.08798887894565631,1.400917746100969e-13
Lta4h,0.06328010036706629,0.06328010036706629,1.0709219552244166e-07
Cnn2,0.013709547012719344,0.013709547012719344,0.2500503733739198
Cpne3,0.11912593539790486,0.11912593539790486,1.1263712459789701e-23
Lmo4,-0.0014417150883041872,0.0014417150883041872,0.9037275823349176
Scand1,-0.014190287247604683,0.014190287247604683,0.2338243999989019
Pglyrp1,0.24786757490245684,0.24786757490245684,4.633174294085312e-99
Plbd1,-0.07252184372571488,0.07252184372571488,1.1130073239047478e-09
Atox1,0.027901263064997416,0.027901263064997416,0.01921910339163021
Ndufa6,0.004620651201810521,0.004620651201810521,0.6982712473721084
Ndufb7,0.09275852629395713,0.09275852629395713,6.246594611148725e-15
Siglece,-0.026469256965376074,0.026469256965376074,0.026347725747904834
