,Pearson Correlation,Absolute Correlation,P-values
Ddx5,0.062090332007071675,0.062090332007071675,0.04346978451379694
Serinc3,-0.12359765541118167,0.12359765541118167,5.554887007420109e-05
Selk,0.060404626584158155,0.060404626584158155,0.049501434727323095
Rac1,0.09468787558950033,0.09468787558950033,0.002047923549137322
Pkm2,0.16624989407626126,0.16624989407626126,5.355141114225552e-08
Nono,-0.12366991342920265,0.12366991342920265,5.499021232219427e-05
Rps27l,0.12324872248453295,0.12324872248453295,5.832301271924219e-05
Sec61g,0.16757779750037702,0.16757779750037702,4.177878212757745e-08
Srp9,0.1592225882675607,0.1592225882675607,1.928058870544008e-07
Hspa9,-0.002980664180070668,0.002980664180070668,0.9228555162343112
Rps11,0.22110343426613502,0.22110343426613502,3.502548269936932e-13
Rps27,0.042697969920561483,0.042697969920561483,0.16519056196442283
Elavl1,-0.0584154637737242,0.0584154637737242,0.05750524489271628
Cox7a2,0.12405936368816084,0.12405936368816084,5.206959155251295e-05
Raly,0.0023384116565254316,0.0023384116565254316,0.939441771959175
Txn1,0.12427357294637251,0.12427357294637251,5.05263705147177e-05
Ifitm3,0.1828165744979442,0.1828165744979442,2.098679712065064e-09
Bcap31,-0.10019352038517086,0.10019352038517086,0.0011010421097720259
Denr,-0.005657318552060567,0.005657318552060567,0.8541711048273463
Vdac2,0.09137137732369813,0.09137137732369813,0.0029323701015597113
Siva1,0.10651549534063003,0.10651549534063003,0.0005196808999975595
Ostc,0.07505360527981844,0.07505360527981844,0.014613397966728477
Psmg4,0.041909558628393996,0.041909558628393996,0.17314248588321687
Dad1,0.11228576992655499,0.11228576992655499,0.00025263826787929927
Rcc2,-0.056239659218678906,0.056239659218678906,0.06746144878855617
Ifngr1,-0.009719687534424466,0.009719687534424466,0.7521655892774999
Myl6,0.1414334082390583,0.1414334082390583,3.871078534941966e-06
Aprt,0.12265367799632837,0.12265367799632837,6.335835445271059e-05
Glud1,-0.06452130743488613,0.06452130743488613,0.03587117361645731
Exosc6,0.031311748610489,0.031311748610489,0.30890611098165427
Sod1,0.06452700788718317,0.06452700788718317,0.03585477880894808
Mcm7,-0.05274255617725653,0.05274255617725653,0.08639693261729053
6720456B07Rik,0.0860481217604348,0.0860481217604348,0.005098129158224674
Pgls,0.10412251332931448,0.10412251332931448,0.0006938347400824709
Rheb,-0.021871340722081082,0.021871340722081082,0.47730039993571494
Ndufc1,0.058152976904044314,0.058152976904044314,0.058637548399184614
Maz,-0.04334844184053411,0.04334844184053411,0.15883916201930126
Aes,-0.040162104701803966,0.040162104701803966,0.19177994215698552
Stra13,0.0685575314824132,0.0685575314824132,0.025750577390099075
H3f3b,0.2421922611527557,0.2421922611527557,1.3751734563025e-15
Ppil1,-0.01094068261370229,0.01094068261370229,0.7222475664302869
Ssr1,0.11032177695081617,0.11032177695081617,0.0003241875073363351
Rps15a,0.16914079489841777,0.16914079489841777,3.111390024458729e-08
Rn45s,0.1860350064319307,0.1860350064319307,1.078794867146494e-09
Alox5ap,0.19501088078853285,0.19501088078853285,1.5833865084830983e-10
Myl12a,0.0012010641832013757,0.0012010641832013757,0.9688738520213463
Rbm8a,0.11957866290738495,0.11957866290738495,9.662102095496835e-05
Ralbp1,0.13828379026021004,0.13828379026021004,6.351661276324016e-06
