,Pearson Correlation,Absolute Correlation,P-values
Eif5a,-0.0792286553258155,0.0792286553258155,0.0062469647935874655
Ly6c2,-0.14106053792636383,0.14106053792636383,1.0321364060228974e-06
Rpl18,0.013812562023890189,0.013812562023890189,0.6340706030018005
Ndufa2,0.026495211610898378,0.026495211610898378,0.3611433745311025
Rpl35a,-0.0032014724398001966,0.0032014724398001966,0.9121528856886741
Eef2,0.07541784173275057,0.07541784173275057,0.009251568068544777
Vim,-0.00529542849980989,0.00529542849980989,0.8552041660352968
Rpl27a,0.013006170986813373,0.013006170986813373,0.6539993266694591
Actb,-0.07622738351409322,0.07622738351409322,0.008522596296443545
Rpl38,0.028848862374477976,0.028848862374477976,0.32005624415787615
Rpl37a,0.010464512259234417,0.010464512259234417,0.7183848390985792
Rplp2,-0.0005938260581319481,0.0005938260581319481,0.983673771507351
Rap1b,-0.022351523635356696,0.022351523635356696,0.4411026846074067
3110003A17Rik,-0.002222347914491325,0.002222347914491325,0.9389556985803399
Npc2,-0.08500957077229958,0.08500957077229958,0.0033381223562596513
Lamp1,-0.06775132393085029,0.06775132393085029,0.01941813094105687
Ifitm3,-0.12215564656721548,0.12215564656721548,2.385892687192881e-05
Ctsb,-0.15896333605585483,0.15896333605585483,3.527958230052291e-08
Chmp4b,-0.03256572706174489,0.03256572706174489,0.26164281056005156
Eef1g,0.03440940936971111,0.03440940936971111,0.23558133843469803
Ifngr1,-0.03263482036357594,0.03263482036357594,0.2606315965111585
Slc25a5,-0.008228612729421058,0.008228612729421058,0.7767446740683098
Myeov2,0.030379161215870528,0.030379161215870528,0.2950482391743627
Fth1,0.060251026827932486,0.060251026827932486,0.03769591695318915
H13,-0.05835670706050058,0.05835670706050058,0.044146755927528036
Atp5b,-0.07543335560365458,0.07543335560365458,0.009237091608665484
Cotl1,-0.060203907132903335,0.060203907132903335,0.03784608799973698
Hp,-0.06339057062043159,0.06339057062043159,0.02876835413847881
Atp6v0b,-0.056645087828459346,0.056645087828459346,0.05075263812424409
B2m,-0.07789049586080916,0.07789049586080916,0.007183816003091284
Iscu,-0.014220692823048893,0.014220692823048893,0.6240832271502359
Rpl18a,0.00534480666269533,0.00534480666269533,0.853869100953352
Hnrnpa2b1,-0.09125559061772766,0.09125559061772766,0.0016256994939731005
Atox1,0.0280072447651641,0.0280072447651641,0.33438332125733183
H3f3a,-0.033976852857158464,0.033976852857158464,0.24152454716875296
Cd97,-0.03550485313661852,0.03550485313661852,0.22099467117238458
Rpl19,0.01796663623436969,0.01796663623436969,0.5357961535026677
Rpl21,0.02738230976287996,0.02738230976287996,0.3452847749042248
Cst3,-0.06974202215592105,0.06974202215592105,0.016117274022473375
S100a9,0.155019726059335,0.155019726059335,7.678722886046709e-08
Uqcrh,0.034370520838028676,0.034370520838028676,0.23611138915752433
Sec11a,-0.03920996397301958,0.03920996397301958,0.1764713050713893
Grn,-0.12009300377416326,0.12009300377416326,3.274856037425831e-05
Actr2,-0.06263814605260451,0.06263814605260451,0.030723146628126526
Pld4,-0.08405783966184702,0.08405783966184702,0.0037104868318608014
Ctsz,-0.03198190706599768,0.03198190706599768,0.2702954340878579
Rps18,0.046836553983504156,0.046836553983504156,0.10633675237252001
Ifi30,0.07300042312266103,0.07300042312266103,0.01177003602327903
Cd52,-0.03474080540227537,0.03474080540227537,0.23109851195500436
Fam32a,-0.032175692984983566,0.032175692984983566,0.2674019245590513
Cnbp,-0.062152146831285275,0.062152146831285275,0.03204542932997036
Rpl24,0.027816343781849988,0.027816343781849988,0.33768966639873216
Fes,-0.05367985578167661,0.05367985578167661,0.06414809095494588
Snrpb2,0.03563114699994531,0.03563114699994531,0.21935548630374133
Rpl36al,0.009083161512437642,0.009083161512437642,0.7542705397760416
Ly86,0.04529631494833741,0.04529631494833741,0.11835438806636359
Ywhah,-0.024792480707272094,0.024792480707272094,0.39283726793265916
Snrpe,0.00644113666212021,0.00644113666212021,0.8243413891328156
Arhgap9,-0.02369770489249984,0.02369770489249984,0.41407672507769766
Fcer1g,-0.048791203693481444,0.048791203693481444,0.09250042662969148
Atp5g2,0.09371975485864728,0.09371975485864728,0.0012091179150841213
Prelid1,0.043725142036031346,0.043725142036031346,0.13168387990552563
Snrpb,-0.010764475168937566,0.010764475168937566,0.7106703861026514
Cox16,0.022274502253527034,0.022274502253527034,0.44267890271688504
Pi16,-0.04424458741398474,0.04424458741398474,0.12715413506491108
Sp110,-0.12499217388115728,0.12499217388115728,1.530767297255064e-05
Eif1,0.05559620561565547,0.05559620561565547,0.05519536845842192
Ndufa4,-0.06601615582546601,0.06601615582546601,0.022761781796360226
Eif4h,-0.010597570374350114,0.010597570374350114,0.7149592536769105
Srrm2,0.08272714264602747,0.08272714264602747,0.00429442862004124
Psma7,-0.059664220646319,0.059664220646319,0.039602628507495866
Sec11c,-0.10589202559511839,0.10589202559511839,0.000252860816057444
Capns1,-0.06695776998951884,0.06695776998951884,0.020890054002518282
Psmd13,-0.030787637154200347,0.030787637154200347,0.288600230488993
Mrps15,0.05681112601272672,0.05681112601272672,0.05007755514373272
Rps13,0.02069591006517359,0.02069591006517359,0.47568488090317684
Pgd,-0.11325795186821802,0.11325795186821802,9.022170782423784e-05
Rheb,0.009159853670566959,0.009159853670566959,0.7522633921932297
Cox7c,-0.010103779097094688,0.010103779097094688,0.7277002294994347
Cnih4,-0.008198163109567336,0.008198163109567336,0.7775490606297258
Cct2,0.04667147569120275,0.04667147569120275,0.10757661200528881
Rps15a,0.0019095377753339466,0.0019095377753339466,0.9475346937325096
Jun,-0.04075768248640525,0.04075768248640525,0.1599919527285352
Smpdl3a,-0.07817914919433894,0.07817914919433894,0.006971687910655621
Tmem160,-0.04952941442965309,0.04952941442965309,0.08766641363085273
Tm6sf1,-0.07978006454958406,0.07978006454958406,0.005893998882446437
Dstn,-0.060308420711250726,0.060308420711250726,0.0375136861772439
Tmsb10,-0.07428199645716341,0.07428199645716341,0.010367982266414366
Trmt112,0.017024334032819947,0.017024334032819947,0.557403079054681
Srp9,-0.008007014232990207,0.008007014232990207,0.7826040422571892
Chchd2,-0.06327437054377637,0.06327437054377637,0.029063072583481543
Rps3,0.01570655003586984,0.01570655003586984,0.5883125083158723
