,Pearson Correlation,Absolute Correlation,P-values
Crip1,-0.003239171772147402,0.003239171772147402,0.92351446222573
Hnrnpa2b1,0.020622637744617055,0.020622637744617055,0.5409945404628059
Rpl23a,0.19643066658097497,0.19643066658097497,4.115585091748192e-09
Pabpc1,0.03621616570628122,0.03621616570628122,0.28292065987277043
Ly6e,-0.029565464041389218,0.029565464041389218,0.38075976013721535
H2afz,0.05822851292158893,0.05822851292158893,0.08410842670187448
Snrpd2,-0.0013338625279526344,0.0013338625279526344,0.968463817400774
Hnrnpf,-0.046752268779735776,0.046752268779735776,0.16560276381331845
H2afj,0.04964758941378132,0.04964758941378132,0.1409026473912265
Fth1,0.20929007213157008,0.20929007213157008,3.5449730046791274e-10
Ltb,0.11943066204191889,0.11943066204191889,0.00038146134979746095
S100a9,0.33634907830641153,0.33634907830641153,9.628369795539292e-25
S100a10,0.03583449499189921,0.03583449499189921,0.28802787740698643
Rpl4,0.11466403902252531,0.11466403902252531,0.00065001599043379
Itm2b,0.11441681416094145,0.11441681416094145,0.0006678777699222158
Gapdh,0.031475206032355464,0.031475206032355464,0.35074734417829273
Rpsa,0.1870099955754335,0.1870099955754335,2.2409314082654762e-08
Gnai2,0.04405161900112424,0.04405161900112424,0.19144979210505322
Ppp1ca,-0.014702554928033849,0.014702554928033849,0.6629818606560424
Prr13,0.040601151741260104,0.040601151741260104,0.2286304009519899
Ets1,-0.044412703769825465,0.044412703769825465,0.18783180096332205
Ccnd3,0.008380516451728172,0.008380516451728172,0.8038259354043212
Gpx1,0.07195932198526842,0.07195932198526842,0.0327114101720091
Atp5h,0.10513753270603769,0.10513753270603769,0.0017787240464134783
Gabarapl2,0.04021720656980405,0.04021720656980405,0.23306506041516434
Arpc4,-0.09038634194244921,0.09038634194244921,0.007263777651966018
Arl6ip1,0.022224568055262864,0.022224568055262864,0.5100200174607786
Hspe1,-0.03215136964988655,0.03215136964988655,0.3404902409938327
Rpl27a,0.19095544310544563,0.19095544310544563,1.1134858201838018e-08
Ndufa6,0.020986400873485665,0.020986400873485665,0.5338793988484146
Sumo2,0.016320470558675013,0.016320470558675013,0.6285541785833513
Ddx5,0.053456382824973364,0.053456382824973364,0.11284042957899588
Pdia3,-0.034658015230729255,0.034658015230729255,0.30415917507259915
Ndufa2,-0.02263677015797567,0.02263677015797567,0.5022023086906062
Rpl38,0.17909222162973273,0.17909222162973273,8.721449687037527e-08
Atp5e,-0.005329344391775484,0.005329344391775484,0.8744881282618814
AW112010,0.15679428180876187,0.15679428180876187,2.9215845256431726e-06
Cd82,0.03965332917715946,0.03965332917715946,0.2396878295880536
H2afv,0.021310910810084193,0.021310910810084193,0.5275721135650209
Swi5,-0.01863928071348681,0.01863928071348681,0.5806010290390854
Hsp90ab1,0.08671592222764082,0.08671592222764082,0.010022012945189252
H3f3a,0.07568822968902593,0.07568822968902593,0.02466657950433082
Uba52,0.20485962559061638,0.20485962559061638,8.402027388064913e-10
Sec11a,-0.032001584515658404,0.032001584515658404,0.34274571029697776
Rpl36al,0.052371374457361765,0.052371374457361765,0.12034489692053593
Rpl36,0.18947186455598986,0.18947186455598986,1.4509659181567797e-08
