,Pearson Correlation,Absolute Correlation,P-values
Eef1d,0.062046707294495754,0.062046707294495754,0.00044398962352759283
H2afz,0.1503605387507689,0.1503605387507689,1.2061238111436425e-17
Rps27a,0.0941475715895535,0.0941475715895535,9.48107856724922e-08
Fech,0.02299869859359024,0.02299869859359024,0.19330297011363942
Cdkn2c,0.03100684652646744,0.03100684652646744,0.07942661747016465
Rpl22,0.04163180157190115,0.04163180157190115,0.018496825455151807
Klf1,0.09828731935761013,0.09828731935761013,2.51595911657415e-08
Rac1,0.02134165160215219,0.02134165160215219,0.22738569518992607
Smap1,0.04815027013013121,0.04815027013013121,0.006435359222177483
Psmb1,-0.003275574641443874,0.003275574641443874,0.8530317393682091
Alad,0.045685335000170996,0.045685335000170996,0.009735166716671685
Calr,0.03573112825411643,0.03573112825411643,0.043235320871748424
Cdk1,0.15899336786386098,0.15899336786386098,1.4357918023707544e-19
Vamp8,-0.021962749670278506,0.021962749670278506,0.21414088696332056
Rps26,-0.01252166304144678,0.01252166304144678,0.4788248170128279
Ccnb2,-0.039832698711891115,0.039832698711891115,0.02421857800295634
Rps19,0.08196772497746144,0.08196772497746144,3.4251776340051773e-06
Hist1h2ae,0.17204530036760113,0.17204530036760113,1.0901810424259893e-22
Rps2,0.05996463019527697,0.05996463019527697,0.0006878637466431508
AI662270,-0.09540762743558528,0.09540762743558528,6.36806483400786e-08
Psap,-0.05179610540373553,0.05179610540373553,0.0033753462906045426
Arpc3,-0.019056752192714913,0.019056752192714913,0.2810971822648112
Rps15,0.07047217457883839,0.07047217457883839,6.592422994691352e-05
Uba52,0.135415010804569,0.135415010804569,1.4272008933133966e-14
Tspan33,0.02509333498124713,0.02509333498124713,0.1557870517171252
Klf3,0.06013050087059462,0.06013050087059462,0.0006646085018681536
Rpl36a,0.04823890389823235,0.04823890389823235,0.006338159951604203
Sec61g,-0.023672161626079703,0.023672161626079703,0.1805793270799306
Ywhah,0.060517746347797066,0.060517746347797066,0.0006131307886677733
Cdkn3,-0.03443079539829781,0.03443079539829781,0.05143640078167634
Mgll,-0.06208890698164174,0.06208890698164174,0.000440007286588966
Snca,0.022247513978242137,0.022247513978242137,0.20825790949950074
1190002H23Rik,0.0027184554171570327,0.0027184554171570327,0.8778121425034803
Slc16a10,-0.08039402647304286,0.08039402647304286,5.261545317471907e-06
Ddx5,-0.052877881508049944,0.052877881508049944,0.0027659643317985787
Rpl7a,0.06935666881580803,0.06935666881580803,8.593493596923196e-05
Taf9,0.05851586234729076,0.05851586234729076,0.0009255892079902974
Luc7l2,0.07457424358879258,0.07457424358879258,2.405916775086758e-05
Apeh,-0.04816126640743722,0.04816126640743722,0.006423227871717247
Cox7a2l,0.05137829399812638,0.05137829399812638,0.0036417389915374757
Rps14,0.07676290921415506,0.07676290921415506,1.375324035057296e-05
Hist1h1e,0.11602316268706064,0.11602316268706064,4.5805474436112094e-11
Fau,0.10719652932845256,0.10719652932845256,1.2014054869096452e-09
Lmo2,-0.04356968034512333,0.04356968034512333,0.013691147529128903
Pdzk1ip1,0.10881614980630452,0.10881614980630452,6.723379654764028e-10
Arf5,0.07632207627081627,0.07632207627081627,1.5411549670007314e-05
Epb4.2,-0.06201367821368785,0.06201367821368785,0.0004471299720836628
Tuba1c,0.025668159703787413,0.025668159703787413,0.1465268434363258
Shfm1,-0.008719240547993497,0.008719240547993497,0.6219218014592912
Tpx2,-0.04235486081269856,0.04235486081269856,0.016554006271716416
Ift140,-0.14063661236308103,0.14063661236308103,1.3116079067415659e-15
Rbm8a,-0.049141232414777795,0.049141232414777795,0.0054212374309457675
Isg20,0.04599761685959484,0.04599761685959484,0.009246969125700472
1810027O10Rik,-0.02685303769693053,0.02685303769693053,0.12877381426937817
Calm3,-0.030500897783219787,0.030500897783219787,0.08445751650218096
Snx3,-0.027500839432651983,0.027500839432651983,0.11980039390003339
Gnas,-0.016695477532049675,0.016695477532049675,0.34502491467837576
Rpl15,0.1061529439763743,0.1061529439763743,1.7385030176927825e-09
Gnb2,-0.01967034291679133,0.01967034291679133,0.2658933891302576
Slc48a1,-0.10788665596370436,0.10788665596370436,9.391156872504196e-10
Ggnbp2,0.05898917558638104,0.05898917558638104,0.0008406322273464612
Mrps36,-0.08447565061155844,0.08447565061155844,1.700525393173403e-06
Tacc3,5.4722865525450806e-05,5.4722865525450806e-05,0.9975306572248163
H3f3a,0.10000641791913327,0.10000641791913327,1.427056034001713e-08
Nusap1,0.11077382894500137,0.11077382894500137,3.295604682698646e-10
Ppm1g,0.0020535771854058617,0.0020535771854058617,0.9075409844514449
Lsm14a,-0.03814031875244952,0.03814031875244952,0.030941703840661507
Rhd,0.04788788851407296,0.04788788851407296,0.0067310036512187406
Dnajb1,0.04880295584741114,0.04880295584741114,0.005749942385570738
Uqcrb,0.03674867901150832,0.03674867901150832,0.03761421141980223
Raly,0.08557503269762255,0.08557503269762255,1.2432571570178465e-06
Tyrobp,0.11928810273350836,0.11928810273350836,1.2828535561184242e-11
Vcp,-0.10066937236794614,0.10066937236794614,1.1438556918551873e-08
Ndufb11,-0.054381643511653394,0.054381643511653394,0.002085020438749131
Hbq1b,-0.07224977467241303,0.07224977467241303,4.286767525498862e-05
Chchd2,-0.02281122518041556,0.02281122518041556,0.19695929839849932
Eif1,0.10038970675254093,0.10038970675254093,1.2559513383543005e-08
Yeats4,-0.029757243786956013,0.029757243786956013,0.09231662623376753
Anp32e,0.025953155047997733,0.025953155047997733,0.1420946374561674
Ermap,-0.047158603374398075,0.047158603374398075,0.0076178796019980574
Tmbim6,-0.15216509565810885,0.15216509565810885,4.877916557810661e-18
Atp5e,0.01098769254468913,0.01098769254468913,0.5343161995375385
Cdca3,0.03748831238363707,0.03748831238363707,0.033929578194108974
Kcnn4,-0.05337062944378583,0.05337062944378583,0.0025232117161796
Srsf3,0.06678600047471343,0.06678600047471343,0.00015599693263739414
Reep5,0.05553755909526022,0.05553755909526022,0.0016701544536805513
Spna1,0.00504953259731992,0.00504953259731992,0.7752001561420906
Bpgm,-0.08771777577567763,0.08771777577567763,6.678505314822698e-07
Gng5,0.02586217333382178,0.02586217333382178,0.14349824686291265
Rpl28,0.08594504420531134,0.08594504420531134,1.11791293155309e-06
Zfand2b,0.007262188332904305,0.007262188332904305,0.6812774697131008
Slc43a1,-0.04937218780014574,0.04937218780014574,0.005206660282547037
Retnlg,0.2344101044991396,0.2344101044991396,3.299509395286468e-41
Nap1l1,0.09143138793407349,0.09143138793407349,2.197732032647936e-07
Ube2e3,-0.0885055204236638,0.0885055204236638,5.295104347125117e-07
Psmf1,-0.1154767133674275,0.1154767133674275,5.6487277878082505e-11
1190002F15Rik,-0.014893750021775884,0.014893750021775884,0.39958257744447145
Sub1,-0.028226557237834585,0.028226557237834585,0.11033726794390965
Adipor1,-0.1230200419709002,0.1230200419709002,2.8694248320895607e-12
Arl4a,-0.006479590580667863,0.006479590580667863,0.7140226565318754
Gpcpd1,-0.16348373396982968,0.16348373396982968,1.295774932330703e-20
Fam96a,-0.03489049881482131,0.03489049881482131,0.048399600267123324
Srsf1,-0.0013808319451925001,0.0013808319451925001,0.9377537741353716
Atox1,-0.0075129011355842875,0.0075129011355842875,0.6709093952383401
H2afv,0.023729428631844005,0.023729428631844005,0.1795267695148943
Chac2,-0.08937692334396351,0.08937692334396351,4.0866630971900177e-07
Ptdss2,-0.10382399313904622,0.10382399313904622,3.915776646569853e-09
Emg1,-0.02372385491389963,0.02372385491389963,0.1796290127864403
Hnrnpk,-0.02542681914972544,0.02542681914972544,0.15036214896021793
Laptm4a,-0.1315654980777964,0.1315654980777964,7.825046372888228e-14
Mad2l1,-0.04689914930830857,0.04689914930830857,0.007957802692644678
