,Pearson Correlation,Absolute Correlation,P-values
Rpl7a,0.2417310022308219,0.2417310022308219,2.5066571588850517e-28
Rpl22,0.21722624181415862,0.21722624181415862,4.605730462923932e-23
Rpl10,0.25980015926489597,0.25980015926489597,1.3112425007314534e-32
Rps18,0.29114811210724223,0.29114811210724223,7.117483198216998e-41
Rps28,0.24298225044388158,0.24298225044388158,1.2992603181698694e-28
Creg1,0.00596212693951413,0.00596212693951413,0.7885463658140476
Ctsh,-0.01193890306074316,0.01193890306074316,0.5912187325341507
Atp6v1f,0.08397137520591684,0.08397137520591684,0.00015432991538208283
2400001E08Rik,0.07095105570934519,0.07095105570934519,0.001395197880893439
Rbm3,0.25095459389362634,0.25095459389362634,1.8060949264768518e-30
Cotl1,0.08290401980796301,0.08290401980796301,0.00018717057283214878
Rps6,0.2758862949605301,0.2758862949605301,1.0271917084398688e-36
Ywhab,0.03650918525521291,0.03650918525521291,0.10041346601933619
Eef1a1,0.18354865052538819,0.18354865052538819,8.258631082717125e-17
Rps9,0.25991727183096175,0.25991727183096175,1.2268801342107463e-32
Psmc3,0.025296871957208537,0.025296871957208537,0.2550705097927254
Lamp2,0.05606446738594765,0.05606446738594765,0.011604386145061764
Rps15a,0.2145945469150127,0.2145945469150127,1.5572994083695136e-22
Ywhaq,-0.0502925711733552,0.0502925711733552,0.023588883326167088
Cdc37,-0.026906899188895595,0.026906899188895595,0.22605598550146616
Rpl36a,0.23761878104298997,0.23761878104298997,2.1163058654093254e-27
Ptpn18,0.06517426484905066,0.06517426484905066,0.0033368086556246276
Lyn,-0.06444945288400968,0.06444945288400968,0.0037058907990685725
Slpi,0.18244799424520555,0.18244799424520555,1.266577556426976e-16
Celf2,0.06540082228610901,0.06540082228610901,0.003228501469594841
Rps23,0.25942356232842373,0.25942356232842373,1.6235103578217305e-32
Cst3,0.13501662775842257,0.13501662775842257,1.0510742600917225e-09
Fxyd5,0.14535423571051906,0.14535423571051906,4.91605077084296e-11
Pgp,0.08593290593484296,0.08593290593484296,0.00010763028643184649
Atox1,0.1999660628086944,0.1999660628086944,1.01747694041373e-19
Ndufb6,0.12554673045644413,0.12554673045644413,1.4283329931545703e-08
Atp6v1g1,0.1682934975099196,0.1682934975099196,2.4432535652016296e-14
F13a1,0.06491174089801781,0.06491174089801781,0.0034664388121773016
Lyz1,-0.07219471348144046,0.07219471348144046,0.0011467568220852908
Hprt,0.03527342486931156,0.03527342486931156,0.1124650791015104
Rpl38,0.2312261619335399,0.2312261619335399,5.383894121854101e-26
Rps15,0.22359273783050843,0.22359273783050843,2.2622404770365477e-24
Hint1,0.2425629024968748,0.2425629024968748,1.6200476274744575e-28
Fis1,0.08839042953314259,0.08839042953314259,6.779469868307238e-05
Phb2,0.0998050949715929,0.0998050949715929,6.769594784220162e-06
Rab5c,-0.015173884557770943,0.015173884557770943,0.4948525757854806
Rhoa,0.0708078598960101,0.0708078598960101,0.001426785578847287
Bri3,-0.04225994581768155,0.04225994581768155,0.057191717852175035
Rps24,0.19440882969770698,0.19440882969770698,1.0511979766463885e-18
0610010K14Rik,-0.07119683274533446,0.07119683274533446,0.0013424798341733141
Bloc1s1,0.07475447595283673,0.07475447595283673,0.0007587567160600228
Ccdc12,0.08726138989317031,0.08726138989317031,8.39580292516208e-05
Polr2e,0.012995373089805536,0.012995373089805536,0.5588168070420407
Rpl11,0.2750174421664315,0.2750174421664315,1.7403945958328778e-36
Eif4a3,-0.020534288624419667,0.020534288624419667,0.3555914455912772
Hpcal1,-0.022412300198383396,0.022412300198383396,0.3133073140055349
Nans,-0.009985967189461901,0.009985967189461901,0.6532778183061889
Ociad1,-0.06394260183980427,0.06394260183980427,0.0039856156513787275
Bbip1,-0.0031229560779545535,0.0031229560779545535,0.8882797190766814
Calm3,0.031630227662965575,0.031630227662965575,0.1546813497639708
Lmo4,0.02706062680279373,0.02706062680279373,0.22341400810678352
Cct5,0.05515129553810298,0.05515129553810298,0.013036205416395516
Rpsa,0.24996021926412987,0.24996021926412987,3.1046081908043514e-30
Rpl35a,0.2161564414572726,0.2161564414572726,7.571965305782337e-23
Tifab,-0.17194900867240126,0.17194900867240126,6.546315670936713e-15
Slbp,-0.0495359670235936,0.0495359670235936,0.0257699152148787
Cdc42ep3,-0.059206522936411946,0.059206522936411946,0.007684075246823336
1110001J03Rik,0.04219333696141122,0.04219333696141122,0.05758519651372645
Tpi1,0.11966922661279034,0.11966922661279034,6.570206801569115e-08
Aurkaip1,0.11611959497555673,0.11611959497555673,1.5954899498334956e-07
Pdia3,0.04565690250817743,0.04565690250817743,0.03989145433052564
Fth1,0.2788743288651018,0.2788743288651018,1.6510439322857085e-37
Cnih,-0.08465851824349624,0.08465851824349624,0.00013614296404532904
Gpsm3,0.026925473628433918,0.026925473628433918,0.2257355851727275
Hnrnpk,0.016760979066717793,0.016760979066717793,0.4508386348482636
Alox5ap,0.15591551308285365,0.15591551308285365,1.703853973037671e-12
Ppp4c,-0.06576256124917583,0.06576256124917583,0.0030621899857986522
Arpc3,0.18363036217632941,0.18363036217632941,7.999700077908954e-17
Atp5d,0.1988853312152899,0.1988853312152899,1.6110877503905056e-19
Mrpl17,-0.0005598111243562018,0.0005598111243562018,0.9799096578965338
Ube2d3,0.08100862242013644,0.08100862242013644,0.0002622018542074385
Mrps16,0.011650412569583218,0.011650412569583218,0.600214448494414
Acin1,0.03211367810961489,0.03211367810961489,0.14847112200797197
Serinc3,-0.19088380502914704,0.19088380502914704,4.46029752187047e-18
Tipin,-0.028580551719868813,0.028580551719868813,0.1984740935174592
D8Ertd738e,0.19806725982974596,0.19806725982974596,2.277419151922653e-19
Cfp,-0.11563856434004768,0.11563856434004768,1.7957578002533578e-07
Fcgr3,0.005600929149873348,0.005600929149873348,0.8010793825385074
Ndufb2,0.035453756628093316,0.035453756628093316,0.11063855162748071
