,Pearson Correlation,Absolute Correlation,P-values
Mag,0.24368907037912502,0.24368907037912502,2.5802256047514542e-21
Sirt2,0.20103516603436827,0.20103516603436827,7.20586035683983e-15
Cd81,0.440504390334791,0.440504390334791,8.050185669670746e-71
Degs1,-0.17330603467646966,0.17330603467646966,2.236552367287537e-11
Mrfap1,0.2509119789612693,0.2509119789612693,1.5354630960166163e-22
Bnip3l,0.19833466822855894,0.19833466822855894,1.665125395414669e-14
Slc25a4,0.22035047136422034,0.22035047136422034,1.2694991227809382e-17
Brp44l,0.3057094248262455,0.3057094248262455,3.572941349660116e-33
Hspa8,0.037124032223768935,0.037124032223768935,0.15484156537107288
Cd82,0.0918742215209891,0.0918742215209891,0.000420335077921665
Ckb,0.30361979947220924,0.30361979947220924,1.0078013167071647e-32
Etv1,0.1051281641505267,0.1051281641505267,5.3807655209596155e-05
Gprc5b,-0.23753424917860144,0.23753424917860144,2.658909738401596e-20
Ctbp1,-0.18096465429063713,0.18096465429063713,2.7454152308079884e-12
Gstm5,0.17094972044943896,0.17094972044943896,4.185554360677071e-11
Enpp5,-0.24803112587939002,0.24803112587939002,4.783629699255949e-22
Tmsb4x,0.4069945056267539,0.4069945056267539,9.531474217600641e-60
Sdf4,-0.005215231972450086,0.005215231972450086,0.8416477352560918
Snx3,0.08236624855676104,0.08236624855676104,0.0015741491232109251
0610010O12Rik,0.3324319995179156,0.3324319995179156,2.9082291566435164e-39
Qk,0.013867947810000733,0.013867947810000733,0.5952258792012232
Gsn,-0.49523066913235936,0.49523066913235936,8.488672191429793e-92
0610007C21Rik,0.08931235905709019,0.08931235905709019,0.0006075362067039394
Gapdh,0.30789157307895265,0.30789157307895265,1.1989566449445287e-33
Map1lc3b,0.15666892244830463,0.15666892244830463,1.5507669739676634e-09
Mif,0.13681117226398715,0.13681117226398715,1.3962973602606364e-07
Hnrnpa2b1,-0.09868689915928526,0.09868689915928526,0.00015080005974822157
Cd63,0.27938387838007334,0.27938387838007334,9.167223233926389e-28
Ubc,-0.05876745616987892,0.05876745616987892,0.024245969045848824
Hmgb1,0.23752219736313704,0.23752219736313704,2.6709103853926228e-20
Mapk8ip1,-0.4445515086008121,0.4445515086008121,3.0337393089203556e-72
Atp6v0b,0.13483987470202272,0.13483987470202272,2.1124967686015005e-07
Ndufa10,0.014687657556108746,0.014687657556108746,0.5736496704369706
2310044H10Rik,0.08456096180548023,0.08456096180548023,0.001173797306786437
Vamp3,-0.17446252879307408,0.17446252879307408,1.6390916784164064e-11
Rplp0,0.24429475500529438,0.24429475500529438,2.0437195597275466e-21
Itm2c,0.05195677215870338,0.05195677215870338,0.04640360677326457
Mtap1a,-0.03208242187651028,0.03208242187651028,0.2189485916550397
Grb14,-0.14988569513956201,0.14988569513956201,7.719815268831116e-09
Uqcrfs1,-0.0011991859078873148,0.0011991859078873148,0.963359358232059
Akr1a1,0.14057499901465112,0.14057499901465112,6.231198023505994e-08
