,Pearson Correlation,Absolute Correlation,P-values
Ybx1,0.010653732048211774,0.010653732048211774,0.5941294502193144
Ndufb7,-0.026591226652398766,0.026591226652398766,0.18345391456810026
Akr1c21,0.11208463245797054,0.11208463245797054,1.8697418330478758e-08
Rpl37a,0.2511209836836148,0.2511209836836148,2.574859587096225e-37
Mdh1,-0.012945259880771554,0.012945259880771554,0.5173185660546734
Rnasek,-0.012313064209307946,0.012313064209307946,0.537986111806802
Bri3,0.029327372547439376,0.029327372547439376,0.142342314826126
Nedd8,-0.023265932738504944,0.023265932738504944,0.24450381232275717
Cox7a2,0.05845178317143052,0.05845178317143052,0.003433866595678978
Tmed2,0.009927173070989967,0.009927173070989967,0.6195277372575047
Rpl18,0.22320253989163868,0.22320253989163868,1.2199067854541344e-29
Tmem176b,-0.02917042748453041,0.02917042748453041,0.14449097542414568
Nop10,0.03951947526296117,0.03951947526296117,0.04800333422361252
Timm23,0.050966949512134097,0.050966949512134097,0.01074853276903154
Uqcr11,0.054099657938345806,0.054099657938345806,0.006773545370765389
Thoc7,-0.10509071172072658,0.10509071172072658,1.358956226787654e-07
H2afj,-0.005615469438089748,0.005615469438089748,0.778817851888277
Scand1,0.03172234690151842,0.03172234690151842,0.11251434194773519
Rpl39,0.2530397033862944,0.2530397033862944,7.018838888798397e-38
Atp6v1f,0.006638390103968368,0.006638390103968368,0.7398720974943112
1810046J19Rik,-0.004305283131451663,0.004305283131451663,0.8295102550697485
Ctsb,-0.012601781359371907,0.012601781359371907,0.5284962961796013
Uqcrc2,-0.07579125972699736,0.07579125972699736,0.00014695428690454914
Rpl13a,0.24374480307959173,0.24374480307959173,3.436192524167416e-35
Oaz1,0.08619282051181312,0.08619282051181312,1.5675687302178876e-05
Gyk,-0.1524119320685187,0.1524119320685187,1.7508242231172757e-14
Stard10,-0.08196829683473265,0.08196829683473265,4.0160247434799905e-05
Gstm5,0.1507154653166456,0.1507154653166456,3.419065740350893e-14
Rpl31,0.19762402053962097,0.19762402053962097,1.813281667034369e-23
Cox5a,0.0807348186183406,0.0807348186183406,5.242252933290343e-05
Glrx5,0.03455713538118211,0.03455713538118211,0.0838285297136971
S100a1,0.03402953474963702,0.03402953474963702,0.08866539158997479
Rn45s,-0.09921017420299716,0.09921017420299716,6.549314789521192e-07
Cd63,0.11456406434587879,0.11456406434587879,8.984814843490476e-09
Rps11,0.21363025721766257,0.21363025721766257,3.095543497058307e-27
Sdhb,0.032450800157399026,0.032450800157399026,0.10449233466601253
Cldn10,0.010127633398865007,0.010127633398865007,0.6124730152453913
Khk,0.0928432599132685,0.0928432599132685,3.2617422099666985e-06
Gng5,0.10157363376533882,0.10157363376533882,3.5173075038569863e-07
Tmem93,0.024225445781993378,0.024225445781993378,0.22558379486094263
Serbp1,0.050178743912309656,0.050178743912309656,0.012029703805739561
Aurkaip1,0.042000813730453175,0.042000813730453175,0.03558850748685804
Sqstm1,-0.1074933509556821,0.1074933509556821,6.971317490579012e-08
Hnrnpa2b1,-0.015321654825094047,0.015321654825094047,0.44346360167118337
Sod1,-0.07167881908717627,0.07167881908717627,0.00033114276936960734
Eif3k,0.07759636021123795,0.07759636021123795,0.00010155631349204331
Mrpl51,0.030098029158732116,0.030098029158732116,0.132145751104378
D8Ertd738e,0.010834838075845286,0.010834838075845286,0.5878734026711193
Sf3b5,0.01347805935133954,0.01347805935133954,0.5002250235596115
Ufm1,0.007276748447337469,0.007276748447337469,0.7158943169067462
Vdac1,0.03125921530207065,0.03125921530207065,0.11786178747779466
Bsg,-0.014681725192953457,0.014681725192953457,0.4627378669413537
Psmd4,-0.0306150442931948,0.0306150442931948,0.1256284877513449
Atp5e,0.06171369148482283,0.06171369148482283,0.0020045642009389906
Stra13,-0.0007712182462049268,0.0007712182462049268,0.9692312397741959
Rps21,0.31554930607545656,0.31554930607545656,5.22640468394001e-59
