,Pearson Correlation,Absolute Correlation,P-values
Rpl35,0.14489074961304516,0.14489074961304516,0.00029843450351440154
Rplp1,0.18046515426319812,0.18046515426319812,6.242905794432714e-06
Cfl1,-0.07042379241185621,0.07042379241185621,0.0799879082509748
Crip2,-0.03990849825061704,0.03990849825061704,0.3215391647461661
Rps2,0.03425002728192755,0.03425002728192755,0.39495937531330494
Rpl7,0.06114501783067445,0.06114501783067445,0.12860712298757862
Hspb1,-0.12047153209144862,0.12047153209144862,0.002680541337666747
Cox7a2l,0.06857148204738996,0.06857148204738996,0.08826959752828879
Eef1g,0.06834106969211562,0.06834106969211562,0.08934634323005565
Ppia,-0.0911165087148277,0.0911165087148277,0.02338486247355354
Rtn4,-0.0024059488446256405,0.0024059488446256405,0.9523639828392738
Psmb8,0.09089199517401929,0.09089199517401929,0.023729650542462406
Prdx1,-0.07083472476651784,0.07083472476651784,0.07823877543187222
Ubb,-0.4204954728359962,0.4204954728359962,6.46220579061198e-28
Rpl9,0.10074650076145975,0.10074650076145975,0.012146450442742394
Rpl13,0.13968618889964143,0.13968618889964143,0.0004913475515779108
Pfdn5,0.04622787174239801,0.04622787174239801,0.25079301042240487
Tbca,-0.08004399008671517,0.08004399008671517,0.04652037400338502
Rpl36a,0.03551086424262072,0.03551086424262072,0.3777809004744918
Tapbp,-0.12184322952509859,0.12184322952509859,0.0023924849640864308
Fxyd5,0.19472089585446034,0.19472089585446034,1.0522369559876664e-06
Ube2s,-0.027186710097762478,0.027186710097762478,0.4995772300591728
Fkbp1a,-0.03351833759229876,0.03351833759229876,0.40514095249716037
Srsf5,0.002500520286441427,0.002500520286441427,0.9504938913367756
Tnfrsf1a,-0.008498592700451363,0.008498592700451363,0.8328724793059658
Pecam1,-0.05861847831951172,0.05861847831951172,0.1451948651467601
Rps12,0.15183704888093558,0.15183704888093558,0.00014941856593332596
Klf13,-0.08683326514291136,0.08683326514291136,0.030764841124780402
Ctsb,-0.12249706815356981,0.12249706815356981,0.002265382992247793
Rpl32,0.04782745023748592,0.04782745023748592,0.23475147554381268
Rhoa,0.023226675324631896,0.023226675324631896,0.5640862311291798
Minos1,-0.014071344426555402,0.014071344426555402,0.7267885458160573
Hnrnpf,-0.12206451602221526,0.12206451602221526,0.002348757048978442
Ndufc2,-0.10255234969087816,0.10255234969087816,0.010678422909869097
Srsf2,-0.05829207030916886,0.05829207030916886,0.14745201122281446
Uba52,0.08647247031847669,0.08647247031847669,0.031468938175533756
Atp5h,0.012714861784881156,0.012714861784881156,0.7522185115601407
Rpl29,0.03267508764966661,0.03267508764966661,0.4170669698394014
1500032L24Rik,0.06549536905721862,0.06549536905721862,0.10353327576994029
Hnrnpu,-0.04553300779262888,0.04553300779262888,0.2579940696116661
Ctnnb1,-0.12800788349831171,0.12800788349831171,0.0014153582508663748
Bsg,-0.030447209068679947,0.030447209068679947,0.44955211845427767
Psap,-0.08140099732976556,0.08140099732976556,0.042918698176862356
Gnas,-0.10680105546562306,0.10680105546562306,0.007827565532157674
Ets1,0.046193980127658935,0.046193980127658935,0.25114095830847216
Rps11,0.03927702828980308,0.03927702828980308,0.3292615361995982
Gapdh,0.03339125276048963,0.03339125276048963,0.40692517631268393
Eif4a1,-0.229697780570559,0.229697780570559,7.437685923016371e-09
Psmb6,-0.05342635563613384,0.05342635563613384,0.18434540744633293
1810027O10Rik,0.0013010432584595495,0.0013010432584595495,0.9742294870073058
S100a13,-0.016242019642031723,0.016242019642031723,0.6867227121839911
Slc25a3,-0.09648540720558703,0.09648540720558703,0.016337760418765064
Rdx,0.14858993639922674,0.14858993639922674,0.00020724546895759286
Atp5d,0.023614054469327864,0.023614054469327864,0.5576033185431767
Fermt2,-0.062385977905118406,0.062385977905118406,0.12101715064800923
Sepw1,-0.06109379784250259,0.06109379784250259,0.128928150095331
