,Pearson Correlation,Absolute Correlation,P-values
Rac2,-0.033712733020358494,0.033712733020358494,0.2839685734616913
Pabpc1,-0.05153230783737332,0.05153230783737332,0.1013370911330128
Ubl5,0.097062289485454,0.097062289485454,0.0019933201542238206
Arf1,-0.045910390534982394,0.045910390534982394,0.1444375750389579
Rpl12,-0.05781595168868613,0.05781595168868613,0.06598832764588573
Rpl36,-0.026126224164832634,0.026126224164832634,0.40640275685617083
Arpc4,-0.076570604838278,0.076570604838278,0.014833151828800744
Clta,0.07848738870110046,0.07848738870110046,0.012503556230676935
Capzb,-0.031165099161663296,0.031165099161663296,0.32196017772755
Tyrobp,0.03805081780859704,0.03805081780859704,0.2265043676352643
Lyz1,0.20304493748699964,0.20304493748699964,7.063761893750021e-11
Rps29,-0.0020321337795070026,0.0020321337795070026,0.9485193136114803
Atp5h,0.11826250980672517,0.11826250980672517,0.0001627570754129052
H2-Eb1,-0.14138795532939044,0.14138795532939044,6.332678733796048e-06
Rpl9,-0.0465897370868136,0.0465897370868136,0.13858449912910553
Rplp1,-0.02532574440007236,0.02532574440007236,0.42093820037039226
Eef2,-0.04771679145675528,0.04771679145675528,0.12927876057238902
Rpl15,-0.05749291388118935,0.05749291388118935,0.06751751253952243
Actb,0.03393884314933607,0.03393884314933607,0.28074953632770616
Cdc42,-0.12766064816914227,0.12766064816914227,4.6453403177211185e-05
Raly,-0.02819215427881907,0.02819215427881907,0.37029708954609347
Sepw1,-0.0680274027786858,0.0680274027786858,0.030470742153161458
Fau,-0.006558388550181194,0.006558388550181194,0.8349326579222217
Psma4,-0.03135470371305801,0.03135470371305801,0.31902355852971187
Srrm2,0.024852857607376797,0.024852857607376797,0.4296663808672176
Eif2s2,0.04197452361736348,0.04197452361736348,0.18212878175138728
Rpl18,-0.07005995114617913,0.07005995114617913,0.025832005055782502
Ost4,-0.034633401734124776,0.034633401734124776,0.27101656589018486
Hint1,0.07297590535933969,0.07297590535933969,0.020247331973322607
Arpc1b,0.04387402655900611,0.04387402655900611,0.1631169211285048
Cox7c,0.041548048745149356,0.041548048745149356,0.1866143805530087
Ubb,-0.22198958498593263,0.22198958498593263,9.16522804243675e-13
Sh3glb1,0.0328811668956073,0.0328811668956073,0.2960212250876735
Eif3h,-0.03022568999581671,0.03022568999581671,0.33676882920702034
Rnh1,-0.014573479622906138,0.014573479622906138,0.6433196467149559
Higd2a,0.0024564743012244544,0.0024564743012244544,0.937789257671844
Serp1,0.06163151421778527,0.06163151421778527,0.049988904662231125
1110002B05Rik,-0.07527124713633379,0.07527124713633379,0.016622004555479457
H47,0.014350882335191087,0.014350882335191087,0.6483980468392582
Flna,0.068388389828191,0.068388389828191,0.029598177054943407
Uqcrq,0.10297657489483422,0.10297657489483422,0.0010360068657684794
Rps13,-0.02907196171682143,0.02907196171682143,0.35554462693198696
Clec12a,0.12765419092845345,0.12765419092845345,4.6494862664351085e-05
Fam105a,0.037261314363373196,0.037261314363373196,0.2362938182541921
Chmp2a,0.0713427595381686,0.0713427595381686,0.02322944936298734
Ndufc2,0.025427192815178953,0.025427192815178953,0.41907937279531776
Son,-0.02118200677238532,0.02118200677238532,0.5008940973562375
Rap1b,0.07331316043322283,0.07331316043322283,0.019674854272592805
Neat1,0.1005463992385138,0.1005463992385138,0.0013612541461505336
Lman2,-0.012338494763726787,0.012338494763726787,0.6950276448907291
Map1lc3b,0.07278862736175547,0.07278862736175547,0.02057145374324261
Celf2,-0.027392604801100888,0.027392604801100888,0.3840280451455983
Pcbp2,0.037198812806858765,0.037198812806858765,0.23708137681625432
H3f3b,-0.007852166429688405,0.007852166429688405,0.802983447500383
Rpl36al,0.035072349790392046,0.035072349790392046,0.2649859506473288
Cox7a2l,0.04719390292878873,0.04719390292878873,0.13353398963007265
Pdcd10,0.008521696950725837,0.008521696950725837,0.7865743537059489
Cnbp,-0.14582329663236027,0.14582329663236027,3.1912518202319676e-06
Lyz2,0.2452615255993979,0.2452615255993979,2.4968534136427188e-15
Cd53,-0.0762488341850713,0.0762488341850713,0.015259592995616843
Hspa5,-0.04195666881087486,0.04195666881087486,0.18231495991851082
Hnrnpc,-0.05478488810776794,0.05478488810776794,0.08151397305240142
Phb2,0.011790664315107873,0.011790664315107873,0.7079330875167127
Atp6v0e,3.667040419658723e-05,3.667040419658723e-05,0.9990703727436248
Atp5g3,-0.007762804305843575,0.007762804305843575,0.8051803141125018
Atp5d,-0.01506738889480786,0.01506738889480786,0.6321109594134862
Rpl35a,-0.0027246479354970502,0.0027246479354970502,0.9310137930085446
Dnaja1,-0.013911397429594054,0.013911397429594054,0.658472493390648
Cox6a1,-0.058366299301615666,0.058366299301615666,0.06344880653356036
Dad1,-0.04052165370744712,0.04052165370744712,0.1977429680217814
