,Pearson Correlation,Absolute Correlation,P-values
Timp3,0.015823319819908793,0.015823319819908793,0.47170864377726307
Timm13,0.03381835531797411,0.03381835531797411,0.12392035957318571
Dnaja1,-0.0153133131765444,0.0153133131765444,0.4861144757165995
Prdx2,0.04949112888582421,0.04949112888582421,0.024304921094518286
Rps12,0.16180995517758726,0.16180995517758726,1.2811312146707438e-13
Rps16,0.14246571577765132,0.14246571577765132,7.381420799071778e-11
Atp5b,-0.133812096719042,0.133812096719042,9.753774907108106e-10
Eif4g2,0.011853404249384768,0.011853404249384768,0.5898034756236383
Serbp1,0.05030246691355404,0.05030246691355404,0.022065180147619667
Hspd1,-0.05138999715713473,0.05138999715713473,0.01934569176507164
Rpsa,0.17031563496617316,0.17031563496617316,6.037518677439194e-15
Rpl6,0.22682724652448621,0.22682724652448621,1.4224944625860204e-25
Sat1,-0.0026545772596863293,0.0026545772596863293,0.9039029798234345
Eif5a,-0.017514599903068237,0.017514599903068237,0.42566099975405347
Car2,-0.1694245730874028,0.1694245730874028,8.377546374417383e-15
Ndufc2,-0.016835009415455328,0.016835009415455328,0.44384091107511076
H3f3a,-0.0031397095595706737,0.0031397095595706737,0.8864507061283999
Ccdc107,0.013653107941583741,0.013653107941583741,0.5346109751379989
Psmb3,-0.0943793249404961,0.0943793249404961,1.692255290710218e-05
Ptma,-0.03051463241643189,0.03051463241643189,0.1650907363888252
Anapc13,0.012847248830861864,0.012847248830861864,0.5590004452814521
Map2k2,-0.08818739433509486,0.08818739433509486,5.852964979832074e-05
H2afj,-0.007027805893546432,0.007027805893546432,0.749245841841422
Son,0.07272937695795564,0.07272937695795564,0.0009257371567344416
Taldo1,0.025164114547448657,0.025164114547448657,0.25234818249093977
Ywhaz,-0.05343359692595355,0.05343359692595355,0.01501826482266568
Calr,-0.1897226614070087,0.1897226614070087,3.0946376303451058e-18
Naca,0.029009496072223508,0.029009496072223508,0.1869512944550823
Rpl36,-0.013370368011750245,0.013370368011750245,0.5431067231124506
Calml4,0.05506232168646839,0.05506232168646839,0.012204419313660862
Hint1,0.21202333975213244,0.21202333975213244,1.771959939387364e-22
Cox17,-0.055384246611228094,0.055384246611228094,0.01170707856564939
Ndufs3,-0.09194947663143496,0.09194947663143496,2.779567554146961e-05
Ndufa13,-0.09638714477952388,0.09638714477952388,1.112864028519656e-05
Tmed2,-0.022359516423804487,0.022359516423804487,0.30912723115237745
Bloc1s1,0.012170740570333188,0.012170740570333188,0.5798833598372471
Mdh1,-0.05544440402598422,0.05544440402598422,0.011616159987577777
Vcp,-0.1526479169290341,0.1526479169290341,2.8790079225322475e-12
Rpl12,0.1076762541416346,0.1076762541416346,9.038981692197792e-07
Mrps21,-0.0928160385429995,0.0928160385429995,2.3319412873543007e-05
Rab14,0.04345074284564034,0.04345074284564034,0.04802956037190764
Hrsp12,-0.0038198865015496865,0.0038198865015496865,0.8620760897321009
Slc27a2,-0.3208554431425939,0.3208554431425939,8.425743751579285e-51
Sepp1,0.2836444008856287,0.2836444008856287,1.2750905129091517e-39
Vdac2,-0.06338182076466911,0.06338182076466911,0.003907238482801024
Kl,-0.10451841270546187,0.10451841270546187,1.8732589924668048e-06
Tcf25,0.06063063470418769,0.06063063470418769,0.005778949439717032
Aprt,-0.03813486205324233,0.03813486205324233,0.08273481414312904
Rpl17,0.09943062441516361,0.09943062441516361,5.8036601331141234e-06
Rps11,0.02689036162536533,0.02689036162536533,0.22124834298305956
Txnl1,-0.008457674167996395,0.008457674167996395,0.7004831266266315
Rps15a,0.16169518701218738,0.16169518701218738,1.3335836761994364e-13
Psmd3,-0.13809595547405967,0.13809595547405967,2.7729474274240266e-10
Alpl,-0.0742236632839866,0.0742236632839866,0.0007237710510664453
Hsp90b1,-0.18572968272459528,0.18572968272459528,1.5767445053007058e-17
Chchd3,-0.02992139241942003,0.02992139241942003,0.17346547298502393
Tob1,0.0874035756034582,0.0874035756034582,6.810651349847954e-05
Jund,0.17145232207027455,0.17145232207027455,3.96525751410039e-15
Ywhae,0.035928065496436366,0.035928065496436366,0.10214055553944036
Rpl3,0.178285470769725,0.178285470769725,2.980079278268568e-16
2310036O22Rik,0.09165613001243342,0.09165613001243342,2.9487794442256894e-05
Rpl5,0.17966608743835608,0.17966608743835608,1.7441912945585261e-16
Rpl27a,0.04214397636041292,0.04214397636041292,0.0551627321049652
Lap3,-0.036643470880038935,0.036643470880038935,0.09548796290654701
Ndufs6,-0.05738838638130602,0.05738838638130602,0.008995615940327332
Atp5f1,-0.09887111639191683,0.09887111639191683,6.550865703962135e-06
Abca3,-0.2775131123316905,0.2775131123316905,6.206131305061859e-38
Nucks1,0.036094265241940295,0.036094265241940295,0.10056308838322994
Ctsh,-0.2047496943949505,0.2047496943949505,4.86529967868648e-21
Gm1821,-0.08053030551971473,0.08053030551971473,0.00024394026214538065
Rabac1,-0.18254941427935492,0.18254941427935492,5.620017898174691e-17
Cmpk1,0.10795124339853089,0.10795124339853089,8.474923878427767e-07
Shfm1,-0.002477536748662056,0.002477536748662056,0.9102839078068503
Atp1b1,-0.29064933397328024,0.29064933397328024,1.3342144430442296e-41
Ezr,0.06590324708994734,0.06590324708994734,0.002694549090626633
Sdhc,-0.01885766001433427,0.01885766001433427,0.3910376570993289
Mrpl50,0.06620038434347296,0.06620038434347296,0.002576995833176218
Eif3m,0.06992823486449255,0.06992823486449255,0.001451104807629851
Map1lc3a,-0.18469173766253877,0.18469173766253877,2.3933365814614258e-17
Rps24,0.1757325187232106,0.1757325187232106,7.934131783419017e-16
Cgnl1,-0.009335253958864684,0.009335253958864684,0.6711401409341413
Dbi,0.1957660394197488,0.1957660394197488,2.456230152175151e-19
Eif4a2,-0.0032806986811706376,0.0032806986811706376,0.8813886475240724
Pim3,-0.06724525039191878,0.06724525039191878,0.002199872180306717
Sypl,-0.05043484934110933,0.05043484934110933,0.021717293539442385
Csnk2b,-0.04215905324108293,0.04215905324108293,0.055075658296502475
Tm2d1,-0.027479330046463846,0.027479330046463846,0.21129333269194112
Mrpl54,-0.0663680258793803,0.0663680258793803,0.0025127600734159332
Pepd,-0.06529725342912185,0.06529725342912185,0.0029496006087770207
Pgam1,-0.13208895588927222,0.13208895588927222,1.5998718961993747e-09
Acadm,-0.09321084972757053,0.09321084972757053,2.151559090741167e-05
Psma4,-0.1193533555549178,0.1193533555549178,5.1006633729662523e-08
Rpl8,0.12741860448679468,0.12741860448679468,5.926189416483418e-09
Sec61b,0.054133184564353974,0.054133184564353974,0.013746309079537698
B2m,0.11312419532702181,0.11312419532702181,2.4491219113589436e-07
Lrpap1,-0.2429738628431181,0.2429738628431181,3.2832354505651014e-29
Rpl37,0.09954831253873303,0.09954831253873303,5.657221225067553e-06
Mrpl52,-0.00014421535571365333,0.00014421535571365333,0.9947666928567614
Actg1,0.22575979896557868,0.22575979896557868,2.4200757273549774e-25
2610001J05Rik,0.10285285808011213,0.10285285808011213,2.728447753202641e-06
Fam108c,0.03335890670050677,0.03335890670050677,0.12911249626415597
Psmb4,-0.03132107602058621,0.03132107602058621,0.15419880540540176
Snrpe,0.019792220430298376,0.019792220430298376,0.36798534980125636
Myl12a,-0.11556836912967966,0.11556836912967966,1.3361509049323489e-07
Eny2,-0.057630137449860924,0.057630137449860924,0.008709710502121666
Trmt112,0.052027605857161006,0.052027605857161006,0.017891349887104134
