,Pearson Correlation,Absolute Correlation,P-values
Rps4x,-0.15266371190887354,0.15266371190887354,2.373342270251783e-05
Rpl27a,-0.21243269404258325,0.21243269404258325,3.331713481473059e-09
Rpl13,-0.15710156964780359,0.15710156964780359,1.3557520550171924e-05
H3f3b,-0.14508789094755314,0.14508789094755314,5.9578580071745775e-05
Cd74,-0.06750377126624434,0.06750377126624434,0.06288419386105772
H2-Eb1,0.019843804244509107,0.019843804244509107,0.5849220955900211
H2-Ab1,0.007684665109841368,0.007684665109841368,0.8324924383878828
Sec61g,0.037736525514475816,0.037736525514475816,0.29881313434491685
Arpc5,-0.0603479865948115,0.0603479865948115,0.09642134152714278
Ubb,0.14336863790189983,0.14336863790189983,7.296553144377982e-05
Jund,0.061560406353756564,0.061560406353756564,0.08990129912566389
Krtcap2,0.04172924238244539,0.04172924238244539,0.25055482674796486
Gnas,-0.05428660325464537,0.05428660325464537,0.13485763200925785
Gm1821,0.12426284819862574,0.12426284819862574,0.0005961341148154239
Psma7,0.020573105837141347,0.020573105837141347,0.5711981630834235
Cdc42,0.006053335777506095,0.006053335777506095,0.867680231754343
Eif3m,0.03312296426626724,0.03312296426626724,0.36182961545913395
Rpl9,-0.21648237317178598,0.21648237317178598,1.6413338199849302e-09
Rpl8,-0.15181623450070494,0.15181623450070494,2.6365685736732547e-05
Tmsb4x,-0.1141544659865692,0.1141544659865692,0.0016207240622838426
Ftl1,-0.11404306116252275,0.11404306116252275,0.0016379959175005846
Cox8a,0.02102569970085846,0.02102569970085846,0.5627589238943445
Nme2,-0.03821214129452936,0.03821214129452936,0.2927599291301437
Slc25a5,-0.010156922573297294,0.010156922573297294,0.7798201972329435
Rpl31-ps12,-0.003425825876844239,0.003425825876844239,0.9248801230275097
Cd53,-0.037681870221777616,0.037681870221777616,0.29951404067793996
Rpl21,-0.16983602069311876,0.16983602069311876,2.494272634563972e-06
Fth1,-0.02146554240010025,0.02146554240010025,0.5546154278004436
Raly,-0.010103804386424007,0.010103804386424007,0.780942284490115
Nhp2l1,-0.02627096978937222,0.02627096978937222,0.4695733682214084
Atp5d,0.1170501525939446,0.1170501525939446,0.001226447559250636
3110003A17Rik,-0.04372414234582852,0.04372414234582852,0.22859607417257763
H2-DMa,0.03245281603572502,0.03245281603572502,0.37162954920480057
Cd37,-0.0527115702042824,0.0527115702042824,0.14656411994200916
2310036O22Rik,-0.07857432050760453,0.07857432050760453,0.030316645721375695
Cd81,0.09980211962374012,0.09980211962374012,0.005892508711502594
Srp9,0.04251639617015619,0.04251639617015619,0.24172087586792745
2310003F16Rik,-0.04745267798915292,0.04745267798915292,0.19129321337241514
Gltscr2,-0.05375045615089197,0.05375045615089197,0.13875876790374123
Uqcr11,0.04985538595048242,0.04985538595048242,0.16974931260317927
Cox7a2,0.003709958733422521,0.003709958733422521,0.9186705462307965
Pole4,0.08878136461405878,0.08878136461405878,0.014351578744632687
Scd1,-0.06178708366141747,0.06178708366141747,0.08872252575521056
Cfl1,-0.12644041955264101,0.12644041955264101,0.0004758116694011983
Rps15a-ps4,-0.006365347638880372,0.006365347638880372,0.8609276220545189
Nap1l1,0.005753527779821948,0.005753527779821948,0.8741778197461706
Cox7a2l,-0.08521521445075561,0.08521521445075561,0.018792098877168515
Rps2,-0.18031711813688286,0.18031711813688286,5.618504048214301e-07
Rpl36a,-0.1181490668102914,0.1181490668102914,0.001101540713389334
Scand1,-0.07452814435604993,0.07452814435604993,0.03996847442798893
Pgam1,0.05911433859375434,0.05911433859375434,0.10343762391153712
Pcbp1,-0.039824037011819476,0.039824037011819476,0.2728596496645191
Rps3,-0.19122887196680383,0.19122887196680383,1.0828719052080904e-07
Tbca,0.014854403740927098,0.014854403740927098,0.6826452188877006
Chmp2a,0.048093352483586795,0.048093352483586795,0.18536148544994144
Rps18,-0.16064019434871513,0.16064019434871513,8.579550887580067e-06
Mif,0.02744170979869111,0.02744170979869111,0.4500013463690929
Rtn3,0.1207851039663717,0.1207851039663717,0.0008482287070824868
Atp5b,-0.0217265492701649,0.0217265492701649,0.549810344667453
Rps29,-0.09894451827421157,0.09894451827421157,0.006334897085420098
Chmp4b,0.018598418708364883,0.018598418708364883,0.6087046449365937
Shfm1,0.07032072346644559,0.07032072346644559,0.052645552838730576
Cd97,0.13017739419540336,0.13017739419540336,0.00032047948432124525
Gnb1,-0.00047988335481120365,0.00047988335481120365,0.9894620893428713
Jtb,0.0330999736318519,0.0330999736318519,0.36216311866649403
Rpl37a,-0.13998565881106342,0.13998565881106342,0.00010800526687430782
Cct7,0.08346494497657997,0.08346494497657997,0.021380398623998355
Rpl17,-0.1695579080521548,0.1695579080521548,2.59178306963711e-06
Eif4a1,0.10575197519465067,0.10575197519465067,0.0035141508767483594
Itm2b,0.07054629521043701,0.07054629521043701,0.051889596146324296
Tra2b,0.04829878392248598,0.04829878392248598,0.18348853347973648
Rab10,0.07473025440928174,0.07473025440928174,0.03943100335802293
Cdv3,0.08790107826645067,0.08790107826645067,0.015351864478951259
Tmem134,0.04740241862025356,0.04740241862025356,0.1917643730699211
Eif3f,-0.1620153567044206,0.1620153567044206,7.1628193356482705e-06
Tspan13,0.10132774057031928,0.10132774057031928,0.005173709326010116
Eif1b,-0.013549916704565467,0.013549916704565467,0.7091873720017503
Rrp1,0.07305355280488614,0.07305355280488614,0.04408063717570758
2700060E02Rik,0.023446709281843094,0.023446709281843094,0.5186641408343666
Cox6c,0.05927911811393918,0.05927911811393918,0.10247765925786667
Sh3bgrl3,-0.11625569675423071,0.11625569675423071,0.0013247413171730037
Rpl14,-0.057709234368980976,0.057709234368980976,0.11191595262554196
Rps12,-0.19622102098719502,0.19622102098719502,4.9349293011242183e-08
Rps27l,0.029301722391658708,0.029301722391658708,0.4198760352279613
Cd24a,-0.08112494767504382,0.08112494767504382,0.025321230912373524
Tmem14c,0.017451737527110614,0.017451737527110614,0.630974358757915
Cggbp1,0.064611851252594,0.064611851252594,0.07505070907095164
Apobec3,-0.12451155308465647,0.12451155308465647,0.0005810851374230021
Rps14,-0.16348362948721057,0.16348362948721057,5.897658776768296e-06
Pafah1b1,0.12779331993794293,0.12779331993794293,0.0004128819371943003
Hbxip,0.007499786537936643,0.007499786537936643,0.8364648532763266
Capza1,-0.021818984186734378,0.021818984186734378,0.5481135598029041
Paip2,-0.07367723315372653,0.07367723315372653,0.04229982751419579
Vasp,-0.08351061049513621,0.08351061049513621,0.02130911974494097
Atp6v1f,0.0023867972268727757,0.0023867972268727757,0.9476236408802178
Ppp2ca,0.02950969233718112,0.02950969233718112,0.41658282775462796
Nsa2,-0.11832399127493505,0.11832399127493505,0.001082777366618622
Vim,0.011738204356648805,0.011738204356648805,0.7466358281608896
Pou2af1,-0.04646403303714949,0.04646403303714949,0.20071832693842187
Ypel3,-0.03425314949229916,0.03425314949229916,0.3456724104482644
Rps17,-0.1867067361836138,0.1867067361836138,2.167913597083443e-07
Stt3b,0.049029270973310314,0.049029270973310314,0.17694188320721949
Dynll1,0.12813840131052984,0.12813840131052984,0.0003981214232194265
Rpl37,-0.14962866409912198,0.14962866409912198,3.45004839420734e-05
Hprt,0.11710549017017896,0.11710549017017896,0.0012198578632577647
Gimap1,-0.08733480436476185,0.08733480436476185,0.016027248877195387
Junb,0.03786681303764394,0.03786681303764394,0.29714672120855734
Atp5e,-0.01259007484537268,0.01259007484537268,0.7289468092826797
Rpl36al,-0.02063310741515733,0.02063310741515733,0.570075901971118
Gtf2h5,0.07303257665007179,0.07303257665007179,0.04414161244503856
Eif1,-0.02335247935152945,0.02335247935152945,0.5203464641397705
Arpc1b,-0.11131837706053148,0.11131837706053148,0.0021167620151814177
M6pr,-0.048099394119864254,0.048099394119864254,0.18530620221107838
Rpl13a,-0.15590521397212584,0.15590521397212584,1.579050965890627e-05
Clta,-0.06519540412466293,0.06519540412466293,0.0724521869600777
Ly6d,-0.20341305107540106,0.20341305107540106,1.5338429463491008e-08
Rpl39,-0.15761558372549234,0.15761558372549234,1.2693482099753466e-05
Lsm6,-0.11367437801932105,0.11367437801932105,0.0016963679384893256
Cwc15,-0.016081199876182395,0.016081199876182395,0.6580355539051288
Psmb8,0.0729342053741833,0.0729342053741833,0.04442851519703711
Polr2j,0.08232925838129744,0.08232925838129744,0.02322096763504597
Plekhj1,-0.06795585218612821,0.06795585218612821,0.06113816629514285
Arhgap30,-0.04304637797871056,0.04304637797871056,0.23589771023920253
Aprt,0.07803779198625388,0.07803779198625388,0.03146881659128817
Syk,0.0995824430259858,0.0995824430259858,0.00600309783539111
Rpl31,-0.17245778338850237,0.17245778338850237,1.7322844577247194e-06
Psmb1,-0.025645193551655607,0.025645193551655607,0.4802244500642184
S100a13,0.021747524342597836,0.021747524342597836,0.5494250885017652
Kctd12,0.08815615299096732,0.08815615299096732,0.015055898903839729
Eif4e,0.08107960778472523,0.08107960778472523,0.02540340745923303
Cox5b,-0.05620453492653128,0.05620453492653128,0.12159205890865697
Ctsh,-0.007638695438025553,0.007638695438025553,0.8334797765259153
Minos1,0.011515125051202654,0.011515125051202654,0.7512905862179083
Sec62,0.06870539125499439,0.06870539125499439,0.05833170109254467
Mif4gd,-0.03595264666139848,0.03595264666139848,0.3222549316543698
Atp6v1g1,0.08702952951137101,0.08702952951137101,0.016402050458241977
Llph,-0.05954201951692989,0.05954201951692989,0.10096072239090205
Plekha2,0.036096390285111815,0.036096390285111815,0.32032280276992975
Elf1,0.033581936041346475,0.033581936041346475,0.3552119876269931
Ncor1,-0.009949689599482458,0.009949689599482458,0.7842004289878527
Ranbp1,0.0025926361183718754,0.0025926361183718754,0.9431140132329201
Sin3b,-0.0352776860311845,0.0352776860311845,0.3314286647799437
Fcrl1,-0.17855534838234524,0.17855534838234524,7.263056110020776e-07
Gna13,0.08111992204132208,0.08111992204132208,0.02533032832257586
Denr,0.0700445986857816,0.0700445986857816,0.05358341256890774
Rap1b,0.006617006696170706,0.006617006696170706,0.855488536071467
2310044H10Rik,-0.05162645557412848,0.05162645557412848,0.15507015538617017
Eny2,0.03438189764187379,0.03438189764187379,0.34386138491522417
Kdm6b,0.12653041593174455,0.12653041593174455,0.00047136284742769525
Sf3b1,0.04964649257627047,0.04964649257627047,0.17154703700052157
Jhdm1d,0.02825409047369779,0.02825409047369779,0.4366959347960242
Shisa5,-0.08376811929486905,0.08376811929486905,0.020911030774796835
Sepw1,-0.00045561368695854984,0.00045561368695854984,0.9899950060490816
Rpl5,-0.19981004756174062,0.19981004756174062,2.7692755839327677e-08
Ndufs2,-0.030627156852400417,0.030627156852400417,0.3991498778828262
Arid5a,0.039245659039747964,0.039245659039747964,0.2798912683906067
Atp5h,0.0443178005942126,0.0443178005942126,0.22233370985762857
Gpcpd1,-0.13077470624774937,0.13077470624774937,0.0003005675126437702
Tomm5,0.0531505648579757,0.0531505648579757,0.14322592192808234
Slc50a1,-0.004501723599827324,0.004501723599827324,0.9013942075379782
Csde1,-0.007368376312046453,0.007368376312046453,0.8392909533313857
Nucks1,-0.0042513995800791595,0.0042513995800791595,0.9068516434528732
Sp110,-0.018956569946162773,0.018956569946162773,0.6018212396582556
Ppp1r15a,0.09377895846372766,0.09377895846372766,0.009688454210186123
Atp5g2,-0.1698392614421503,0.1698392614421503,2.4931573681929694e-06
Plp2,0.02937110758303685,0.02937110758303685,0.41877562587860007
Gpx1,-0.06875429112642187,0.06875429112642187,0.05815238112289782
Txnip,0.14739945374072339,0.14739945374072339,4.520358833166503e-05
Ncl,0.09192596608974059,0.09192596608974059,0.011231165396379462
Id3,-0.0630204637803814,0.0630204637803814,0.08252481670641182
Rps10,-0.18778572974236968,0.18778572974236968,1.8398130160713015e-07
Fcgr2b,0.009938360016133796,0.009938360016133796,0.784440097785716
Herpud1,0.002520921889472671,0.002520921889472671,0.944684967462331
Ywhaz,0.12252740114242772,0.12252740114242772,0.0007116532711302185
Atf4,0.14319568268369362,0.14319568268369362,7.445921629394165e-05
Anp32a,0.004378316500166903,0.004378316500166903,0.9040841008593945
Tmed7,0.003811128864937929,0.003811128864937929,0.9164607000742743
Malat1,0.03560753337655711,0.03560753337655711,0.3269246866592582
Sh3glb1,0.13903337314099007,0.13903337314099007,0.00012042116177196746
Rbbp6,-0.05817665561518395,0.05817665561518395,0.10903684590344004
Slc3a2,0.16913826700163362,0.16913826700163362,2.745857437259222e-06
Eif1ax,0.03099312334942702,0.03099312334942702,0.3935372819029663
Cstb,0.03317943877849819,0.03317943877849819,0.3610112093550318
Spop,0.016254597334295517,0.016254597334295517,0.6545860569285699
Sf3b4,-0.0019189709233522812,0.0019189709233522812,0.95787903124554
