,Pearson Correlation,Absolute Correlation,P-values
Junb,0.20935087218951068,0.20935087218951068,2.1514374019176852e-09
Npm1,-0.06683305967260082,0.06683305967260082,0.058511063295744264
Npc2,-0.09709794208630693,0.09709794208630693,0.005923406028523671
Rpl39,-0.11477515403128476,0.11477515403128476,0.0011296062327397155
Cox7c,0.06280722907730509,0.06280722907730509,0.07546021354764182
Rpl24,-0.1013920386985843,0.1013920386985843,0.004049059833408771
Rps28,-0.08502741692634541,0.08502741692634541,0.01601603146481312
Cox8a,-0.02713365378052934,0.02713365378052934,0.4428692187810402
Arl6ip1,0.02628276854077655,0.02628276854077655,0.45730910055754864
Ptpn18,0.040892213593677944,0.040892213593677944,0.2473831271791908
Prdx6,0.03590345729453438,0.03590345729453438,0.30986123329169235
Rn45s,0.010100328158175997,0.010100328158175997,0.7751856945246963
Nsa2,0.07010518084533643,0.07010518084533643,0.04717822348346864
Emb,0.11850483395834852,0.11850483395834852,0.0007720341983884934
Selk,0.10158049065197608,0.10158049065197608,0.003980735956355757
Hspa5,0.2748608325428838,0.2748608325428838,2.2825065060364263e-15
Hn1,0.010007141440982964,0.010007141440982964,0.7772049314186278
Sdf4,0.03906888052163977,0.03906888052163977,0.2691112864369805
Psmb3,0.0012045641802280384,0.0012045641802280384,0.9728296346058699
Rpl14,-0.05381285931672385,0.05381285931672385,0.12783744600468175
Rpl18a,-0.11269595435918847,0.11269595435918847,0.0013900181234174265
Myl6,-0.0614612591042013,0.0614612591042013,0.08194887836355773
Crip1,0.20625058224977927,0.20625058224977927,3.7394883420947835e-09
Arf1,0.12416458049920034,0.12416458049920034,0.0004243558819772761
Rpl36a,-0.0991619782493209,0.0991619782493209,0.004942183328655974
Uqcrb,0.08955561841791804,0.08955561841791804,0.011170354803321259
Fth1,0.15024724973614956,0.15024724973614956,1.9322248943122124e-05
Scand1,0.025731976383571928,0.025731976383571928,0.46679523601970657
2010107E04Rik,0.020797375374006017,0.020797375374006017,0.5564528101146891
Mir703,-0.11270100026724018,0.11270100026724018,0.0013893241734350321
Rpl35a,-0.15301033474098322,0.15301033474098322,1.3484874196935007e-05
Eif3k,-0.08324714039418672,0.08324714039418672,0.018376518918177726
Rpl4,-0.18523177279910844,0.18523177279910844,1.268814786582137e-07
Arf6,0.0004083823483461604,0.0004083823483461604,0.9907868812897013
Tmem50a,0.015239205385064932,0.015239205385064932,0.6665264200706372
Eef2,-0.16186819069169334,0.16186819069169334,4.079120494923244e-06
Tomm22,0.020424222515953664,0.020424222515953664,0.5635585194321124
Morf4l1,0.06838740539015159,0.06838740539015159,0.0528737740625412
Hnrnpk,-0.029577201677582772,0.029577201677582772,0.4028786159933609
Akr1a1,-0.030063822184502393,0.030063822184502393,0.39518065689181575
Ube2d3,-0.09706053626678693,0.09706053626678693,0.005942701492206966
Gdi2,0.01202106397655807,0.01202106397655807,0.7339219858958224
Zfp706,0.002015110864039941,0.002015110864039941,0.9545625674342638
Atox1,-0.012074109223598011,0.012074109223598011,0.7327925987683237
Ccdc72,-0.0743595880661899,0.0743595880661899,0.03525084362544371
Rpl27a,-0.16657428584984138,0.16657428584984138,2.1043500846713883e-06
Ndufa2,-0.004608819160332581,0.004608819160332581,0.8963155886610048
Ptp4a2,0.01745777169853083,0.01745777169853083,0.6215437132447338
Lgals1,0.21604583275879763,0.21604583275879763,6.331802917504652e-10
Ftl1,-0.0326639256318965,0.0326639256318965,0.3555731740477908
Eif5a,-0.04968456479618086,0.04968456479618086,0.15980702909611302
Tmed9,-0.018031047648695796,0.018031047648695796,0.610137534737967
Slc25a5,-0.07137218865157562,0.07137218865157562,0.04331528413847476
H3f3a,-0.19772444701710884,0.19772444701710884,1.6366973059568166e-08
Park7,0.01046251237764604,0.01046251237764604,0.7673521417150998
Nfkbia,0.0037235597580426456,0.0037235597580426456,0.9161491632866287
Wdr89,-0.07272840272433301,0.07272840272433301,0.03947943391765112
Tspo,0.09455680356961665,0.09455680356961665,0.007370123996828832
Aes,-0.08459871081195908,0.08459871081195908,0.01655871233989482
Odc1,0.26855972644509984,0.26855972644509984,1.024297714827181e-14
Taldo1,-0.026234764890697922,0.026234764890697922,0.45813153150515606
Rpl22,-0.13119874899341835,0.13119874899341835,0.00019468307801191298
Anp32a,-0.1476164549880303,0.1476164549880303,2.705549274245346e-05
Slc25a3,0.09334115576003411,0.09334115576003411,0.008168168268311581
Rps15a-ps4,-0.05442769872164514,0.05442769872164514,0.12353391005957312
Pfn1,-0.22816093067797227,0.22816093067797227,6.24418760896245e-11
Serbp1,-0.059736306845892366,0.059736306845892366,0.090917066826978
Nt5c,-0.08786638873242097,0.08786638873242097,0.012800346591023857
Set,-0.01969396808208542,0.01969396808208542,0.5775892621213371
Ptges3,0.09315593483642985,0.09315593483642985,0.00829631361921066
Rpl13a,-0.12619185281720816,0.12619185281720816,0.00034037400635273263
Chmp2a,-0.0810766109298588,0.0810766109298588,0.021661158948416925
Eif1,-0.008232538201505692,0.008232538201505692,0.8159302765763327
Ube2d2,0.013695090929321791,0.013695090929321791,0.6985690665425519
Rpl13,-0.0718750778486168,0.0718750778486168,0.0418577782068948
Tomm5,0.03614465576311715,0.03614465576311715,0.3066200602418816
Higd2a,0.013295236771433475,0.013295236771433475,0.7069576341881552
Itgb7,0.10570504044158338,0.10570504044158338,0.0027242121297035055
Psma6,-0.101562321712357,0.101562321712357,0.00398727735570281
Atp5c1,-0.08168922353555198,0.08168922353555198,0.02068604905293417
Ap3s1,0.05066983431977859,0.05066983431977859,0.15167715809843083
Prr13,0.23849639897070318,0.23849639897070318,7.778650039491223e-12
Ubl3,0.1058373755496926,0.1058373755496926,0.0026906782982200356
Fis1,-0.02665561733168583,0.02665561733168583,0.45094945265785075
Rnf7,0.13407501229000623,0.13407501229000623,0.00013996175144151494
Mrps24,-0.016078591265724983,0.016078591265724983,0.6493549177098447
Nap1l4,0.006230152192811828,0.006230152192811828,0.8601667005902388
Fyb,-0.12729543750805566,0.12729543750805566,0.00030145593190246845
Pdcd5,0.011562655526367958,0.011562655526367958,0.7437056799214473
Csnk1d,0.11266809734491717,0.11266809734491717,0.0013938549686047272
Rgs2,0.13511928528757447,0.13511928528757447,0.00012395413460411414
Vps37b,0.2585862830679029,0.2585862830679029,1.0182258005527936e-13
Klf2,-0.10956036054302278,0.10956036054302278,0.0018885264944387074
1810006K21Rik,-0.034633285544408476,0.034633285544408476,0.3273008667706723
Limd2,-0.2569512837337577,0.2569512837337577,1.4701197121382086e-13
Kdm6b,0.06869950284704911,0.06869950284704911,0.05179829098105131
Rpl7,-0.19346995307803902,0.19346995307803902,3.3381485554281975e-08
Ssb,0.039160654874131805,0.039160654874131805,0.2679873287035707
Ostc,-0.0040360281857124555,0.0040360281857124555,0.9091419446995235
Gimap3,-0.0176233890277819,0.0176233890277819,0.6182390124952534
Smarca5,0.1920039750600831,0.1920039750600831,4.251782727103315e-08
Dusp11,0.08791737623568335,0.08791737623568335,0.012748226634978174
Ccnd3,-0.03391143171023771,0.03391143171023771,0.3374900796906214
Atp5e,-0.056580990675235435,0.056580990675235435,0.10934705266141133
H2afz,0.15232410641681207,0.15232410641681207,1.4753593395737652e-05
Ssr4,-0.01928383823896126,0.01928383823896126,0.5855406041336249
Iscu,-0.004203662200601687,0.004203662200601687,0.9053855614352796
1110004F10Rik,-0.08091271576292257,0.08091271576292257,0.02192871136119651
Tapbp,0.003999728503657667,0.003999728503657667,0.9099556267621307
Crem,0.2163434739802049,0.2163434739802049,5.991075777138985e-10
Eif4h,0.03419390106955572,0.03419390106955572,0.33347894526969574
D11Wsu99e,-0.024273468016735533,0.024273468016735533,0.49243317936571734
Cnbp,-0.07452707329513306,0.07452707329513306,0.03483936021412644
Psme1,-0.0472404266009491,0.0472404266009491,0.18138924347881055
Clic1,0.04002705205507783,0.04002705205507783,0.25753521741562335
Arl4c,-0.0445565764992575,0.0445565764992575,0.20749533453554747
Cox5a,0.023188505429781785,0.023188505429781785,0.5119829174910431
Gm9320,-0.05913112115585809,0.05913112115585809,0.09424414666206611
H13,-0.0781503428105465,0.0781503428105465,0.026889347320251774
1500012F01Rik,0.053036621403419006,0.053036621403419006,0.1334358200668255
Map2k2,0.021055086074628797,0.021055086074628797,0.5515709822108109
Rps14,-0.08958051862287716,0.08958051862287716,0.011147771378400012
