,Pearson Correlation,Absolute Correlation,P-values
Rps20,-0.07841509905605627,0.07841509905605627,2.929542466609165e-06
Psap,0.06212240917870612,0.06212240917870612,0.00021384150191243616
Gapdh,0.002198941128646421,0.002198941128646421,0.8958420215722426
Aldoa,0.02461870329645085,0.02461870329645085,0.14267172038361836
S100a10,-0.11857449098389493,0.11857449098389493,1.3962699475137635e-12
Hspa5,0.07992042824796945,0.07992042824796945,1.8815861484592567e-06
Ndufa6,0.04569921369852472,0.04569921369852472,0.006485732097098741
Rps12,-0.039980594902915535,0.039980594902915535,0.01725517406930546
Tspo,0.16328242120300487,0.16328242120300487,1.281873903350224e-22
Rpl8,-0.07177164472564904,0.07177164472564904,1.8816237528396336e-05
S100a13,0.005049437909920194,0.005049437909920194,0.763701413976684
Rps9,-0.04929438744762319,0.04929438744762319,0.003318732475833123
Pecam1,0.039973877471339896,0.039973877471339896,0.017273940152313486
Cd81,0.12781458687343616,0.12781458687343616,2.1572762956852585e-14
Actb,-0.005477606464881846,0.005477606464881846,0.7443368925470032
Snrpg,0.02602160622443824,0.02602160622443824,0.12126709693307879
Cox8a,-0.040420633755280974,0.040420633755280974,0.016064154342490908
Nme2,-0.05575356179816816,0.05575356179816816,0.0008940305933734518
Tceb2,0.007574050191758689,0.007574050191758689,0.6520379274706183
Rps24,-0.028826748979744594,0.028826748979744594,0.08605639706436269
Rpl22l1,0.018952113452409564,0.018952113452409564,0.2591388894703622
Cox6c,-0.02489792797081153,0.02489792797081153,0.1381952132895666
2010107E04Rik,0.010752435472373787,0.010752435472373787,0.5220605770277216
Pnrc1,0.018378149882470284,0.018378149882470284,0.27384600649735863
Jak1,-0.01658178559427074,0.01658178559427074,0.3235072803245554
Gnb2l1,-0.11049077497673102,0.11049077497673102,4.1573850488040786e-11
Eng,0.024612256267093045,0.024612256267093045,0.1427763773941626
Atp5h,0.0013182923498712188,0.0013182923498712188,0.9374418663066576
Rabac1,0.09054606816964061,0.09054606816964061,6.596717734925044e-08
Nfkbia,-0.0162754319697393,0.0162754319697393,0.33252848681752545
Pabpc1,-0.1327088846148158,0.1327088846148158,2.0873776105565276e-15
Sh3glb1,-0.032436516170106906,0.032436516170106906,0.05340406977540878
Atp5l,-0.046062098018593615,0.046062098018593615,0.006073331255942158
Ssb,0.07769878404394741,0.07769878404394741,3.606544153014084e-06
Pfn1,-0.08813509768763426,0.08813509768763426,1.4609185501275268e-07
Cyb5r3,-0.027674615049683285,0.027674615049683285,0.09936430734663383
Rpl17,-0.03739673977870276,0.03739673977870276,0.025932556579898847
Cox6b1,0.01810565854300933,0.01810565854300933,0.28102416870072133
1810037I17Rik,0.030071126852321006,0.030071126852321006,0.07333974102252756
Sparcl1,0.03554472530016181,0.03554472530016181,0.034272654734238184
Prkcdbp,-0.02545974577643254,0.02545974577643254,0.12951692339276588
Arpc3,0.09623722624343012,0.09623722624343012,9.307721963300754e-09
Rpsa,-0.07364551161902597,0.07364551161902597,1.1309026200234959e-05
Tra2b,0.07805940636269795,0.07805940636269795,3.2488657250024505e-06
H2afy,-0.011053052721067543,0.011053052721067543,0.5104922691654762
Anxa7,-0.025537090992211468,0.025537090992211468,0.12835606483323012
Rpl23,-0.05917905832185899,0.05917905832185899,0.0004213176802404926
Rps27,-0.010369810599020469,0.010369810599020469,0.5369771395330108
H2-T23,0.19972047055033718,0.19972047055033718,3.0841125495544116e-33
Map1lc3b,-0.1231673372929112,0.1231673372929112,1.8268003731497428e-13
Tpm4,-0.083163180849444,0.083163180849444,7.057608790812632e-07
H3f3b,-0.05306435371882555,0.05306435371882555,0.0015698519822373806
Rpl23a,-0.019193445361346838,0.019193445361346838,0.2531214138709326
Egr1,0.05300482505220104,0.05300482505220104,0.0015891034315213173
Dnajb1,-0.022923436929172508,0.022923436929172508,0.17227118646615422
Tmbim6,0.054650323741387945,0.054650323741387945,0.0011296236897215578
Tgm2,-0.009797221825883655,0.009797221825883655,0.559692375403629
Dad1,-0.004725144289837083,0.004725144289837083,0.7784677621957468
Bsg,-0.037359959930477596,0.037359959930477596,0.026079341704640387
Adipor1,-0.037070461681987306,0.037070461681987306,0.027259972596213572
Ddit4,-0.03441648977595927,0.03441648977595927,0.04040180964372905
Cd47,0.04713753908245994,0.04713753908245994,0.00498614687879703
Rpl6,-0.018411889907412986,0.018411889907412986,0.27296599600581234
Rpl10,-0.005759661961915813,0.005759661961915813,0.7316673925726138
