,Pearson Correlation,Absolute Correlation,P-values
Rps18,0.20165719716520464,0.20165719716520464,1.2816781571242952e-16
Rpl7a,0.1418414668298973,0.1418414668298973,7.036486150918364e-09
Rpsa,0.21548403915811504,0.21548403915811504,8.300186439248437e-19
Malat1,0.05666886676825914,0.05666886676825914,0.021256201820637748
Cd52,0.3141838528864714,0.3141838528864714,3.599502543577343e-39
Eef1g,0.05231977096767666,0.05231977096767666,0.033472167440723406
Eif1,0.050198291167303656,0.050198291167303656,0.041346195431404734
Dad1,0.03397215851319839,0.03397215851319839,0.16754203597589812
Morf4l1,0.06338057802432938,0.06338057802432938,0.00997392151025361
Reep5,0.12143361428783757,0.12143361428783757,7.412252870253133e-07
Rps29,0.14497099648680076,0.14497099648680076,3.2360570857742827e-09
Rpl5,0.1062554679559738,0.1062554679559738,1.50660880067831e-05
Jund,-0.12582495962849885,0.12582495962849885,2.887244207678363e-07
Hnrnpf,0.01650098401666628,0.01650098401666628,0.5027193290480305
Rps12,0.07409769876518231,0.07409769876518231,0.00258210445655441
Ubc,0.02152534059870481,0.02152534059870481,0.3819373160492717
Ccdc72,0.053475254255839225,0.053475254255839225,0.029750138637745855
Rpl35,0.18650632596070996,0.18650632596070996,2.1400486068463386e-14
Ier3,-0.1406944120479445,0.1406944120479445,9.314855712500332e-09
Rpl17,0.2158637109300408,0.2158637109300408,7.191205129888339e-19
Uba52,0.24529612501745607,0.24529612501745607,4.624148117164482e-24
Nedd8,0.06686031579307761,0.06686031579307761,0.006557673994083928
Romo1,0.018069773466461457,0.018069773466461457,0.46298141542128146
Tra2b,0.009660509061053594,0.009660509061053594,0.6947911756166676
Cox17,0.16167247382671587,0.16167247382671587,3.8510170475262016e-11
Ubb,0.06344167814832485,0.06344167814832485,0.009902337028776742
Tgfbi,-0.04591218988262961,0.04591218988262961,0.06208849477887561
Ddx3x,-0.055876836292183624,0.055876836292183624,0.023137389571502038
Cox6b1,0.06598377031264019,0.06598377031264019,0.007301052847044172
P4hb,-0.04744200133528181,0.04744200133528181,0.05386796272411985
Rpl10a,0.10197049096055733,0.10197049096055733,3.2920702057666224e-05
Ctsb,-0.18787179763535813,0.18787179763535813,1.3726049774444906e-14
