,Pearson Correlation,Absolute Correlation,P-values
Rpl37a,0.22315866463399148,0.22315866463399148,8.381294160525158e-98
Tmsb4x,0.15341941240694498,0.15341941240694498,1.383288297178895e-46
Malat1,0.21500268711845835,0.21500268711845835,9.315328916604706e-91
S100a11,0.12546354543726548,0.12546354543726548,1.3181948583600331e-31
Ubb,0.16734244387638852,0.16734244387638852,3.303241558507756e-55
Rplp2,0.18314233741654584,0.18314233741654584,6.033812005561314e-66
Eif3f,-0.0273477214860852,0.0273477214860852,0.011083310996545458
Cebpb,0.16318852475764645,0.16318852475764645,1.4899119236380636e-52
Psap,0.21350298645193752,0.21350298645193752,1.712237711467714e-89
Uqcrh,-0.06565555475294108,0.06565555475294108,1.0374153411692577e-09
Ppia,0.1566055046685234,0.1566055046685234,1.7248513688966623e-48
Emp3,0.001943058112914871,0.001943058112914871,0.8568087309930916
Cd63,0.21756712781170393,0.21756712781170393,6.092044487688338e-93
H2afz,0.01586184717922665,0.01586184717922665,0.14073263662638022
Snrpf,-0.013242559635368557,0.013242559635368557,0.21877383838310432
Lrp1,0.04466797291607137,0.04466797291607137,3.3238169229330645e-05
Ssr4,-0.14577982449366242,0.14577982449366242,3.478716263814424e-42
Ctsl,0.17523369533121377,0.17523369533121377,1.9207177427907424e-60
Dcn,0.48952982796639194,0.48952982796639194,0.0
Rpl7,0.16448321474708302,0.16448321474708302,2.2562745396421736e-53
Tnfrsf1a,-0.012941406758995475,0.012941406758995475,0.22943109772185394
Eif3h,0.04007907236615514,0.04007907236615514,0.00019659596979311884
Ube2d3,0.029646500732682428,0.029646500732682428,0.0058932532879851385
Rps2,0.11462850663496268,0.11462850663496268,1.2634939152892379e-26
Mt2,0.21871590001164504,0.21871590001164504,6.266509948571184e-94
Gdi2,-0.06667797963491517,0.06667797963491517,5.68942092994651e-10
Rps23,0.27073680881315165,0.27073680881315165,8.825841069328486e-145
Rps27l,-0.06351615102686563,0.06351615102686563,3.5425521338772347e-09
Shfm1,-0.04523861626251431,0.04523861626251431,2.6324180622506824e-05
Eef1d,0.09577163112066674,0.09577163112066674,4.917156930853762e-19
Tuba1a,0.020826484991320372,0.020826484991320372,0.05308663488625418
Ptma,0.1783042380368865,0.1783042380368865,1.5048954758706515e-62
Hnrpdl,-0.02560167158998541,0.02560167158998541,0.017414726211656923
Anapc5,-0.10091462023566372,0.10091462023566372,5.710612389185881e-21
Eif3k,-8.086278503305262e-06,8.086278503305262e-06,0.9994008569859036
Psma2,0.0441215942331426,0.0441215942331426,4.144892515946385e-05
Col6a1,-0.2971280680516693,0.2971280680516693,2.359761908564365e-175
Lhfp,0.0068169900201718,0.0068169900201718,0.5266995881228047
Rps25,0.17797216101241342,0.17797216101241342,2.5534660412111837e-62
Rps16,0.24989118854874487,0.24989118854874487,6.086438358044755e-123
H13,-0.0687951940884683,0.0687951940884683,1.5940308119320688e-10
Litaf,0.08946874388363595,0.08946874388363595,8.431649338105356e-17
Igfbp6,0.025252206629710127,0.025252206629710127,0.01900847954793309
Ddx5,0.28668642681494205,0.28668642681494205,7.37797031336289e-163
Cxcl1,0.09725856677740205,0.09725856677740205,1.3887478509572912e-19
H2-D1,0.4302150117401927,0.4302150117401927,0.0
Cox8a,-0.0007961781386577949,0.0007961781386577949,0.9410618318403512
Arpc3,0.11741235778178086,0.11741235778178086,7.330404173357157e-28
Rps8,0.13350956185258733,0.13350956185258733,1.332404737370723e-35
Tspan3,-0.11568074972707686,0.11568074972707686,4.3425519990226435e-27
Myl12a,0.043900451941510585,0.043900451941510585,4.529110203010284e-05
Ifitm3,0.41029418547963226,0.41029418547963226,0.0
Nbl1,-0.05257628669643096,0.05257628669643096,1.030304060793265e-06
Rexo2,-0.13661707367428502,0.13661707367428502,3.2627782508521972e-37
Sumo1,-0.029458940625499985,0.029458940625499985,0.00621468963939552
Rpl35,0.1877670523595659,0.1877670523595659,2.773947696914446e-69
Cyb5,0.1812217795483814,0.1812217795483814,1.382276436971196e-64
Cnn3,0.01135352189910724,0.01135352189910724,0.29172094926548714
Rps3a,0.14987412022107643,0.14987412022107643,1.6292712040257245e-44
Fkbp7,-0.19614892250087024,0.19614892250087024,1.4703818868318069e-75
Atp5e,-0.13535666498829593,0.13535666498829593,1.4845997586880602e-36
Junb,0.3655625688342159,0.3655625688342159,5.431485455436682e-271
Itm2b,0.3584760271396596,0.3584760271396596,6.32975350304349e-260
9530068E07Rik,-0.12369478548522332,0.12369478548522332,9.212117464229e-31
Sec61g,-0.02915014513048112,0.02915014513048112,0.00677840086765721
Cd81,0.10910275145715292,0.10910275145715292,2.9320302622138082e-24
Cox7a2,-0.02483769036168693,0.02483769036168693,0.021062995637209665
Slc25a3,0.016324891834301126,0.016324891834301126,0.12950008104520846
Psma5,-0.005902518273101745,0.005902518273101745,0.5836032190022311
Rps24,0.2219865872355679,0.2219865872355679,8.986125974321304e-97
Rpl39,0.20657714398094004,0.20657714398094004,8.866079910894443e-84
Arf4,0.016661953179928725,0.016661953179928725,0.1217709019420324
Rpl7a,0.08918774213894617,0.08918774213894617,1.0519896399391736e-16
Nid1,-0.17189023721969832,0.17189023721969832,3.409555336289514e-58
Tmsb10,0.07182143015618686,0.07182143015618686,2.4195361103553163e-11
Hspb1,0.06378563629550993,0.06378563629550993,3.0413397084918077e-09
Mrpl33,-0.03099247512050833,0.03099247512050833,0.003992679024905345
Tomm20,-0.09538639000404221,0.09538639000404221,6.80145351127253e-19
Dpt,0.03255551856208594,0.03255551856208594,0.0024945793251193106
Vapa,-0.027354972955756465,0.027354972955756465,0.011061977329209775
Eif1a,-0.02490113495415089,0.02490113495415089,0.020736512026280938
Prkcdbp,-0.09156545956102484,0.09156545956102484,1.582777795910542e-17
Rplp0,0.04829163053642467,0.04829163053642467,7.219444404419414e-06
Rbx1,-0.04262892734771457,0.04262892734771457,7.481120316370285e-05
Rps14,0.13919674234711563,0.13919674234711563,1.403782501480474e-38
