,Pearson Correlation,Absolute Correlation,P-values
Rpl8,-0.08849904829786516,0.08849904829786516,3.7776359400173886e-05
Rpl13a,-0.3068438925375014,0.3068438925375014,2.3172981990154056e-48
Selk,0.20064160950643437,0.20064160950643437,4.5175248845011356e-21
Ddx5,0.20600660930843273,0.20600660930843273,3.7693199538250765e-22
Ldha,0.18419034758513592,0.18419034758513592,5.957137825923067e-18
Rps26,-0.35306485597359144,0.35306485597359144,1.7342675371135454e-64
Tmem14c,0.005494869696361205,0.005494869696361205,0.798452138339377
Tceb2,-0.22958094518470432,0.22958094518470432,2.9720766469608553e-27
Uqcrq,-0.1923536017602453,0.1923536017602453,1.8277542536073275e-19
H3f3a,-0.10770114622780293,0.10770114622780293,5.179972836651407e-07
Tmed10,0.025886066963170647,0.025886066963170647,0.22892290793206663
Psme2,-0.19943052858214977,0.19943052858214977,7.837962459845905e-21
Rpl13,-0.16662941756078936,0.16662941756078936,6.2938724773479784e-15
Gmfg,0.2710832917309563,0.2710832917309563,9.980030547701304e-38
Mrps24,-0.027643415719848644,0.027643415719848644,0.19884586086752803
Rps5,-0.2040840848271878,0.2040840848271878,9.252818135256968e-22
Eef2,0.16901879046061472,0.16901879046061472,2.5459961011745234e-15
Apoc1,-0.39157277389057066,0.39157277389057066,3.7365964808254624e-80
Naca,-0.05937179231003101,0.05937179231003101,0.005754209267134416
Cox7a2,-0.212189588640289,0.212189588640289,1.9743524276347068e-23
Gpx1,-0.5590037756121378,0.5590037756121378,5.641682143996712e-178
Plbd1,0.41508343920284896,0.41508343920284896,8.348554224205489e-91
Rps6,-0.30868502426838296,0.30868502426838296,5.959996690444137e-49
Atp6v1e1,0.28292649972339573,0.28292649972339573,4.4401298040594984e-41
Map2k2,0.08512321687559331,0.08512321687559331,7.404293208688095e-05
H2-K1,0.18552720628227654,0.18552720628227654,3.4036702426582242e-18
Rps3a,-0.25779938665451624,0.25779938665451624,3.663585507615641e-34
Tmem167,-0.021062364808144253,0.021062364808144253,0.3276365332203436
Mlf2,0.31256580819827556,0.31256580819827556,3.298216721040075e-50
Ifitm3,-0.19712024386674,0.19712024386674,2.2204589411001225e-20
Rpl18,-0.1251089495381704,0.1251089495381704,5.32092544635394e-09
Ctss,-0.07903714359982734,0.07903714359982734,0.0002344762865575119
Map1lc3b,0.30528322041650685,0.30528322041650685,7.270665867672938e-48
Ube2a,0.2794657842467809,0.2794657842467809,4.404967086413803e-40
Blvrb,-0.07713466890107135,0.07713466890107135,0.0003308940468307801
Taf10,0.1373599887423513,0.1373599887423513,1.4212423276974417e-10
Hsp90aa1,0.00084678369761934,0.00084678369761934,0.968611022523161
Sat1,0.33415033707232134,0.33415033707232134,1.501647939458983e-57
Ssbp4,0.24807445738055695,0.24807445738055695,1.1107837548071982e-31
Vdac2,0.08800249997340762,0.08800249997340762,4.1769985065559e-05
Uqcrb,-0.12807890639997452,0.12807890639997452,2.27968595092707e-09
Ndufa1,0.23667356431736675,0.23667356431736675,6.603926944266296e-29
Rpl4,-0.19308497116063314,0.19308497116063314,1.3273557735206597e-19
Aldh2,-0.14642075497186227,0.14642075497186227,7.856850966491549e-12
Myl6,-0.26521851553482073,0.26521851553482073,3.963565003074415e-36
Tcf25,0.2943596872435158,0.2943596872435158,1.791115101790384e-44
Malat1,0.48153874363178384,0.48153874363178384,6.531840705565349e-126
AB124611,-0.1877675795488927,0.1877675795488927,1.3195923834905937e-18
H2-M3,0.31990793402783535,0.31990793402783535,1.225036657120001e-52
Sdhb,-0.07105814180530179,0.07105814180530179,0.0009454299325566383
Pkm2,0.11994733373646142,0.11994733373646142,2.2162794485164893e-08
Id3,0.5463484229879373,0.5463484229879373,1.61765381375309e-168
Manf,-0.18863515345829798,0.18863515345829798,9.113703502160303e-19
Nfkbiz,0.655157887499271,0.655157887499271,2.480579248759395e-265
Psmb4,0.08221727497196739,0.08221727497196739,0.00012963445051666737
Tomm7,-0.18779658746642375,0.18779658746642375,1.303400077394392e-18
Nenf,-0.10477341201901949,0.10477341201901949,1.0485178389191522e-06
Rheb,0.12853566349663664,0.12853566349663664,1.997604102555303e-09
Hnrnpab,0.0011465177130209427,0.0011465177130209427,0.957509469635404
1500032L24Rik,0.21213147944064492,0.21213147944064492,2.0307265640209355e-23
Bcap31,0.3763363211782592,0.3763363211782592,1.0639046649893522e-73
0610012G03Rik,0.18290389005363447,0.18290389005363447,1.0167856989751887e-17
Tgm2,0.0411446625443445,0.0411446625443445,0.055771128019683106
Cmpk1,0.1076346131178419,0.1076346131178419,5.264734207634737e-07
1810027O10Rik,-0.037310204053918786,0.037310204053918786,0.08284274277448223
Rpl39,-0.1788669569086181,0.1788669569086181,5.306933159324466e-17
Snx5,0.11448424897081293,0.11448424897081293,9.413870433650794e-08
Atpif1,-0.328857488073884,0.328857488073884,1.0780122695670814e-55
Srrm2,0.13150172827233597,0.13150172827233597,8.377178895652667e-10
Itgb2,0.2550815233035316,0.2550815233035316,1.8547322365440554e-33
Tyrobp,-0.2965543927928577,0.2965543927928577,3.832336182958558e-45
Atp5d,-0.08787195250519803,0.08787195250519803,4.288458781648806e-05
Grcc10,0.19019165315665046,0.19019165315665046,4.670416237163073e-19
Ndufs7,0.06330314628604934,0.06330314628604934,0.0032329145688941396
Irf7,-0.07376860269980103,0.07376860269980103,0.0005975241917241569
Psap,-0.01446929657720587,0.01446929657720587,0.5013103034779076
Necap2,0.2658209496398246,0.2658209496398246,2.7269616076464496e-36
Snx2,0.31442606577698684,0.31442606577698684,8.110153798902192e-51
Myl12a,-0.049103391294983506,0.049103391294983506,0.022416670536566572
Cfp,0.013952574708688546,0.013952574708688546,0.5167174856882384
Srp9,0.04010397234224015,0.04010397234224015,0.06226576146028572
Blvra,0.22645065187867824,0.22645065187867824,1.5317938710919977e-26
Apoe,-0.28519597110680567,0.28519597110680567,9.685777158816802e-42
Fkbp8,0.191298797386337,0.191298797386337,2.8927442232261334e-19
Vav1,0.04832640815150951,0.04832640815150951,0.02463609931218834
Ifi30,0.22252115254851404,0.22252115254851404,1.158988654334181e-25
Ptpn18,-0.14231782277495877,0.14231782277495877,2.9825192106546374e-11
Rtn3,0.04084495380956858,0.04084495380956858,0.05758096480494424
Arf3,0.25295574763135664,0.25295574763135664,6.506602506349966e-33
Ctsz,0.11904882904277118,0.11904882904277118,2.824138434018386e-08
Arl8b,0.25192389623852046,0.25192389623852046,1.1914787699294662e-32
Llph,0.10533219552991688,0.10533219552991688,9.177978296480433e-07
Arpc5,-0.1106173924818561,0.1106173924818561,2.519210741336404e-07
Drap1,0.10340603658877438,0.10340603658877438,1.4482782824008899e-06
Ndufb11,0.34573519537741454,0.34573519537741454,9.653281889660514e-62
Tbca,0.001321879941200385,0.001321879941200385,0.9510180792198744
Lamp2,0.15203805158014208,0.15203805158014208,1.1891695582924994e-12
Erh,-0.18907918246633987,0.18907918246633987,7.535706928566254e-19
D8Ertd738e,0.1878817023774815,0.1878817023774815,1.257011938606148e-18
Ryr1,0.6213561233521427,0.6213561233521427,3.972883362046226e-231
Mrpl34,0.04016509242419575,0.04016509242419575,0.06186776929774292
Nsa2,0.1502093653815534,0.1502093653815534,2.2161984730589622e-12
Clec12a,0.42557414571722296,0.42557414571722296,7.699746820399058e-96
Pomp,-0.06213612643739985,0.06213612643739985,0.003848927039208511
Nedd8,-0.047759482860176054,0.047759482860176054,0.026373286726384348
Unc119,0.3724795336767367,0.3724795336767367,4.0438571605083215e-72
Unc93b1,-0.08885851541297174,0.08885851541297174,3.511424717548593e-05
Son,0.16386106219638022,0.16386106219638022,1.7666199384036196e-14
Rpsa,-0.43656307011464424,0.43656307011464424,2.6144133138536166e-101
Cfb,0.1535230427801084,0.1535230427801084,7.132804359794875e-13
Bscl2,0.21786076091091922,0.21786076091091922,1.215601868455313e-24
Dhrs1,0.042630271568178335,0.042630271568178335,0.04748509876804964
B2m,-0.08906854937394836,0.08906854937394836,3.364223704569548e-05
H2-DMb1,0.5462837422729014,0.5462837422729014,1.803795148180067e-168
Sdhd,0.01889704085080236,0.01889704085080236,0.3798179027524099
Eef1d,0.18050877835181076,0.18050877835181076,2.7227087779943422e-17
Ccdc72,-0.1832974735542069,0.1832974735542069,8.63718426849005e-18
Rpl41,-0.023687745935641297,0.023687745935641297,0.270925382571286
Psma2,0.08462624855190957,0.08462624855190957,8.158829017864658e-05
Ubxn1,0.05767814901550581,0.05767814901550581,0.007306078126635201
St3gal4,-0.028287582556823433,0.028287582556823433,0.1885774728633559
Dnajc19,-0.03916793014438361,0.03916793014438361,0.06862982728935298
Pfdn1,0.164448994986208,0.164448994986208,1.4210002351301112e-14
Rap1b,-0.11726560143688629,0.11726560143688629,4.544815761446508e-08
Lgals3bp,0.06550584574968427,0.06550584574968427,0.002308629257651964
Cd53,-0.0071885398185984216,0.0071885398185984216,0.7383351963095036
Aurkaip1,0.10777966069126273,0.10777966069126273,5.081638556827579e-07
Cox5b,-0.0856934243138071,0.0856934243138071,6.61988361779073e-05
Atp6v0d1,0.3754484660947236,0.3754484660947236,2.4689243598279443e-73
Stx3,0.2686891242831759,0.2686891242831759,4.536254927948938e-37
2610001J05Rik,0.2625903039780955,0.2625903039780955,2.0031341832417178e-35
Chchd3,0.2313474177483945,0.2313474177483945,1.1653752573664482e-27
C3ar1,0.34805225655484573,0.34805225655484573,1.332442494434833e-62
Rn45s,0.2202508371198554,0.2202508371198554,3.666441976664153e-25
Dnaja2,0.30906310023713557,0.30906310023713557,4.504220419239013e-49
