,Pearson Correlation,Absolute Correlation,P-values
Rpl3,-0.1349140281083949,0.1349140281083949,2.2604826640532378e-05
Cotl1,-0.1074406405882802,0.1074406405882802,0.0007547225120539863
Ndufa2,-0.14391256135180316,0.14391256135180316,6.097218460131361e-06
Gmfg,-0.04238163897304278,0.04238163897304278,0.18495316186668875
Cox7c,-0.08990755803221918,0.08990755803221918,0.004852501023884509
2010107E04Rik,-0.15311077811463542,0.15311077811463542,1.4688471867802953e-06
Rps3,-0.18046622953711014,0.18046622953711014,1.2774916401086151e-08
D4Wsu53e,0.002631715147118073,0.002631715147118073,0.9344234916292284
Gabarap,-0.06531007509989077,0.06531007509989077,0.040943468485924076
Btg1,-0.07778750339644198,0.07778750339644198,0.014862283325548556
Gpsm3,-0.10204270263957531,0.10204270263957531,0.0013804016377015494
Ptpn18,-0.01909586146813311,0.01909586146813311,0.5504496161155432
Klf6,0.05323965059091892,0.05323965059091892,0.0957693909099272
Rps15a-ps6,-0.15842205478612556,0.15842205478612556,6.209809098413258e-07
Rpl36a,-0.1674301742524312,0.1674301742524312,1.3497371856808502e-07
Sec61g,-0.05503227452547962,0.05503227452547962,0.08508963714761467
Hcst,0.04446103727766005,0.04446103727766005,0.1642976019343844
Nme1,-0.012907110776753876,0.012907110776753876,0.6865380641222663
Ptprc,0.04850979595225032,0.04850979595225032,0.12912733459849013
Tmem66,0.028005444106442047,0.028005444106442047,0.3811594666334432
Uqcr11,-0.03336389847307159,0.03336389847307159,0.29675718406503415
Btf3,-0.10791554926534343,0.10791554926534343,0.0007147289604041432
Rps7,-0.18511997213673875,0.18511997213673875,5.273356834101314e-09
Cfl1,-0.1235458081400582,0.1235458081400582,0.00010552518521711533
Dynll1,0.08054143020392453,0.08054143020392453,0.011661470112635278
Cd3g,0.022661280672450646,0.022661280672450646,0.4785752823522121
Ifi27l1,0.13535270130841454,0.13535270130841454,2.124569172084866e-05
Evl,-0.11182928345034121,0.11182928345034121,0.00045259493238731645
Eef2,-0.15834463880226385,0.15834463880226385,6.289525020831903e-07
Rbm39,-0.0012509489850501608,0.0012509489850501608,0.968801944065686
H2afv,-0.04666171484441422,0.04666171484441422,0.14437981248730958
Hnrnpf,-0.16084483576948744,0.16084483576948744,4.1530473022856583e-07
Hmgb2,0.047188196215063254,0.047188196215063254,0.13990061271497797
Gabarapl2,-0.023087029184367575,0.023087029184367575,0.47034848982956207
Rpl32,-0.171690883789009,0.171690883789009,6.368916395760155e-08
Nop10,-0.10246417411582412,0.10246417411582412,0.0013181458241892628
Ndufa6,-0.08001291677555664,0.08001291677555664,0.012223626709529034
Tbca,-0.0764866708158046,0.0764866708158046,0.01662650591537224
Tomm6,-0.04646809667146527,0.04646809667146527,0.14605440148865628
Cct7,0.059337984640830024,0.059337984640830024,0.06333416302323996
Tmbim6,0.1151056554902504,0.1151056554902504,0.0003052706823692714
Rpl37,-0.03367552941766936,0.03367552941766936,0.2922657970814218
Ypel3,-0.13785971302714972,0.13785971302714972,1.48515869863142e-05
Serf2,-0.22548397309858356,0.22548397309858356,9.203125839922702e-13
1810006K21Rik,-0.09734691417636898,0.09734691417636898,0.0022823294054221555
Gnai2,-0.10954320323035228,0.10954320323035228,0.0005920933917609721
Atp5c1,-0.012334524794048545,0.012334524794048545,0.6997532542427087
