,Pearson Correlation,Absolute Correlation,P-values
Atp5j,-0.021560717078817827,0.021560717078817827,0.33181483178552723
Ybx1,-0.0034008024850487525,0.0034008024850487525,0.8783545484654793
Cox7a2,0.006049069263776639,0.006049069263776639,0.7854342462569562
Rpl11,-0.11591117033826327,0.11591117033826327,1.656130779266896e-07
App,0.03484097229275033,0.03484097229275033,0.1167613380767509
H3f3b,-0.02391657755829857,0.02391657755829857,0.28168901968586557
Rps20,-0.10010977233156285,0.10010977233156285,6.27673407139756e-06
Myadm,-0.2689051450957145,0.2689051450957145,6.24289122545407e-35
Sh3bgrl,-0.06716824383645827,0.06716824383645827,0.002475156048483251
Atp5b,0.053735223286358554,0.053735223286358554,0.015514867304802542
Cd81,-0.14377620118876447,0.14377620118876447,7.79267881438439e-11
Rpl13,-0.20916886551255787,0.20916886551255787,1.7443886219409028e-21
Rrbp1,-0.03782515506790885,0.03782515506790885,0.08857713920610702
Tubb5,-0.09297431207842533,0.09297431207842533,2.7474826305270418e-05
Iscu,0.032378343214977075,0.032378343214977075,0.14495428098112478
Anxa5,-0.07347009585822296,0.07347009585822296,0.000929506283251334
Mtch1,-0.04493978885835837,0.04493978885835837,0.0430151854159197
Lbh,-0.07071083345988036,0.07071083345988036,0.0014407054911483453
Aes,-0.04655384664293155,0.04655384664293155,0.03605396178288586
Selm,-0.07921312546154351,0.07921312546154351,0.0003561067149624967
Pfn1,-0.012662778590740588,0.012662778590740588,0.5687331545365
Sec61b,-0.06910632939415902,0.06910632939415902,0.0018463715048917604
Npm1,0.0728158431714664,0.0728158431714664,0.0010326599333864359
Mt1,0.019106907602627586,0.019106907602627586,0.3897915229492323
Atp5d,-0.019887940967617982,0.019887940967617982,0.37070350506182087
Colec12,-0.05118475703133868,0.05118475703133868,0.021160445030980583
Serbp1,0.058543800992029105,0.058543800992029105,0.008362847911215053
Eef1d,-0.0013890327771517628,0.0013890327771517628,0.9501533362139986
Ifitm2,-0.12395928145259395,0.12395928145259395,2.1377319658550166e-08
Hmgn1,-0.1005684032450957,0.1005684032450957,5.6885959736066515e-06
S100a11,-0.1928928495742535,0.1928928495742535,1.88986181416474e-18
1110003E01Rik,-0.06815092089630567,0.06815092089630567,0.002135285577730421
Vdac3,0.008889427370891507,0.008889427370891507,0.689096471493146
Son,0.052381198932774674,0.052381198932774674,0.01832106936468593
Rps6,-0.08613569347195286,0.08613569347195286,0.00010283458261979171
9130011J15Rik,-0.08839157914037049,0.08839157914037049,6.72203328295464e-05
Rpl10a,-0.1271348930102123,0.1271348930102123,9.186514686114844e-09
Rpl23,-0.17091732193158007,0.17091732193158007,9.238884204953508e-15
Srsf5,0.025761096085950293,0.025761096085950293,0.24621785987697273
Uqcr11,-0.08177749035418772,0.08177749035418772,0.00022725467213191436
Fkbp7,-0.061914014591196595,0.061914014591196595,0.005284646931430486
0610009D07Rik,-0.01224707938663315,0.01224707938663315,0.5814915855221537
Jun,-0.013027925991984898,0.013027925991984898,0.5576376942408559
Nedd4,0.009718229010188727,0.009718229010188727,0.6618324312594647
Gabarapl1,-0.004476367998126228,0.004476367998126228,0.8403369962726327
Rpl13a,-0.18851178170130753,0.18851178170130753,1.1194974052792847e-17
Ndufa1,-0.025739647372255148,0.025739647372255148,0.2466114846426433
Psmb5,0.043188617497015955,0.043188617497015955,0.05181891397864094
Hint1,0.028678807303172505,0.028678807303172505,0.19671366867498463
Prex2,0.027929872856649395,0.027929872856649395,0.208665039066507
Npc2,-0.0750579664660813,0.0750579664660813,0.0007175139436355904
Sh3glb1,0.07738810162658867,0.07738810162658867,0.0004864180202086512
C030046I01Rik,-0.0887104041552501,0.0887104041552501,6.324893695822132e-05
Myl12b,0.01669221532381756,0.01669221532381756,0.45247527631775797
Anxa2,-0.03221290738700445,0.03221290738700445,0.14702056309163167
Cox6a1,-0.08202296038668763,0.08202296038668763,0.00021754398557321037
Camk2n1,-0.031055905465713084,0.031055905465713084,0.16210541393872754
Mif,-0.04254219558215755,0.04254219558215755,0.05542847071085639
Tgm2,0.07856215508180181,0.07856215508180181,0.000398299980428338
Cyba,0.05849755870565995,0.05849755870565995,0.008414430087552693
Use1,-0.025636485855218497,0.025636485855218497,0.24851084995964468
Klf9,0.040507687743248665,0.040507687743248665,0.06817935605377126
Ddx5,0.013721352567482603,0.013721352567482603,0.5368613499142364
Tm9sf2,-0.03139423446528943,0.03139423446528943,0.15757831589595045
Rps21,-0.20259418412001295,0.20259418412001295,3.1546513163967096e-20
Lhfp,-0.04356641486735574,0.04356641486735574,0.049801837285414846
Tmed10,0.037589346382391656,0.037589346382391656,0.09058354759418404
Ndufb2,-0.027900146299208766,0.027900146299208766,0.20915002957646672
H2-K1,0.19008882784496273,0.19008882784496273,5.930075364749355e-18
Tceb1,0.06466109983759055,0.06466109983759055,0.0035779396411558372
Tmem204,-0.036190305349091845,0.036190305349091845,0.1032498382861597
Pdia3,-0.007746434717627579,0.007746434717627579,0.7273612224462571
Skp1a,-0.020548962165112903,0.020548962165112903,0.35501006099651555
Rbx1,-0.08187916605444658,0.08187916605444658,0.00022318411427569323
Ncl,0.09967406226199005,0.09967406226199005,6.88901127744668e-06
Atp2b1,0.05273940050032069,0.05273940050032069,0.017538536905597785
Egr1,-0.07423347545707888,0.07423347545707888,0.0008212386540546229
Fos,-0.06548754737486204,0.06548754737486204,0.003172898993359116
Rpl24,-0.09885295639384323,0.09885295639384323,8.201349335368868e-06
Txndc17,-0.03517004541906411,0.03517004541906411,0.1133446142211681
Prkcdbp,-0.06644742291936076,0.06644742291936076,0.0027551545183654384
Aldh2,0.05568293318475583,0.05568293318475583,0.012142104397879086
Atp6v0e,0.03986979555329723,0.03986979555329723,0.07264158621656233
Pam,-0.13460893122456677,0.13460893122456677,1.1586306052112473e-09
Sept4,0.017261142029596797,0.017261142029596797,0.43721472136649203
Tpm3,0.10242183192411178,0.10242183192411178,3.8058984001019755e-06
Sub1,-0.024092361864945268,0.024092361864945268,0.2781664165237657
Gsk3b,-0.03856139759752413,0.03856139759752413,0.08254211712929921
Dnajc3,0.1380279940755148,0.1380279940755148,4.322193004008478e-10
Mll5,0.022685322443279872,0.022685322443279872,0.30720851148962414
Rps25,-0.07433637471417,0.07433637471417,0.000807573898529429
Gltscr2,0.017228868870378174,0.017228868870378174,0.43807239770822964
Rnase4,-0.08250289862432171,0.08250289862432171,0.00019967210137923386
Gabarap,-0.13971393909822188,0.13971393909822188,2.6340015266303766e-10
Mfap2,-0.0850725574060756,0.0850725574060756,0.000125210844752168
Phlda1,-0.0951459183467548,0.0951459183467548,1.7720313464358115e-05
Rbm3,0.007708855609895416,0.007708855609895416,0.7286315217672774
Ndufb4,-0.05375234312000157,0.05375234312000157,0.01548195166923693
Rcn2,-0.0022833718822972047,0.0022833718822972047,0.918149837422496
Timp3,-0.15674288118431476,0.15674288118431476,1.2637689498031154e-12
Rps10,-0.11973019575330794,0.11973019575330794,6.373676837508504e-08
Rplp1,-0.22643356524136907,0.22643356524136907,5.422960354078316e-25
Rps8,-0.1888052521458005,0.1888052521458005,9.950663229381196e-18
Bet1l,0.007388928961312677,0.007388928961312677,0.7394759581909192
Col4a1,-0.039504645226019215,0.039504645226019215,0.07530162338874338
Rhob,-0.009630422389288414,0.009630422389288414,0.6647005478471235
Romo1,-0.041570469147144615,0.041570469147144615,0.061246577233406235
Ubc,0.07436297241773608,0.07436297241773608,0.0008040762447921108
Fam173a,0.03459257073286841,0.03459257073286841,0.11939359216244898
Hnrnpab,0.020629075932620314,0.020629075932620314,0.3531369486468897
2310036O22Rik,-0.023205514425867702,0.023205514425867702,0.29624592443240233
Rab5a,0.013863602290985167,0.013863602290985167,0.5326478701334583
Cfh,-0.08089762223424188,0.08089762223424188,0.00026550503050708733
Uqcrq,-0.031777340630897453,0.031777340630897453,0.15256836457583786
Ccdc12,-0.0235588295722684,0.0235588295722684,0.28895111634166226
Arpc2,0.010777320069356253,0.010777320069356253,0.627638490256066
Ier3ip1,-0.03425773708975831,0.03425773708975831,0.12301499999335992
Ube2l3,0.012882877621646362,0.012882877621646362,0.5620325495840774
Nfib,-0.09230106419500055,0.09230106419500055,3.1416252285444304e-05
Hsp90ab1,0.10839716024876338,0.10839716024876338,9.93621944056756e-07
Eif5a,-0.03212492115052288,0.03212492115052288,0.14812863453937067
Fhod1,-0.07530855904517428,0.07530855904517428,0.0006884848881124984
Prdx1,-0.05351535480305613,0.05351535480305613,0.015943102183618618
Mrps16,0.017889906572711375,0.017889906572711375,0.4206987228625475
Sept2,-0.10638058906580705,0.10638058906580705,1.576017209209682e-06
Cox8a,-0.06528849379255848,0.06528849379255848,0.003266441652709064
Gstm1,-0.12988627444465597,0.12988627444465597,4.3451584832246476e-09
Jund,-0.14161423267161408,0.14161423267161408,1.4964709405504583e-10
Uqcr10,-0.04910727332611712,0.04910727332611712,0.0270057726305543
Prdx6,-0.05230126642361333,0.05230126642361333,0.018499802727867214
Rnf7,-0.061436906149737035,0.061436906149737035,0.005646782638485443
1810035L17Rik,0.026269948738764797,0.026269948738764797,0.23700827390097082
Ccnl1,0.06288723802209259,0.06288723802209259,0.004610191466746651
Dbi,0.054743790156027844,0.054743790156027844,0.013677494019525645
Ube2d3,-0.018017193523262,0.018017193523262,0.41740033992875286
Tagln2,-0.07005718254377259,0.07005718254377259,0.001594879488184767
Cyc1,0.048393753801667154,0.048393753801667154,0.029312013520779476
Cox6b1,-0.061260525982886296,0.061260525982886296,0.005786223311272051
Yipf4,0.0034470188477964425,0.0034470188477964425,0.8767145273210287
Emp3,-0.11928254987722647,0.11928254987722647,7.139576757818636e-08
Pin1,0.021638865734129636,0.021638865734129636,0.3300648727833553
Eif1,-0.002950242806699012,0.002950242806699012,0.8943692649650614
Calr,0.005464245882321266,0.005464245882321266,0.8057416383398787
Ctdsp2,-0.06919276330176502,0.06919276330176502,0.0018220895337179444
Vps28,0.03540204183047638,0.03540204183047638,0.11098349229171997
2310016M24Rik,-0.006228802396545855,0.006228802396545855,0.7792217023248328
Eif4a1,0.018161594599783688,0.018161594599783688,0.41367698055855945
Hnrnph1,-0.010337782443525118,0.010337782443525118,0.6417380602387242
Tuba1b,0.0033406764672280166,0.0033406764672280166,0.8804889437793166
Ddx3x,-0.003141918133083006,0.003141918133083006,0.8875506987739126
Nid1,-0.06812283929504906,0.06812283929504906,0.002144372383914717
Hnrnpu,0.050419873749874417,0.050419873749874417,0.023170073570887458
Tmem93,-0.0008875279280416924,0.0008875279280416924,0.9681380147968437
Atp5a1,0.051507184414082474,0.051507184414082474,0.020359860687227192
Rpn2,0.07352874612800057,0.07352874612800057,0.0009207411771430605
Dynlt3,-0.004721889191118783,0.004721889191118783,0.8317072795147847
Vat1,0.07147759957947088,0.07147759957947088,0.0012773991700599804
Mlf2,0.026641509759592345,0.026641509759592345,0.23043899018196576
Siva1,-0.03728105992224956,0.03728105992224956,0.0932615674072777
Gstt1,-0.017243772012135165,0.017243772012135165,0.43767621870709156
B230219D22Rik,0.03329241771038563,0.03329241771038563,0.13393610786967472
Plp2,-0.05924229958118243,0.05924229958118243,0.007617341462735863
Fgf7,-0.09539261853539728,0.09539261853539728,1.6849063542271756e-05
Bclaf1,0.03577658021017993,0.03577658021017993,0.10725374146708706
Capzb,0.0020383042298436345,0.0020383042298436345,0.9269085010548942
Os9,0.11122532302282878,0.11122532302282878,5.131106234627775e-07
Tpi1,0.015750875251308465,0.015750875251308465,0.4783735828033591
Sumo2,-0.060138818225865975,0.060138818225865975,0.006747961548273373
Ufc1,-0.023701439632203773,0.023701439632203773,0.28604123616594074
Shroom3,0.026400001266914015,0.026400001266914015,0.2346940334107
Cdh11,-0.013576250614500485,0.013576250614500485,0.5411764995535985
1810027O10Rik,-0.08122666076992768,0.08122666076992768,0.00025054450923270755
