names,Bladder_bladder cell,Bladder_bladder urothelial cell,Bone-Marrow MEP cell,Bone-Marrow_erythroblast,Bone-Marrow_granulocyte,Bone-Marrow_granulocytopoietic cell,Bone-Marrow_hematopoietic precursor cell,Bone-Marrow_monocyte,Bone-Marrow_naïve T cell,Bone-Marrow_proerythroblast,Bone-Marrow_promonocyte,Brain_endothelial cell,Brain_microglial cell,Brain_oligodendrocyte,Heart_endothelial cell of coronary artery,Heart_fibroblast of cardiac tissue,Heart_leukocyte,Kidney TAL epith cell,Kidney_PCT_epith cell,Kidney_epithelial cell of proximal tubule,Kidney_fenestrated cell,Kidney_macrophage,Limb-Muscle_B cell,Limb-Muscle_T cell,Limb-Muscle_endothelial cell,Limb-Muscle_macrophage,Limb-Muscle_mesenchymal stem cell,Limb-Muscle_skeletal muscle satellite cell,Limb-Muscle_smooth muscle cell,Liver_Kupffer cell,Liver_hepatocyte,Lung_endothelial cell,Lung_lymphocyte,Lung_macrophage,Lung_monocyte,Lung_stromal cell
1810030J14Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210415F13Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9430020K01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A130040M12Rik,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AI607873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Agr2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apol10a,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC028528,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta-s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1
C130026I21Rik,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
C1qtnf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
C3ar1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
