,Sum log-adjP-values,adjP-values,Category
S100a6,-277.2191686172889,"[2.6556507180399598e-05, 1e-10, 1e-10, 1e-10, 1e-10, 0.0005277893297418843, 1e-10, 1.3809464208766262e-06, 1e-10, 0.001529802119189291, 1e-10, 1e-10, 1e-10, 0.9780337053115056, 1e-10, 0.9597117526182191, 1e-10, 1e-10, 1e-10, 1e-10, 2.1094993751962365e-08, 0.0037773242837629843, 0.9757205059283819, 1e-10, 1e-10, 0.09158921408917539, 1e-10, 3.3878117522951525e-05, 1e-10, 1e-10, 1e-10, 1e-10, 9.004101744271593e-06, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps28,-261.1671212748972,"[6.932116425352863e-07, 1e-10, 1.0608914766104364e-09, 1e-10, 1e-10, 1e-10, 0.008458955143345347, 1e-10, 1e-10, 0.07726579602794381, 1e-10, 1e-10, 1e-10, 0.03135015132711335, 0.04666308298832268, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.0028560125942604, 1e-10, 0.0542290239935949, 0.1320035982985354, 1e-10, 1.5697116559915588e-06, 0.6485395665565284, 0.06481587831887782, 1e-10, 1.0029744964479221e-08, 1e-10, 0.7153515201021031, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Fau,-260.87320536484447,"[1.7195769389615284e-10, 0.00022736324031669388, 0.2776344566373926, 1e-10, 1e-10, 1e-10, 0.014609437408973391, 1e-10, 1e-10, 6.325046356792993e-09, 6.554330457966118e-08, 1e-10, 0.8462400002383769, 0.37957349482153174, 0.006247970266625387, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.003578149579948804, 0.001131988027469655, 1e-10, 0.15266600986894968, 0.9916825852628268, 1e-10, 1e-10, 1e-10, 1e-10, 0.1655046194806073, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps6,-259.13653563786147,"[6.03319235146664e-08, 1e-10, 0.8798782417207421, 1e-10, 1e-10, 1e-10, 0.13152375918281264, 1e-10, 1e-10, 1e-10, 6.785156455855985e-07, 1e-10, 0.283099445104845, 0.17971184237834484, 0.7663175315359136, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00010804701086332904, 0.36746683948254405, 1e-10, 0.07513527148383176, 0.7598694163064283, 1e-10, 1e-10, 1e-10, 1e-10, 0.5310714940771523, 1e-10, 3.284273605318143e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps5,-258.95378001706155,"[5.415924819930172e-10, 1e-10, 0.7777622921161095, 1e-10, 1e-10, 1e-10, 0.002714708341412792, 1e-10, 1e-10, 1e-10, 1.582715002130065e-06, 1e-10, 0.7335541633540162, 0.8107600618411099, 0.9366433524708118, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00020594050946996548, 1e-10, 0.002487828783874309, 0.568919400749641, 1e-10, 4.271411365792534e-05, 0.02082865836440893, 7.66125007674837e-09, 1e-10, 1e-10, 1e-10, 0.5553035347167504, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps3a,-257.02172795131753,"[1e-10, 1e-10, 0.10118136597118271, 1e-10, 1e-10, 1e-10, 0.010433240481779451, 1e-10, 1e-10, 1e-10, 1e-10, 4.6239090819916524e-09, 0.870033616879034, 0.07645197090981541, 0.22340567782740978, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00027567682355994456, 1e-10, 0.04858063021142161, 0.8210098760246856, 1e-10, 0.24529796771096687, 0.5241353290081893, 1e-10, 1e-10, 1e-10, 1e-10, 0.8582170449211818, 1e-10, 1.0808807419962971e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps20,-255.77187162056043,"[1e-10, 1e-10, 0.6033257686067939, 1e-10, 1e-10, 1e-10, 0.5376201870944516, 1e-10, 1e-10, 2.434346675366991e-08, 1e-10, 1e-10, 0.21050942249635374, 0.8562476144269987, 0.09636996824215255, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.03950925908015584, 1e-10, 1.4138547656473574e-07, 0.8583761451644072, 6.780361468898953e-09, 0.11184691547076865, 0.7937735985234229, 8.674438528105466e-09, 1e-10, 1e-10, 1e-10, 0.4923905087218313, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps18,-255.60633731394915,"[4.922495110697083e-10, 1e-10, 0.06420527852002823, 1e-10, 1e-10, 1e-10, 0.0014596709508422053, 1e-10, 1e-10, 3.209156140081115e-10, 0.0005709472558179358, 1e-10, 0.8996993895129984, 0.6103774234775109, 0.9060298274368227, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.0661831487665254, 0.00039159989227639455, 0.0009375649487274527, 0.034577391043766274, 0.705385205897928, 1e-10, 1e-10, 1e-10, 1e-10, 0.9931538995297281, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl6,-254.56478410419112,"[1e-10, 1e-10, 0.23764637560180646, 1e-10, 1e-10, 1e-10, 0.00014710126678073708, 1e-10, 1e-10, 1e-10, 8.774031791345975e-07, 1e-10, 0.8621042933773639, 0.9627881246148423, 0.6719385761471418, 5.50414073729522e-09, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 3.6610241355333046e-09, 1e-10, 0.264606093050645, 0.7379442539336187, 1e-10, 0.03249934522967062, 0.9834615537150109, 1e-10, 1e-10, 1e-10, 1e-10, 0.7952034793364058, 1e-10, 1.5922937454554415e-05, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
B2m,-254.51475150126888,"[0.0005176612197823745, 0.36824729236290227, 1e-10, 0.09399887031463028, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 5.874411747716097e-08, 1e-10, 1e-10, 0.3238557571748631, 0.007656000314045078, 3.238938088324727e-08, 0.3143313294768056, 1e-10, 1e-10, 1e-10, 1.450613198879718e-10, 0.008544379015623722, 1e-10, 1e-10, 0.10459751712939631, 1e-10, 0.0006034143561521182, 1e-10, 0.06763186810048737, 1e-10, 1e-10, 1.0078028021703903e-06, 1.327838402958777e-10, 0.0007415534620461903, 1e-10, 2.191031524752856e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
