,R_squared
fenestrated cell,0.926959740311896
epithelial cell of proximal tubule,0.5987356915136913
kidney loop of Henle thick ascending limb epithelial cell,0.776859751368016
macrophage,0.5024636465205425
kidney proximal convoluted tubule epithelial cell,0.8028089958843755
fenestrated cell,0.926959740311896
epithelial cell of proximal tubule,0.5987356915136913
kidney loop of Henle thick ascending limb epithelial cell,0.776859751368016
macrophage,0.5024636465205425
kidney proximal convoluted tubule epithelial cell,0.8028089958843755
